t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
36037.0,10:00:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0
36097.0,10:01:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0
36157.0,10:02:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0
36218.0,10:03:38,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0
36278.0,10:04:38,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0
36338.0,10:05:38,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0
36398.0,10:06:38,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,0.6526,0.086,0.0,serverntp       127.127.1.0      9 u   49   64    1   0.6526   0.0860   0.0000,361.0
36458.0,10:07:38,serverntp,127.127.1.0,9,u,45.0,64,3,3,,False,0.3386,0.0198,0.0662,serverntp       127.127.1.0      9 u   45   64    3   0.3386   0.0198   0.0662,421.0
36518.0,10:08:38,serverntp,127.127.1.0,9,u,38.0,64,7,7,,False,0.4649,0.0445,0.0342,serverntp       127.127.1.0      9 u   38   64    7   0.4649   0.0445   0.0342,481.0
36578.0,10:09:38,serverntp,127.127.1.0,9,u,33.0,64,17,15,*,True,1.2471,0.089,0.0475,*serverntp       127.127.1.0      9 u   33   64   17   1.2471   0.0890   0.0475,541.0
36638.0,10:10:38,serverntp,127.127.1.0,9,u,27.0,64,37,31,*,True,2.0943,0.8184,0.7591,*serverntp       127.127.1.0      9 u   27   64   37   2.0943   0.8184   0.7591,601.0
36698.0,10:11:38,serverntp,127.127.1.0,9,u,23.0,64,77,63,*,True,1.188,0.113,0.3201,*serverntp       127.127.1.0      9 u   23   64   77   1.1880   0.1130   0.3201,661.0
36758.0,10:12:38,serverntp,127.127.1.0,9,u,18.0,64,177,127,*,True,1.2729,0.0717,0.3063,*serverntp       127.127.1.0      9 u   18   64  177   1.2729   0.0717   0.3063,721.0
36818.0,10:13:38,serverntp,127.127.1.0,9,u,11.0,64,377,255,*,True,1.1814,0.1084,0.2721,*serverntp       127.127.1.0      9 u   11   64  377   1.1814   0.1084   0.2721,781.0
36878.0,10:14:38,serverntp,127.127.1.0,9,u,4.0,64,377,255,*,True,1.1976,0.1339,0.2663,*serverntp       127.127.1.0      9 u    4   64  377   1.1976   0.1339   0.2663,841.0
36938.0,10:15:38,serverntp,127.127.1.0,9,u,,64,377,255,*,True,0.4649,0.0445,0.3019,*serverntp       127.127.1.0      9 u    -   64  377   0.4649   0.0445   0.3019,901.0
36998.0,10:16:38,serverntp,127.127.1.0,9,u,60.0,64,377,255,*,True,0.4649,0.0445,0.3019,*serverntp       127.127.1.0      9 u   60   64  377   0.4649   0.0445   0.3019,961.0
37058.0,10:17:38,serverntp,127.127.1.0,9,u,53.0,64,377,255,*,True,1.1814,0.1084,0.2707,*serverntp       127.127.1.0      9 u   53   64  377   1.1814   0.1084   0.2707,1021.0
37118.0,10:18:38,serverntp,127.127.1.0,9,u,48.0,64,377,255,*,True,1.1814,0.1084,0.2793,*serverntp       127.127.1.0      9 u   48   64  377   1.1814   0.1084   0.2793,1081.0
37178.0,10:19:38,serverntp,127.127.1.0,9,u,44.0,64,377,255,*,True,1.1814,0.1084,0.0809,*serverntp       127.127.1.0      9 u   44   64  377   1.1814   0.1084   0.0809,1141.0
37238.0,10:20:38,serverntp,127.127.1.0,9,u,39.0,64,377,255,*,True,1.1814,0.1084,0.0887,*serverntp       127.127.1.0      9 u   39   64  377   1.1814   0.1084   0.0887,1201.0
37298.0,10:21:38,serverntp,127.127.1.0,9,u,34.0,64,377,255,*,True,1.1814,0.1084,0.1315,*serverntp       127.127.1.0      9 u   34   64  377   1.1814   0.1084   0.1315,1261.0
37358.0,10:22:38,serverntp,127.127.1.0,9,u,28.0,64,377,255,*,True,0.8249,0.0754,0.1438,*serverntp       127.127.1.0      9 u   28   64  377   0.8249   0.0754   0.1438,1321.0
