t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
50752.0,14:05:52,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0
50812.0,14:06:52,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0
50873.0,14:07:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,121.0
50933.0,14:08:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0
50993.0,14:09:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0
51053.0,14:10:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0
51113.0,14:11:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,361.0
51173.0,14:12:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,421.0
51233.0,14:13:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,481.0
51293.0,14:14:53,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,541.0
51353.0,14:15:53,boundary1,10.0.10.4,10,u,36.0,64,1,1,*,True,0.966,0.0131,28.8548,*boundary1       10.0.10.4       10 u   36   64    1   0.9660   0.0131  28.8548,601.0
51413.0,14:16:53,boundary1,10.0.10.4,10,u,40.0,64,3,3,*,True,64.4017,-31.6728,20.3917,*boundary1       10.0.10.4       10 u   40   64    3  64.4017 -31.6728  20.3917,661.0
51474.0,14:17:54,boundary1,10.0.10.4,10,u,33.0,64,7,7,*,True,81.6887,-39.8149,23.9628,*boundary1       10.0.10.4       10 u   33   64    7  81.6887 -39.8149  23.9628,722.0
51534.0,14:18:54,boundary1,10.0.10.4,10,u,25.0,64,17,15,*,True,77.8591,-38.5233,21.3044,*boundary1       10.0.10.4       10 u   25   64   17  77.8591 -38.5233  21.3044,782.0
51594.0,14:19:54,boundary1,10.0.10.4,10,u,19.0,64,37,31,*,True,45.4582,-22.4509,15.9106,*boundary1       10.0.10.4       10 u   19   64   37  45.4582 -22.4509  15.9106,842.0
51654.0,14:20:54,boundary1,10.0.10.4,10,u,11.0,64,77,63,*,True,50.1649,-24.5915,12.8239,*boundary1       10.0.10.4       10 u   11   64   77  50.1649 -24.5915  12.8239,902.0
51714.0,14:21:54,boundary1,10.0.10.4,10,u,5.0,64,177,127,*,True,71.5705,-35.1341,15.1623,*boundary1       10.0.10.4       10 u    5   64  177  71.5705 -35.1341  15.1623,962.0
51774.0,14:22:54,boundary1,10.0.10.4,10,u,65.0,64,177,127,*,True,71.5705,-35.1341,15.1623,*boundary1       10.0.10.4       10 u   65   64  177  71.5705 -35.1341  15.1623,1022.0
51834.0,14:23:54,boundary1,10.0.10.4,10,u,59.0,64,377,255,*,True,68.9934,-34.288,14.4753,*boundary1       10.0.10.4       10 u   59   64  377  68.9934 -34.2880  14.4753,1082.0
51894.0,14:24:54,boundary1,10.0.10.4,10,u,52.0,64,377,255,*,True,73.3387,-36.0059,7.145,*boundary1       10.0.10.4       10 u   52   64  377  73.3387 -36.0059   7.1450,1142.0
51954.0,14:25:54,boundary1,10.0.10.4,10,u,44.0,64,377,255,*,True,80.6772,-39.8648,9.3097,*boundary1       10.0.10.4       10 u   44   64  377  80.6772 -39.8648   9.3097,1202.0
