t_s,hhmmss,type,detail,raw,t_rel_s
51859.0,14:24:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0
51919.0,14:25:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0
51979.0,14:26:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0
52039.0,14:27:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0
52099.0,14:28:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,240.0
52159.0,14:29:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,300.0
52219.0,14:30:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,360.0
52279.0,14:31:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,420.0
52340.0,14:32:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,481.0
52400.0,14:33:20,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,541.0
52460.0,14:34:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   38   64    1   7.4312  -3.0607   0.6295,601.0
52520.0,14:35:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   40   64    3   7.9290  -2.0321   0.6950,661.0
52580.0,14:36:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   31   64    7   6.6596  -2.2197   0.5099,721.0
52640.0,14:37:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   22   64   17   6.8832  -2.7757   0.5072,781.0
52700.0,14:38:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   13   64   37   8.5863  -3.0589   0.6951,841.0
52760.0,14:39:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    6   64   77   7.6909  -3.0206   0.6281,901.0
52820.0,14:40:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   66   64   77   7.6909  -3.0206   0.6281,961.0
52880.0,14:41:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   57   64  177   7.6995  -2.5309   0.4342,1021.0
52940.0,14:42:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   48   64  377   7.8691  -3.2148   0.6693,1081.0
53000.0,14:43:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   41   64  377   6.9963  -2.9962   0.5141,1141.0
53060.0,14:44:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   33   64  377   6.3158  -2.4823   0.4751,1201.0
53120.0,14:45:20,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   27   64  377   6.3158  -2.4823   0.4741,1261.0
53181.0,14:46:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   21   64  377   6.3158  -2.4823   0.5358,1322.0
53241.0,14:47:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   14   64  377   6.3158  -2.4823   0.4896,1382.0
53301.0,14:48:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    8   64  377   6.3158  -2.4823   0.4492,1442.0
53361.0,14:49:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    2   64  377   6.3158  -2.4823   0.4538,1502.0
53421.0,14:50:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   62   64  377   6.3158  -2.4823   0.4538,1562.0
53481.0,14:51:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   55   64  377   6.3158  -2.4823   0.5902,1622.0
53541.0,14:52:21,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   49   64  377   6.3158  -2.4823   0.6154,1682.0
