t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
36037.0,10:00:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0
36097.0,10:01:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0
36157.0,10:02:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0
36217.0,10:03:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0
36277.0,10:04:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,240.0
36337.0,10:05:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,300.0
36397.0,10:06:37,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,360.0
36458.0,10:07:38,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,421.0
36518.0,10:08:38,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,481.0
36578.0,10:09:38,boundary1,.INIT.,16,u,,64,0,0,False,0.0,0.0,0.0001,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,541.0
36638.0,10:10:38,boundary1,10.0.10.4,10,u,39.0,64,1,1,True,6.797,-2.7943,0.6513,*boundary1       10.0.10.4       10 u   39   64    1   6.7970  -2.7943   0.6513,601.0
36698.0,10:11:38,boundary1,10.0.10.4,10,u,41.0,64,3,3,True,7.4741,-2.9712,0.7332,*boundary1       10.0.10.4       10 u   41   64    3   7.4741  -2.9712   0.7332,661.0
36758.0,10:12:38,boundary1,10.0.10.4,10,u,32.0,64,7,7,True,7.7243,-2.0096,0.6177,*boundary1       10.0.10.4       10 u   32   64    7   7.7243  -2.0096   0.6177,721.0
36818.0,10:13:38,boundary1,10.0.10.4,10,u,23.0,64,17,15,True,5.773,-2.1745,0.5087,*boundary1       10.0.10.4       10 u   23   64   17   5.7730  -2.1745   0.5087,781.0
36878.0,10:14:38,boundary1,10.0.10.4,10,u,14.0,64,37,31,True,6.0546,-2.3152,0.4372,*boundary1       10.0.10.4       10 u   14   64   37   6.0546  -2.3152   0.4372,841.0
36938.0,10:15:38,boundary1,10.0.10.4,10,u,7.0,64,77,63,True,6.2641,-2.4416,0.3974,*boundary1       10.0.10.4       10 u    7   64   77   6.2641  -2.4416   0.3974,901.0
36998.0,10:16:38,boundary1,10.0.10.4,10,u,67.0,64,77,63,True,6.2641,-2.4416,0.3974,*boundary1       10.0.10.4       10 u   67   64   77   6.2641  -2.4416   0.3974,961.0
37058.0,10:17:38,boundary1,10.0.10.4,10,u,58.0,64,177,127,True,5.475,-2.5548,0.3672,*boundary1       10.0.10.4       10 u   58   64  177   5.4750  -2.5548   0.3672,1021.0
37118.0,10:18:38,boundary1,10.0.10.4,10,u,49.0,64,377,255,True,7.2831,-3.2408,0.8359,*boundary1       10.0.10.4       10 u   49   64  377   7.2831  -3.2408   0.8359,1081.0
37178.0,10:19:38,boundary1,10.0.10.4,10,u,41.0,64,377,255,True,7.0413,-2.9469,0.5819,*boundary1       10.0.10.4       10 u   41   64  377   7.0413  -2.9469   0.5819,1141.0
37238.0,10:20:38,boundary1,10.0.10.4,10,u,34.0,64,377,255,True,5.3879,-1.9688,0.6872,*boundary1       10.0.10.4       10 u   34   64  377   5.3879  -1.9688   0.6872,1201.0
37298.0,10:21:38,boundary1,10.0.10.4,10,u,28.0,64,377,255,True,5.3879,-1.9688,0.8128,*boundary1       10.0.10.4       10 u   28   64  377   5.3879  -1.9688   0.8128,1261.0
37358.0,10:22:38,boundary1,10.0.10.4,10,u,22.0,64,377,255,True,5.3879,-1.9688,0.8739,*boundary1       10.0.10.4       10 u   22   64  377   5.3879  -1.9688   0.8739,1321.0
