node,scenario,parameter,source_file,n_total_rows,n_selected_rows,first_valid_t_rel_s,n_valid_metric,mean,std,min,q1,median,q3,max,range,iqr,cv
client,low,delay_ms,client_low_samples.csv,29,19,601.0,19,6.962011,0.748328,6.3158,6.3158,6.6596,7.6909,8.5863,2.2705,1.3751,0.107487
client,low,offset_ms,client_low_samples.csv,29,19,601.0,19,-2.645837,0.32482,-3.2148,-3.0084,-2.4823,-2.4823,-2.0321,1.1827,0.5261,-0.122766
client,low,jitter_ms,client_low_samples.csv,29,19,601.0,19,0.549868,0.089054,0.4342,0.4746,0.5141,0.6281,0.6951,0.2609,0.1535,0.161956
client,medium,delay_ms,client_medium_samples.csv,23,13,601.0,13,16.183754,2.956343,12.8284,14.1986,15.4154,17.813,20.7471,7.9187,3.6144,0.182674
client,medium,offset_ms,client_medium_samples.csv,23,13,601.0,13,-7.013615,1.331311,-9.3643,-7.82,-6.9026,-5.8483,-5.6966,3.6677,1.9717,-0.189818
client,medium,jitter_ms,client_medium_samples.csv,23,13,601.0,13,1.732062,0.327711,1.1299,1.5969,1.8156,1.9073,2.2657,1.1358,0.3104,0.189203
client,high,delay_ms,client_high_samples.csv,21,11,601.0,11,62.426264,23.433471,0.966,57.2833,71.5705,75.5989,81.6887,80.7227,18.3156,0.375378
client,high,offset_ms,client_high_samples.csv,21,11,601.0,11,-30.678836,11.654292,-39.8648,-37.2646,-35.1341,-28.13215,0.0131,39.8779,9.13245,-0.37988
client,high,jitter_ms,client_high_samples.csv,21,11,601.0,11,16.772982,6.375721,7.145,13.6496,15.1623,20.84805,28.8548,21.7098,7.19845,0.380119
boundary,low,delay_ms,boundary_low_samples.csv,29,20,541.0,20,1.20161,0.378707,0.5557,1.1158,1.1312,1.202125,2.4372,1.8815,0.086325,0.315166
boundary,low,offset_ms,boundary_low_samples.csv,29,20,541.0,20,0.299765,0.162233,0.1165,0.2139,0.28695,0.3679,0.8546,0.7381,0.154,0.5412
boundary,low,jitter_ms,boundary_low_samples.csv,29,20,541.0,20,0.47991,0.183775,0.2232,0.3026,0.5728,0.6602,0.7285,0.5053,0.3576,0.382937
boundary,medium,delay_ms,boundary_medium_samples.csv,23,14,540.0,14,1.641243,0.51387,1.0804,1.0804,1.7545,1.852625,2.4991,1.4187,0.772225,0.313098
boundary,medium,offset_ms,boundary_medium_samples.csv,23,14,540.0,14,0.415943,0.22275,0.2399,0.290425,0.3028,0.402625,0.9247,0.6848,0.1122,0.535531
boundary,medium,jitter_ms,boundary_medium_samples.csv,23,14,540.0,14,0.317893,0.098318,0.174,0.2709,0.34005,0.3546,0.5263,0.3523,0.0837,0.309281
boundary,high,delay_ms,boundary_high_samples.csv,24,15,540.0,15,0.711573,0.297562,0.5063,0.5063,0.5063,0.9959,1.3608,0.8545,0.4896,0.418175
boundary,high,offset_ms,boundary_high_samples.csv,24,15,540.0,15,0.064033,0.086685,-0.0565,0.0478,0.0555,0.0555,0.3552,0.4117,0.0077,1.353745
boundary,high,jitter_ms,boundary_high_samples.csv,24,15,540.0,15,0.314333,0.117668,0.1543,0.219,0.3349,0.37835,0.5413,0.387,0.15935,0.37434
