t_s,hhmmss,type,detail,raw,t_rel_s
53672.0,14:54:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0
53732.0,14:55:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0
53792.0,14:56:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0
53852.0,14:57:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0
53912.0,14:58:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,240.0
53972.0,14:59:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,300.0
54212.0,15:03:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   33   64   17   1.8482   0.4063   0.1980,540.0
54272.0,15:04:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   27   64   37   1.7457   0.3916   0.1740,600.0
54332.0,15:05:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   23   64   77   2.4991   0.9247   0.5263,660.0
54392.0,15:06:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   18   64  177   2.4250   0.2399   0.3535,720.0
54452.0,15:07:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   11   64  377   2.2278   0.8424   0.4430,780.0
54512.0,15:08:32,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    4   64  377   1.8541   0.6530   0.2859,840.0
54573.0,15:09:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    -   64  377   1.7633   0.2863   0.3546,901.0
54633.0,15:10:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   1.7633   0.2863   0.3546,961.0
54693.0,15:11:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   56   64  377   1.4489   0.2787   0.3597,1021.0
54753.0,15:12:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64  377   1.0804   0.3028   0.3408,1081.0
54813.0,15:13:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64  377   1.0804   0.3028   0.3393,1141.0
54873.0,15:14:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   40   64  377   1.0804   0.3028   0.2715,1201.0
54933.0,15:15:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   34   64  377   1.0804   0.3028   0.2707,1261.0
54993.0,15:16:33,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64  377   1.0804   0.3028   0.1786,1321.0
