t,type,port,from,to,reason,raw,t_rel_s
16183.931,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16183.931]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16183.931,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16183.931]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16183.931,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16183.931]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16187.749,new_foreign_master,1.0,,,9efe56.fffe.018932-1,ptp4l[16187.749]: port 1: new foreign master 9efe56.fffe.018932-1,3.8179999999993015
16190.199,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16190.199]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.268000000000029
16191.443,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16191.443]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.511999999998807
16191.749,best_master,,,,9efe56.fffe.018932,ptp4l[16191.749]: selected best master clock 9efe56.fffe.018932,7.8179999999993015
16191.749,ptp_timescale_mismatch,,,,,ptp4l[16191.749]: foreign master not using PTP timescale,7.8179999999993015
16191.749,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[16191.749]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,7.8179999999993015
16192.464,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16192.464]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),8.532999999999447
16208.466,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[16208.466]: port 2: FAULTY to LISTENING on INIT_COMPLETE,24.534999999999854
16209.754,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[16209.754]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,25.82300000000032
16214.642,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16214.642]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,30.71099999999933
16214.642,best_master,,,,9efe56.fffe.018932,ptp4l[16214.642]: selected best master clock 9efe56.fffe.018932,30.71099999999933
16214.642,ptp_timescale_mismatch,,,,,ptp4l[16214.642]: foreign master not using PTP timescale,30.71099999999933
16215.664,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[16215.664]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),31.733000000000175
