t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15558.487,-1671417,0,0,1820002,ptp4l[15558.487]: master offset   -1671417 s0 freq      +0 path delay   1820002,0.0
15559.487,-1230953,0,0,1820002,ptp4l[15559.487]: master offset   -1230953 s0 freq      +0 path delay   1820002,1.0
15560.487,-941033,0,0,1115785,ptp4l[15560.487]: master offset    -941033 s0 freq      +0 path delay   1115785,2.0
15561.489,1189328,0,0,411568,ptp4l[15561.489]: master offset    1189328 s0 freq      +0 path delay    411568,3.0020000000004075
15562.491,209650,0,0,686404,ptp4l[15562.491]: master offset     209650 s0 freq      +0 path delay    686404,4.004000000000815
15563.492,1755648,0,0,864428,ptp4l[15563.492]: master offset    1755648 s0 freq      +0 path delay    864428,5.005000000001019
15564.492,-31917,0,0,864428,ptp4l[15564.492]: master offset     -31917 s0 freq      +0 path delay    864428,6.005000000001019
15565.49,-494746,0,0,912834,ptp4l[15565.490]: master offset    -494746 s0 freq      +0 path delay    912834,7.003000000000611
15566.493,2046289,0,0,912834,ptp4l[15566.493]: master offset    2046289 s0 freq      +0 path delay    912834,8.006000000001222
15567.493,246233,0,0,1010117,ptp4l[15567.493]: master offset     246233 s0 freq      +0 path delay   1010117,9.006000000001222
15568.494,-253628,0,0,1081889,ptp4l[15568.494]: master offset    -253628 s0 freq      +0 path delay   1081889,10.007000000001426
15569.495,977180,0,0,1081889,ptp4l[15569.495]: master offset     977180 s0 freq      +0 path delay   1081889,11.00800000000163
15570.493,-1070722,0,0,1259099,ptp4l[15570.493]: master offset   -1070722 s0 freq      +0 path delay   1259099,12.006000000001222
15571.493,-935386,0,0,1259099,ptp4l[15571.493]: master offset    -935386 s0 freq      +0 path delay   1259099,13.006000000001222
15572.496,274171,0,0,1259099,ptp4l[15572.496]: master offset     274171 s0 freq      +0 path delay   1259099,14.009000000000015
15573.497,-327254,0,0,1259099,ptp4l[15573.497]: master offset    -327254 s0 freq      +0 path delay   1259099,15.010000000000218
15574.499,-366879,1,81477,1259099,ptp4l[15574.499]: master offset    -366879 s1 freq  +81477 path delay   1259099,16.012000000000626
15575.499,146537,2,96277,1259099,ptp4l[15575.499]: master offset     146537 s2 freq  +96277 path delay   1259099,17.012000000000626
15576.497,-964752,2,-15816,1259099,ptp4l[15576.497]: master offset    -964752 s2 freq  -15816 path delay   1259099,18.01000000000022
15577.499,489896,2,130138,1097587,ptp4l[15577.499]: master offset     489896 s2 freq +130138 path delay   1097587,19.012000000000626
15578.499,-785404,2,1823,929886,ptp4l[15578.499]: master offset    -785404 s2 freq   +1823 path delay    929886,20.012000000000626
15579.504,-402221,2,39739,929886,ptp4l[15579.504]: master offset    -402221 s2 freq  +39739 path delay    929886,21.017000000001644
15580.507,1399705,2,221331,884621,ptp4l[15580.507]: master offset    1399705 s2 freq +221331 path delay    884621,22.020000000000437
15581.506,378405,2,119580,918558,ptp4l[15581.506]: master offset     378405 s2 freq +119580 path delay    918558,23.019000000000233
15582.508,-120815,2,69537,1002668,ptp4l[15582.508]: master offset    -120815 s2 freq  +69537 path delay   1002668,24.02100000000064
15583.508,513226,2,133454,1002668,ptp4l[15583.508]: master offset     513226 s2 freq +133454 path delay   1002668,25.02100000000064
15584.51,316364,2,114084,1002668,ptp4l[15584.510]: master offset     316364 s2 freq +114084 path delay   1002668,26.023000000001048
15585.51,-666339,2,15148,1068960,ptp4l[15585.510]: master offset    -666339 s2 freq  +15148 path delay   1068960,27.023000000001048
15586.511,99909,2,91872,1030115,ptp4l[15586.511]: master offset      99909 s2 freq  +91872 path delay   1030115,28.02400000000125
15587.51,-934332,2,-12486,1030115,ptp4l[15587.510]: master offset    -934332 s2 freq  -12486 path delay   1030115,29.023000000001048
15588.514,258024,2,107008,873782,ptp4l[15588.514]: master offset     258024 s2 freq +107008 path delay    873782,30.027000000000044
15589.513,-490073,2,31708,873782,ptp4l[15589.513]: master offset    -490073 s2 freq  +31708 path delay    873782,31.02600000000166
15590.516,737874,2,155240,639707,ptp4l[15590.516]: master offset     737874 s2 freq +155240 path delay    639707,32.02900000000045
15591.515,-308050,2,50340,639707,ptp4l[15591.515]: master offset    -308050 s2 freq  +50340 path delay    639707,33.02800000000025
15592.515,-422891,2,38433,577925,ptp4l[15592.515]: master offset    -422891 s2 freq  +38433 path delay    577925,34.02800000000025
15593.516,-30883,2,77603,443117,ptp4l[15593.516]: master offset     -30883 s2 freq  +77603 path delay    443117,35.02900000000045
15594.517,258245,2,106774,443117,ptp4l[15594.517]: master offset     258245 s2 freq +106774 path delay    443117,36.030000000000655
15595.517,238893,2,105078,443117,ptp4l[15595.517]: master offset     238893 s2 freq +105078 path delay    443117,37.030000000000655
15596.519,631770,2,144997,443117,ptp4l[15596.519]: master offset     631770 s2 freq +144997 path delay    443117,38.03200000000106
15597.517,-313760,2,50130,443117,ptp4l[15597.517]: master offset    -313760 s2 freq  +50130 path delay    443117,39.030000000000655
15598.52,320803,2,113907,443117,ptp4l[15598.520]: master offset     320803 s2 freq +113907 path delay    443117,40.033000000001266
15599.519,-27664,2,79033,443117,ptp4l[15599.519]: master offset     -27664 s2 freq  +79033 path delay    443117,41.03200000000106
15600.522,568206,2,139188,595452,ptp4l[15600.522]: master offset     568206 s2 freq +139188 path delay    595452,42.03500000000167
15601.521,292300,2,111890,595452,ptp4l[15601.521]: master offset     292300 s2 freq +111890 path delay    595452,43.03400000000147
15602.522,152901,2,98103,721293,ptp4l[15602.522]: master offset     152901 s2 freq  +98103 path delay    721293,44.03500000000167
15603.521,-624719,2,19716,721293,ptp4l[15603.521]: master offset    -624719 s2 freq  +19716 path delay    721293,45.03400000000147
