t,type,port,from,to,reason,raw,t_rel_s
14974.47,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[14974.470]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
14974.47,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[14974.470]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
14974.47,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[14974.470]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
14977.233,new_foreign_master,1.0,,,b63550.fffe.ab1e80-1,ptp4l[14977.233]: port 1: new foreign master b63550.fffe.ab1e80-1,2.7630000000008295
14981.235,best_master,,,,b63550.fffe.ab1e80,ptp4l[14981.235]: selected best master clock b63550.fffe.ab1e80,6.765000000001237
14981.235,ptp_timescale_mismatch,,,,,ptp4l[14981.235]: foreign master not using PTP timescale,6.765000000001237
14981.235,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[14981.235]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,6.765000000001237
14981.971,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[14981.971]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.501000000000204
14981.971,best_master,,,,b63550.fffe.ab1e80,ptp4l[14981.971]: selected best master clock b63550.fffe.ab1e80,7.501000000000204
14981.971,ptp_timescale_mismatch,,,,,ptp4l[14981.971]: foreign master not using PTP timescale,7.501000000000204
15000.261,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15000.261]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,25.791000000001077
