t,type,port,from,to,reason,raw,t_rel_s
15261.85,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15261.850]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15261.85,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15261.850]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15261.85,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15261.850]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15266.045,new_foreign_master,1.0,,,ba2f85.fffe.43be95-1,ptp4l[15266.045]: port 1: new foreign master ba2f85.fffe.43be95-1,4.194999999999709
15269.43,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15269.430]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.579999999999927
15269.615,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15269.615]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.764999999999418
15270.047,best_master,,,,ba2f85.fffe.43be95,ptp4l[15270.047]: selected best master clock ba2f85.fffe.43be95,8.197000000000116
15270.047,ptp_timescale_mismatch,,,,,ptp4l[15270.047]: foreign master not using PTP timescale,8.197000000000116
15270.047,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[15270.047]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,8.197000000000116
15288.059,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15288.059]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,26.208999999998923
15289.466,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[15289.466]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),27.615999999999985
15305.469,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[15305.469]: port 2: FAULTY to LISTENING on INIT_COMPLETE,43.61899999999878
15311.524,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15311.524]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,49.67399999999907
15311.525,best_master,,,,ba2f85.fffe.43be95,ptp4l[15311.525]: selected best master clock ba2f85.fffe.43be95,49.67499999999927
15311.525,ptp_timescale_mismatch,,,,,ptp4l[15311.525]: foreign master not using PTP timescale,49.67499999999927
15348.585,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[15348.585]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),86.73499999999876
15364.588,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[15364.588]: port 2: FAULTY to LISTENING on INIT_COMPLETE,102.73799999999937
15372.271,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15372.271]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,110.42100000000028
15372.271,best_master,,,,ba2f85.fffe.43be95,ptp4l[15372.271]: selected best master clock ba2f85.fffe.43be95,110.42100000000028
15372.271,ptp_timescale_mismatch,,,,,ptp4l[15372.271]: foreign master not using PTP timescale,110.42100000000028
15435.359,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[15435.359]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),173.50900000000001
15451.362,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[15451.362]: port 2: FAULTY to LISTENING on INIT_COMPLETE,189.5119999999988
15457.948,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15457.948]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,196.09799999999996
15457.948,best_master,,,,ba2f85.fffe.43be95,ptp4l[15457.948]: selected best master clock ba2f85.fffe.43be95,196.09799999999996
15457.948,ptp_timescale_mismatch,,,,,ptp4l[15457.948]: foreign master not using PTP timescale,196.09799999999996
