t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
15271.05,-343724,0,14629,1044547,ptp4l[15271.050]: master offset    -343724 s0 freq  +14629 path delay   1044547,0.0
15272.049,-362682,0,14629,839216,ptp4l[15272.049]: master offset    -362682 s0 freq  +14629 path delay    839216,0.9990000000016153
15273.05,-270767,0,14629,633886,ptp4l[15273.050]: master offset    -270767 s0 freq  +14629 path delay    633886,2.0
15274.05,-313244,0,14629,635531,ptp4l[15274.050]: master offset    -313244 s0 freq  +14629 path delay    635531,3.0
15275.052,201352,0,14629,633886,ptp4l[15275.052]: master offset     201352 s0 freq  +14629 path delay    633886,4.0020000000004075
15276.051,115478,0,14629,633886,ptp4l[15276.051]: master offset     115478 s0 freq  +14629 path delay    633886,5.001000000000204
15277.052,-135726,0,14629,603178,ptp4l[15277.052]: master offset    -135726 s0 freq  +14629 path delay    603178,6.0020000000004075
15278.052,976215,0,14629,603178,ptp4l[15278.052]: master offset     976215 s0 freq  +14629 path delay    603178,7.0020000000004075
15279.054,175685,0,14629,633886,ptp4l[15279.054]: master offset     175685 s0 freq  +14629 path delay    633886,8.004000000000815
15280.053,-295016,0,14629,633886,ptp4l[15280.053]: master offset    -295016 s0 freq  +14629 path delay    633886,9.003000000000611
15281.056,525920,0,14629,569855,ptp4l[15281.056]: master offset     525920 s0 freq  +14629 path delay    569855,10.006000000001222
15282.054,-313026,0,14629,569855,ptp4l[15282.054]: master offset    -313026 s0 freq  +14629 path delay    569855,11.004000000000815
15283.055,-256632,0,14629,542919,ptp4l[15283.055]: master offset    -256632 s0 freq  +14629 path delay    542919,12.005000000001019
15284.056,-176640,0,14629,517758,ptp4l[15284.056]: master offset    -176640 s0 freq  +14629 path delay    517758,13.006000000001222
15285.057,-127541,0,14629,523770,ptp4l[15285.057]: master offset    -127541 s0 freq  +14629 path delay    523770,14.007000000001426
15286.058,-39016,0,14629,522931,ptp4l[15286.058]: master offset     -39016 s0 freq  +14629 path delay    522931,15.00800000000163
15287.058,-266498,1,19453,522931,ptp4l[15287.058]: master offset    -266498 s1 freq  +19453 path delay    522931,16.00800000000163
15288.058,-267519,2,-7567,522931,ptp4l[15288.058]: master offset    -267519 s2 freq   -7567 path delay    522931,17.00800000000163
15289.06,931663,2,113283,522931,ptp4l[15289.060]: master offset     931663 s2 freq +113283 path delay    522931,18.01000000000022
15290.059,-385706,2,-18839,549729,ptp4l[15290.059]: master offset    -385706 s2 freq  -18839 path delay    549729,19.009000000000015
15291.061,693378,2,89762,549729,ptp4l[15291.061]: master offset     693378 s2 freq  +89762 path delay    549729,20.011000000000422
15292.06,-51815,2,15191,549729,ptp4l[15292.060]: master offset     -51815 s2 freq  +15191 path delay    549729,21.01000000000022
15293.062,536892,2,74599,571216,ptp4l[15293.062]: master offset     536892 s2 freq  +74599 path delay    571216,22.012000000000626
15294.062,-37298,2,17143,571216,ptp4l[15294.062]: master offset     -37298 s2 freq  +17143 path delay    571216,23.012000000000626
15295.064,890426,2,110805,571216,ptp4l[15295.064]: master offset     890426 s2 freq +110805 path delay    571216,24.014000000001033
15296.064,744626,2,96970,594475,ptp4l[15296.064]: master offset     744626 s2 freq  +96970 path delay    594475,25.014000000001033
15297.065,83001,2,30891,594475,ptp4l[15297.065]: master offset      83001 s2 freq  +30891 path delay    594475,26.015000000001237
15298.065,-110676,2,11412,618243,ptp4l[15298.065]: master offset    -110676 s2 freq  +11412 path delay    618243,27.015000000001237
15299.067,-19060,2,20555,643261,ptp4l[15299.067]: master offset     -19060 s2 freq  +20555 path delay    643261,28.016999999999825
15300.066,-247625,2,-2549,618243,ptp4l[15300.066]: master offset    -247625 s2 freq   -2549 path delay    618243,29.01600000000144
15301.068,192166,2,41622,684836,ptp4l[15301.068]: master offset     192166 s2 freq  +41622 path delay    684836,30.01800000000003
15302.068,-178357,2,4391,684836,ptp4l[15302.068]: master offset    -178357 s2 freq   +4391 path delay    684836,31.01800000000003
15303.069,-22230,2,19982,676935,ptp4l[15303.069]: master offset     -22230 s2 freq  +19982 path delay    676935,32.01900000000023
15304.069,-232627,2,-1291,694701,ptp4l[15304.069]: master offset    -232627 s2 freq   -1291 path delay    694701,33.01900000000023
15305.069,-344931,2,-12866,694701,ptp4l[15305.069]: master offset    -344931 s2 freq  -12866 path delay    694701,34.01900000000023
15306.07,-327279,2,-11428,694701,ptp4l[15306.070]: master offset    -327279 s2 freq  -11428 path delay    694701,35.02000000000044
