t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
16023.161,791182,1110164,32325,0,1082597.0,221484.0,ptp4l[16023.161]: rms 791182 max 1110164 freq +32325 +/-   0 delay 1082597 +/- 221484,0.0
16025.161,705261,765052,32325,0,1304081.0,0.0,ptp4l[16025.161]: rms 705261 max 765052 freq +32325 +/-   0 delay 1304081 +/-   0,2.0
16027.162,556560,574856,32325,0,983365.0,0.0,ptp4l[16027.162]: rms 556560 max 574856 freq +32325 +/-   0 delay 983365 +/-   0,4.001000000000204
16029.171,363580,473757,32325,0,676095.0,13445.0,ptp4l[16029.171]: rms 363580 max 473757 freq +32325 +/-   0 delay 676095 +/- 13445,6.010000000000218
16031.168,475312,608126,32325,0,607590.0,55060.0,ptp4l[16031.168]: rms 475312 max 608126 freq +32325 +/-   0 delay 607590 +/- 55060,8.006999999999607
16033.166,391088,518132,32325,0,662650.0,0.0,ptp4l[16033.166]: rms 391088 max 518132 freq +32325 +/-   0 delay 662650 +/-   0,10.0049999999992
16035.167,219437,232232,32325,0,689540.0,0.0,ptp4l[16035.167]: rms 219437 max 232232 freq +32325 +/-   0 delay 689540 +/-   0,12.005999999999403
16037.168,949147,1313884,32325,0,697302.0,4103.0,ptp4l[16037.168]: rms 949147 max 1313884 freq +32325 +/-   0 delay 697302 +/- 4103,14.006999999999607
16039.17,930043,1247868,158599,20992,804203.0,58027.0,ptp4l[16039.170]: rms 930043 max 1247868 freq +158599 +/- 20992 delay 804203 +/- 58027,16.009000000000015
16041.169,486287,528933,130004,4251,861490.0,115314.0,ptp4l[16041.169]: rms 486287 max 528933 freq +130004 +/- 4251 delay 861490 +/- 115314,18.00799999999981
16043.172,920782,1255288,224738,80253,901499.0,17305.0,ptp4l[16043.172]: rms 920782 max 1255288 freq +224738 +/- 80253 delay 901499 +/- 17305,20.011000000000422
16045.177,459046,648634,144991,31415,,,ptp4l[16045.177]: rms 459046 max 648634 freq +144991 +/- 31415,22.01599999999962
16047.18,103794,104010,188975,74,739056.0,0.0,ptp4l[16047.180]: rms 103794 max 104010 freq +188975 +/-  74 delay 739056 +/-   0,24.019000000000233
16049.181,1019973,1440350,247409,76637,623476.0,34748.0,ptp4l[16049.181]: rms 1019973 max 1440350 freq +247409 +/- 76637 delay 623476 +/- 34748,26.020000000000437
16051.184,250284,268141,154685,1989,588727.0,0.0,ptp4l[16051.184]: rms 250284 max 268141 freq +154685 +/- 1989 delay 588727 +/-   0,28.02299999999923
