t,type,port,from,to,reason,raw,t_rel_s
15265.264,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15265.264]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
15265.265,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[15265.265]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0010000000002037268
15269.446,new_foreign_master,1.0,,,2a515a.fffe.78028f-2,ptp4l[15269.446]: port 1: new foreign master 2a515a.fffe.78028f-2,4.1820000000006985
15273.447,best_master,,,,ba2f85.fffe.43be95,ptp4l[15273.447]: selected best master clock ba2f85.fffe.43be95,8.183000000000902
15273.448,ptp_timescale_mismatch,,,,,ptp4l[15273.448]: foreign master not using PTP timescale,8.184000000001106
15273.448,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[15273.448]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,8.184000000001106
15297.401,state,1.0,UNCALIBRATED,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15297.401]: port 1: UNCALIBRATED to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,32.137000000000626
15313.557,best_master,,,,ba2f85.fffe.43be95,ptp4l[15313.557]: selected best master clock ba2f85.fffe.43be95,48.293000000001484
15313.558,ptp_timescale_mismatch,,,,,ptp4l[15313.558]: foreign master not using PTP timescale,48.29400000000169
15313.558,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[15313.558]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,48.29400000000169
15316.567,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15316.567]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,51.302999999999884
15355.423,state,1.0,SLAVE,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15355.423]: port 1: SLAVE to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,90.15900000000147
15374.293,best_master,,,,ba2f85.fffe.43be95,ptp4l[15374.293]: selected best master clock ba2f85.fffe.43be95,109.02900000000045
15374.294,ptp_timescale_mismatch,,,,,ptp4l[15374.294]: foreign master not using PTP timescale,109.03000000000065
15374.294,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[15374.294]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,109.03000000000065
15376.294,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15376.294]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,111.03000000000065
15441.157,state,1.0,SLAVE,LISTENING,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[15441.157]: port 1: SLAVE to LISTENING on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,175.89300000000003
15459.98,best_master,,,,ba2f85.fffe.43be95,ptp4l[15459.980]: selected best master clock ba2f85.fffe.43be95,194.71600000000035
15459.981,ptp_timescale_mismatch,,,,,ptp4l[15459.981]: foreign master not using PTP timescale,194.71700000000055
15459.981,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[15459.981]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,194.71700000000055
15461.981,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[15461.981]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,196.71700000000055
