t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
15277.469,390613,547971,14628,0,697205,152997,ptp4l[15277.469]: rms 390613 max 547971 freq +14628 +/-   0 delay 697205 +/- 152997,0.0
15279.467,390624,469764,14628,0,690885,0,ptp4l[15279.467]: rms 390624 max 469764 freq +14628 +/-   0 delay 690885 +/-   0,1.9980000000014115
15281.477,133749,144706,14628,0,619032,14792,ptp4l[15281.477]: rms 133749 max 144706 freq +14628 +/-   0 delay 619032 +/- 14792,4.00800000000163
15283.475,177991,219410,14628,0,633824,0,ptp4l[15283.475]: rms 177991 max 219410 freq +14628 +/-   0 delay 633824 +/-   0,6.006000000001222
15285.476,788626,1042510,14628,0,651292,5953,ptp4l[15285.476]: rms 788626 max 1042510 freq +14628 +/-   0 delay 651292 +/- 5953,8.007000000001426
15287.474,483682,535138,14628,0,643344,0,ptp4l[15287.474]: rms 483682 max 535138 freq +14628 +/-   0 delay 643344 +/-   0,10.005000000001019
15315.559,340714,377509,25467,10839,597984,45360,ptp4l[15315.559]: rms 340714 max 377509 freq +25467 +/- 10839 delay 597984 +/- 45360,38.090000000000146
15317.558,318981,437693,19772,27563,649485,0,ptp4l[15317.558]: rms 318981 max 437693 freq +19772 +/- 27563 delay 649485 +/-   0,40.08900000000176
15319.567,697673,976658,78711,55909,909728,163382,ptp4l[15319.567]: rms 697673 max 976658 freq +78711 +/- 55909 delay 909728 +/- 163382,42.097999999999956
15321.569,294412,330698,40905,29310,1004182,4992,ptp4l[15321.569]: rms 294412 max 330698 freq +40905 +/- 29310 delay 1004182 +/- 4992,44.100000000000364
15323.558,283637,385720,51004,24846,999190,8151,ptp4l[15323.558]: rms 283637 max 385720 freq +51004 +/- 24846 delay 999190 +/- 8151,46.08900000000176
15325.573,682848,894239,63735,63387,1011094,11904,ptp4l[15325.573]: rms 682848 max 894239 freq +63735 +/- 63387 delay 1011094 +/- 11904,48.10400000000118
15327.573,164582,231778,50594,10513,1058228,35230,ptp4l[15327.573]: rms 164582 max 231778 freq +50594 +/- 10513 delay 1058228 +/- 35230,50.10400000000118
15329.576,206295,260646,18039,6413,1006913,16209,ptp4l[15329.576]: rms 206295 max 260646 freq +18039 +/- 6413 delay 1006913 +/- 16209,52.10699999999997
15331.573,145887,198603,24608,7108,883379,79397,ptp4l[15331.573]: rms 145887 max 198603 freq +24608 +/- 7108 delay 883379 +/- 79397,54.10400000000118
15333.575,286289,402964,59657,18386,757176,33669,ptp4l[15333.575]: rms 286289 max 402964 freq +59657 +/- 18386 delay 757176 +/- 33669,56.106000000001586
15335.586,110667,113038,26518,296,723507,0,ptp4l[15335.586]: rms 110667 max 113038 freq +26518 +/- 296 delay 723507 +/-   0,58.11700000000019
