t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
16193.749,-19804,0,-46761,175144,ptp4l[16193.749]: master offset     -19804 s0 freq  -46761 path delay    175144,0.0
16194.749,-24763,0,-46761,175144,ptp4l[16194.749]: master offset     -24763 s0 freq  -46761 path delay    175144,1.0
16195.749,241592,0,-46761,179384,ptp4l[16195.749]: master offset     241592 s0 freq  -46761 path delay    179384,2.0
16196.751,71482,0,-46761,312493,ptp4l[16196.751]: master offset      71482 s0 freq  -46761 path delay    312493,3.0020000000004075
16197.75,-98651,0,-46761,312493,ptp4l[16197.750]: master offset     -98651 s0 freq  -46761 path delay    312493,4.001000000000204
16198.751,418123,0,-46761,351952,ptp4l[16198.751]: master offset     418123 s0 freq  -46761 path delay    351952,5.0020000000004075
16199.751,-23344,0,-46761,398777,ptp4l[16199.751]: master offset     -23344 s0 freq  -46761 path delay    398777,6.0020000000004075
16200.752,46825,0,-46761,398777,ptp4l[16200.752]: master offset      46825 s0 freq  -46761 path delay    398777,7.003000000000611
16201.752,-245699,0,-46761,351952,ptp4l[16201.752]: master offset    -245699 s0 freq  -46761 path delay    351952,8.003000000000611
16202.753,-163821,0,-46761,336368,ptp4l[16202.753]: master offset    -163821 s0 freq  -46761 path delay    336368,9.004000000000815
16203.754,-29649,0,-46761,336368,ptp4l[16203.754]: master offset     -29649 s0 freq  -46761 path delay    336368,10.005000000001019
16204.753,-218779,0,-46761,336368,ptp4l[16204.753]: master offset    -218779 s0 freq  -46761 path delay    336368,11.004000000000815
16205.753,-276074,0,-46761,336368,ptp4l[16205.753]: master offset    -276074 s0 freq  -46761 path delay    336368,12.004000000000815
16206.753,-42697,0,-46761,199912,ptp4l[16206.753]: master offset     -42697 s0 freq  -46761 path delay    199912,13.004000000000815
16207.753,-84282,0,-46761,199912,ptp4l[16207.753]: master offset     -84282 s0 freq  -46761 path delay    199912,14.004000000000815
16208.754,-2758,0,-46761,159932,ptp4l[16208.754]: master offset      -2758 s0 freq  -46761 path delay    159932,15.005000000001019
16209.754,-19717,2,-46756,159932,ptp4l[16209.754]: master offset     -19717 s2 freq  -46756 path delay    159932,16.00500000000102
16210.756,235837,2,-22936,159932,ptp4l[16210.756]: master offset     235837 s2 freq  -22936 path delay    159932,17.006999999999607
16211.756,110906,2,-35318,162975,ptp4l[16211.756]: master offset     110906 s2 freq  -35318 path delay    162975,18.006999999999607
16212.756,30324,2,-43346,162975,ptp4l[16212.756]: master offset      30324 s2 freq  -43346 path delay    162975,19.006999999999607
16213.756,16616,2,-44700,162975,ptp4l[16213.756]: master offset      16616 s2 freq  -44700 path delay    162975,20.006999999999607
16214.756,79577,2,-38325,162975,ptp4l[16214.756]: master offset      79577 s2 freq  -38325 path delay    162975,21.006999999999607
16215.756,-26532,2,-48962,173913,ptp4l[16215.756]: master offset     -26532 s2 freq  -48962 path delay    173913,22.006999999999607
16216.757,274099,2,-18625,199883,ptp4l[16216.757]: master offset     274099 s2 freq  -18625 path delay    199883,23.00799999999981
16217.758,427397,2,-2868,276824,ptp4l[16217.758]: master offset     427397 s2 freq   -2868 path delay    276824,24.009000000000015
16218.76,1862616,2,142517,356265,ptp4l[16218.760]: master offset    1862616 s2 freq +142517 path delay    356265,25.011000000000422
16219.758,-105276,2,-54378,399734,ptp4l[16219.758]: master offset    -105276 s2 freq  -54378 path delay    399734,26.009000000000015
16220.759,-157845,2,-59792,399734,ptp4l[16220.759]: master offset    -157845 s2 freq  -59792 path delay    399734,27.01000000000022
16221.76,-211090,2,-65328,419766,ptp4l[16221.760]: master offset    -211090 s2 freq  -65328 path delay    419766,28.011000000000422
16222.76,-236879,2,-68144,419766,ptp4l[16222.760]: master offset    -236879 s2 freq  -68144 path delay    419766,29.011000000000422
16223.76,-298174,2,-74571,419766,ptp4l[16223.760]: master offset    -298174 s2 freq  -74571 path delay    419766,30.011000000000422
16224.763,274482,2,-17031,393568,ptp4l[16224.763]: master offset     274482 s2 freq  -17031 path delay    393568,31.014000000001033
16225.762,-100688,2,-54649,393568,ptp4l[16225.762]: master offset    -100688 s2 freq  -54649 path delay    393568,32.01300000000083
16226.763,132889,2,-31158,370597,ptp4l[16226.763]: master offset     132889 s2 freq  -31158 path delay    370597,33.01400000000103
16227.762,-259095,2,-70616,372932,ptp4l[16227.762]: master offset    -259095 s2 freq  -70616 path delay    372932,34.01300000000083
