t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s
14983.237,-226393,0,-265397,470291,ptp4l[14983.237]: master offset    -226393 s0 freq -265397 path delay    470291,0.0
14984.239,583321,0,-265397,291077,ptp4l[14984.239]: master offset     583321 s0 freq -265397 path delay    291077,1.0020000000004075
14985.239,-12920,0,-265397,291077,ptp4l[14985.239]: master offset     -12920 s0 freq -265397 path delay    291077,2.0020000000004075
14986.239,52681,0,-265397,380684,ptp4l[14986.239]: master offset      52681 s0 freq -265397 path delay    380684,3.0020000000004075
14987.239,-145455,0,-265397,380684,ptp4l[14987.239]: master offset    -145455 s0 freq -265397 path delay    380684,4.0020000000004075
14988.241,114885,0,-265397,333484,ptp4l[14988.241]: master offset     114885 s0 freq -265397 path delay    333484,5.004000000000815
14989.242,893873,0,-265397,401887,ptp4l[14989.242]: master offset     893873 s0 freq -265397 path delay    401887,6.005000000001019
14990.241,-141495,0,-265397,523138,ptp4l[14990.241]: master offset    -141495 s0 freq -265397 path delay    523138,7.004000000000815
14991.245,-255359,0,-265397,523138,ptp4l[14991.245]: master offset    -255359 s0 freq -265397 path delay    523138,8.00800000000163
14992.247,19685,0,-265397,575986,ptp4l[14992.247]: master offset      19685 s0 freq -265397 path delay    575986,9.010000000000218
14993.243,-395143,0,-265397,575986,ptp4l[14993.243]: master offset    -395143 s0 freq -265397 path delay    575986,10.006000000001222
14994.247,1849795,0,-265397,523138,ptp4l[14994.247]: master offset    1849795 s0 freq -265397 path delay    523138,11.010000000000218
14995.245,719815,0,-265397,613985,ptp4l[14995.245]: master offset     719815 s0 freq -265397 path delay    613985,12.00800000000163
14996.251,827761,0,-265397,778035,ptp4l[14996.251]: master offset     827761 s0 freq -265397 path delay    778035,13.014000000001033
14997.252,-328051,0,-265397,990159,ptp4l[14997.252]: master offset    -328051 s0 freq -265397 path delay    990159,14.015000000001237
14998.251,-751382,0,-265397,990159,ptp4l[14998.251]: master offset    -751382 s0 freq -265397 path delay    990159,15.014000000001033
14999.255,1177881,1,-177709,990159,ptp4l[14999.255]: master offset    1177881 s1 freq -177709 path delay    990159,16.01800000000003
15000.261,-805793,2,-259094,990159,ptp4l[15000.261]: master offset    -805793 s2 freq -259094 path delay    990159,17.02400000000125
15001.263,377395,2,-140398,917524,ptp4l[15001.263]: master offset     377395 s2 freq -140398 path delay    917524,18.02600000000166
15002.264,-341904,2,-212670,930111,ptp4l[15002.264]: master offset    -341904 s2 freq -212670 path delay    930111,19.027000000000044
15003.265,-436714,2,-222588,930111,ptp4l[15003.265]: master offset    -436714 s2 freq -222588 path delay    930111,20.028000000000247
15004.266,-728418,2,-252486,1013549,ptp4l[15004.266]: master offset    -728418 s2 freq -252486 path delay   1013549,21.02900000000045
15005.265,-764175,2,-256826,930111,ptp4l[15005.265]: master offset    -764175 s2 freq -256826 path delay    930111,22.028000000000247
15006.274,5533287,2,378453,723124,ptp4l[15006.274]: master offset    5533287 s2 freq +378453 path delay    723124,23.037000000000262
15007.268,-592325,2,-234700,723124,ptp4l[15007.268]: master offset    -592325 s2 freq -234700 path delay    723124,24.03100000000086
15008.27,97790,2,-165591,441307,ptp4l[15008.270]: master offset      97790 s2 freq -165591 path delay    441307,25.033000000001266
15009.269,-324696,2,-208164,438157,ptp4l[15009.269]: master offset    -324696 s2 freq -208164 path delay    438157,26.032000000001062
15010.269,-249960,2,-200941,438157,ptp4l[15010.269]: master offset    -249960 s2 freq -200941 path delay    438157,27.032000000001062
15011.269,-256382,2,-201839,393974,ptp4l[15011.269]: master offset    -256382 s2 freq -201839 path delay    393974,28.032000000001062
15012.27,82415,2,-167877,393974,ptp4l[15012.270]: master offset      82415 s2 freq -167877 path delay    393974,29.033000000001266
15013.271,-153823,2,-191655,328431,ptp4l[15013.271]: master offset    -153823 s2 freq -191655 path delay    328431,30.03400000000147
15014.271,-146945,2,-191114,328431,ptp4l[15014.271]: master offset    -146945 s2 freq -191114 path delay    328431,31.03400000000147
15015.271,-97201,2,-186237,251090,ptp4l[15015.271]: master offset     -97201 s2 freq -186237 path delay    251090,32.03400000000147
15016.271,-67807,2,-183365,186510,ptp4l[15016.271]: master offset     -67807 s2 freq -183365 path delay    186510,33.03400000000147
15017.272,-43836,2,-181012,170175,ptp4l[15017.272]: master offset     -43836 s2 freq -181012 path delay    170175,34.03500000000167
15018.273,218131,2,-154597,164632,ptp4l[15018.273]: master offset     218131 s2 freq -154597 path delay    164632,35.03600000000006
15019.274,191142,2,-157105,170175,ptp4l[15019.274]: master offset     191142 s2 freq -157105 path delay    170175,36.03700000000026
15020.276,69740,2,-169175,216911,ptp4l[15020.276]: master offset      69740 s2 freq -169175 path delay    216911,37.03900000000067
15021.275,-11761,2,-177337,216911,ptp4l[15021.275]: master offset     -11761 s2 freq -177337 path delay    216911,38.038000000000466
15022.276,101614,2,-165898,216911,ptp4l[15022.276]: master offset     101614 s2 freq -165898 path delay    216911,39.03900000000067
15023.278,-91793,2,-185330,305612,ptp4l[15023.278]: master offset     -91793 s2 freq -185330 path delay    305612,40.04100000000108
15024.281,462877,2,-129401,305612,ptp4l[15024.281]: master offset     462877 s2 freq -129401 path delay    305612,41.04400000000169
15025.28,-53028,2,-181044,360509,ptp4l[15025.280]: master offset     -53028 s2 freq -181044 path delay    360509,42.043000000001484
15026.282,24683,2,-173248,378978,ptp4l[15026.282]: master offset      24683 s2 freq -173248 path delay    378978,43.04500000000007
15027.283,-220740,2,-198011,409559,ptp4l[15027.283]: master offset    -220740 s2 freq -198011 path delay    409559,44.04600000000028
15028.284,-107020,2,-186746,405063,ptp4l[15028.284]: master offset    -107020 s2 freq -186746 path delay    405063,45.04700000000048
15029.284,-187128,2,-194944,442103,ptp4l[15029.284]: master offset    -187128 s2 freq -194944 path delay    442103,46.04700000000048
15030.286,-16190,2,-177867,442103,ptp4l[15030.286]: master offset     -16190 s2 freq -177867 path delay    442103,47.04900000000089
15031.287,207899,2,-155250,442103,ptp4l[15031.287]: master offset     207899 s2 freq -155250 path delay    442103,48.05000000000109
15032.289,73625,2,-168604,442103,ptp4l[15032.289]: master offset      73625 s2 freq -168604 path delay    442103,49.0520000000015
15033.288,-231842,2,-199382,434549,ptp4l[15033.288]: master offset    -231842 s2 freq -199382 path delay    434549,50.051000000001295
15034.291,98576,2,-166242,412920,ptp4l[15034.291]: master offset      98576 s2 freq -166242 path delay    412920,51.05400000000009
15035.292,41203,2,-171938,412920,ptp4l[15035.292]: master offset      41203 s2 freq -171938 path delay    412920,52.05500000000029
15036.293,99766,2,-165982,412920,ptp4l[15036.293]: master offset      99766 s2 freq -165982 path delay    412920,53.056000000000495
15037.294,1163287,2,-58467,401106,ptp4l[15037.294]: master offset    1163287 s2 freq  -58467 path delay    401106,54.0570000000007
15038.294,130501,2,-161615,401106,ptp4l[15038.294]: master offset     130501 s2 freq -161615 path delay    401106,55.0570000000007
15039.296,-45631,2,-179273,401106,ptp4l[15039.296]: master offset     -45631 s2 freq -179273 path delay    401106,56.059000000001106
15040.301,1530564,2,-20123,412920,ptp4l[15040.301]: master offset    1530564 s2 freq  -20123 path delay    412920,57.064000000000306
15041.298,-47261,2,-177953,421763,ptp4l[15041.298]: master offset     -47261 s2 freq -177953 path delay    421763,58.06100000000151
15042.3,1116605,2,-60450,421763,ptp4l[15042.300]: master offset    1116605 s2 freq  -60450 path delay    421763,59.0630000000001
15043.3,-184191,2,-190714,515081,ptp4l[15043.300]: master offset    -184191 s2 freq -190714 path delay    515081,60.0630000000001
15044.303,467218,2,-125106,515081,ptp4l[15044.303]: master offset     467218 s2 freq -125106 path delay    515081,61.06600000000071
15045.304,-301350,2,-202264,602873,ptp4l[15045.304]: master offset    -301350 s2 freq -202264 path delay    602873,62.06700000000092
15046.305,-128822,2,-185140,602873,ptp4l[15046.305]: master offset    -128822 s2 freq -185140 path delay    602873,63.06800000000112
15047.306,697686,2,-101791,621777,ptp4l[15047.306]: master offset     697686 s2 freq -101791 path delay    621777,64.06900000000132
15048.306,-365471,2,-208472,671711,ptp4l[15048.306]: master offset    -365471 s2 freq -208472 path delay    671711,65.06900000000132
15049.309,-283841,2,-200593,813712,ptp4l[15049.309]: master offset    -283841 s2 freq -200593 path delay    813712,66.07200000000012
15050.309,122893,2,-159797,813712,ptp4l[15050.309]: master offset     122893 s2 freq -159797 path delay    813712,67.07200000000012
15051.31,-186730,2,-190946,813712,ptp4l[15051.310]: master offset    -186730 s2 freq -190946 path delay    813712,68.07300000000032
