t,type,port,from,to,reason,raw,t_rel_s
16096.438,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16096.438]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0
16096.439,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16096.439]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0010000000002037268
16096.439,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[16096.439]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0010000000002037268
16099.321,new_foreign_master,1.0,,,d60d11.fffe.2b20c1-1,ptp4l[16099.321]: port 1: new foreign master d60d11.fffe.2b20c1-1,2.882999999999811
16103.321,best_master,,,,d60d11.fffe.2b20c1,ptp4l[16103.321]: selected best master clock d60d11.fffe.2b20c1,6.882999999999811
16103.322,ptp_timescale_mismatch,,,,,ptp4l[16103.322]: foreign master not using PTP timescale,6.8840000000000146
16103.322,state,1.0,LISTENING,UNCALIBRATED,RS_SLAVE,ptp4l[16103.322]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE,6.8840000000000146
16103.737,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[16103.737]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,7.298999999999069
16103.737,best_master,,,,d60d11.fffe.2b20c1,ptp4l[16103.737]: selected best master clock d60d11.fffe.2b20c1,7.298999999999069
16103.737,ptp_timescale_mismatch,,,,,ptp4l[16103.737]: foreign master not using PTP timescale,7.298999999999069
16121.327,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[16121.327]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,24.888999999999214
