t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
14989.99,929609,1314640,-265397,0,501300,5626,ptp4l[14989.990]: rms 929609 max 1314640 freq -265397 +/-   0 delay 501300 +/- 5626,0.0
14991.992,152801,168712,-265397,0,501300,5626,ptp4l[14991.992]: rms 152801 max 168712 freq -265397 +/-   0 delay 501300 +/- 5626,2.0020000000004075
14993.993,196527,249833,-265397,0,506926,0,ptp4l[14993.993]: rms 196527 max 249833 freq -265397 +/-   0 delay 506926 +/-   0,4.003000000000611
14995.992,405418,441588,-265397,0,572462,47954,ptp4l[14995.992]: rms 405418 max 441588 freq -265397 +/-   0 delay 572462 +/- 47954,6.0020000000004075
14997.993,260085,293566,-265397,0,626235,25643,ptp4l[14997.993]: rms 260085 max 293566 freq -265397 +/-   0 delay 626235 +/- 25643,8.003000000000611
14999.996,422354,467048,-265397,0,705895,16281,ptp4l[14999.996]: rms 422354 max 467048 freq -265397 +/-   0 delay 705895 +/- 16281,10.005999999999403
15001.997,328423,426224,-265397,0,705895,16281,ptp4l[15001.997]: rms 328423 max 426224 freq -265397 +/-   0 delay 705895 +/- 16281,12.006999999999607
15003.997,321447,382612,-265397,0,610006,606,ptp4l[15003.997]: rms 321447 max 382612 freq -265397 +/-   0 delay 610006 +/- 606,14.006999999999607
15005.997,424667,492288,-393932,24861,609401,0,ptp4l[15005.997]: rms 424667 max 492288 freq -393932 +/- 24861 delay 609401 +/-   0,16.006999999999607
15008.0,301445,417527,-395039,16781,567687,0,ptp4l[15008.000]: rms 301445 max 417527 freq -395039 +/- 16781 delay 567687 +/-   0,18.01000000000022
15009.999,122179,145582,-382192,2579,298101,75801,ptp4l[15009.999]: rms 122179 max 145582 freq -382192 +/- 2579 delay 298101 +/- 75801,20.009000000000015
15012.0,58456,77814,-372812,5325,203589,0,ptp4l[15012.000]: rms 58456 max 77814 freq -372812 +/- 5325 delay 203589 +/-   0,22.01000000000022
15014.001,92841,103114,-379719,1051,193298,10290,ptp4l[15014.001]: rms 92841 max 103114 freq -379719 +/- 1051 delay 193298 +/- 10290,24.011000000000422
15016.0,476213,670293,-333360,30584,168611,1503,ptp4l[15016.000]: rms 476213 max 670293 freq -333360 +/- 30584 delay 168611 +/- 1503,26.01000000000022
15018.001,69021,91245,-366965,6341,178064,7950,ptp4l[15018.001]: rms 69021 max 91245 freq -366965 +/- 6341 delay 178064 +/- 7950,28.011000000000422
