t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s
16110.774,145356,195612,-39170,0,211529,0,ptp4l[16110.774]: rms 145356 max 195612 freq -39170 +/-   0 delay 211529 +/-   0,0.0
16112.783,88846,97787,-39170,0,237786,26257,ptp4l[16112.783]: rms 88846 max 97787 freq -39170 +/-   0 delay 237786 +/- 26257,2.0090000000000146
16114.784,603821,852418,-39170,0,230686,4375,ptp4l[16114.784]: rms 603821 max 852418 freq -39170 +/-   0 delay 230686 +/- 4375,4.010000000000218
16116.783,867149,1226021,-39170,0,236494,1412,ptp4l[16116.783]: rms 867149 max 1226021 freq -39170 +/-   0 delay 236494 +/- 1412,6.0090000000000146
16118.779,138957,157287,-39170,0,264122,18538,ptp4l[16118.779]: rms 138957 max 157287 freq -39170 +/-   0 delay 264122 +/- 18538,8.005000000001019
16120.782,935007,1322286,-39170,0,325246,54966,ptp4l[16120.782]: rms 935007 max 1322286 freq -39170 +/-   0 delay 325246 +/- 54966,10.00799999999981
16123.783,79681,85501,-39170,0,356134,36560,ptp4l[16123.783]: rms 79681 max 85501 freq -39170 +/-   0 delay 356134 +/- 36560,13.009000000000015
16125.784,141263,148798,-32549,6621,296269,8848,ptp4l[16125.784]: rms 141263 max 148798 freq -32549 +/- 6621 delay 296269 +/- 8848,15.010000000000218
16127.771,114065,126579,-37420,1392,281032,0,ptp4l[16127.771]: rms 114065 max 126579 freq -37420 +/- 1392 delay 281032 +/-   0,16.997000000001208
16129.777,70011,92861,-32625,2908,228986,20138,ptp4l[16129.777]: rms 70011 max 92861 freq -32625 +/- 2908 delay 228986 +/- 20138,19.00300000000061
16131.782,64820,86254,-23509,5908,185700,0,ptp4l[16131.782]: rms 64820 max 86254 freq -23509 +/- 5908 delay 185700 +/-   0,21.00799999999981
16133.778,156930,219054,-13347,9281,185700,0,ptp4l[16133.778]: rms 156930 max 219054 freq -13347 +/- 9281 delay 185700 +/-   0,23.004000000000815
16135.788,43355,55528,-30102,1504,201824,9469,ptp4l[16135.788]: rms 43355 max 55528 freq -30102 +/- 1504 delay 201824 +/- 9469,25.014000000001033
16137.792,439012,611722,-573,36198,208612,0,ptp4l[16137.792]: rms 439012 max 611722 freq   -573 +/- 36198 delay 208612 +/-   0,27.01800000000003
16139.789,62555,82368,-31378,2489,252859,0,ptp4l[16139.789]: rms 62555 max 82368 freq -31378 +/- 2489 delay 252859 +/-   0,29.015000000001237
