t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-3.719,13.089720012284447,-10.968566268815673,3.5305662688156727,-1.5282,-0.47,-0.16,-0.034,0.0013999999999999991,-51.0,0.005
61,8.0,-2.311875,5.942482199925261,-7.280703887215676,2.6569538872156753,-5.648799999999999,-0.613,-0.0825,0.0005,0.0053,-17.0,0.006000000000000001
62,5.0,-1.1172,2.3185734191523895,-3.995627613262324,1.761227613262324,-3.247,-0.226,-0.116,-0.014000000000000002,0.013000000000000005,-5.261,0.031
63,1.0,-0.7120000000000001,0.0,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001,-0.7120000000000001
67,1.0,-1.358,0.0,-1.358,-1.358,-1.358,-1.358,-1.358,-1.358,-1.358,-1.358,-1.358
122,3.0,-0.32566666666666666,0.43899924069790064,-1.416289253757229,0.7649559204238955,-0.69,-0.486,-0.14600000000000002,-0.07550000000000001,-0.03319999999999999,-0.826,-0.005
123,6.0,-1.3851666666666667,1.631303211137239,-3.097392883653561,0.3270595503202276,-3.3150000000000004,-2.59825,-0.838,-0.02275,-0.0025000000000000005,-3.6970000000000005,-0.002
124,4.0,-2.9615,4.76466917354535,-10.542088655110652,4.619088655110652,-7.5355,-3.83875,-0.9105000000000001,-0.03325,-0.0283,-10.0,-0.025
130,1.0,-0.322,0.0,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322,-0.322
135,1.0,-14.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
184,8.0,-18.760125000000002,32.43956913329107,-45.884592987527824,8.364342987527817,-56.69999999999999,-18.0,-3.3645000000000005,-0.26025000000000004,-0.009000000000000005,-90.99999999999999,0.005
185,4.0,-18.80125,28.87273924627404,-64.737778140822,27.135278140822,-45.5462,-20.8655,-5.503000000000001,-3.4387500000000006,-2.6948999999999996,-62.0,-2.199
187,1.0,-0.045000000000000005,0.0,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005,-0.045000000000000005
197,1.0,-0.241,0.0,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241,-0.241
202,1.0,-0.9710000000000001,0.0,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001,-0.9710000000000001
245,4.0,-1.295,2.3334419498529066,-5.007506142215974,2.4175061422159745,-3.4609,-1.4732500000000002,-0.20000000000000004,-0.02175,-0.0050999999999999926,-4.7860000000000005,0.006000000000000001
246,5.0,-16.948200000000003,26.9277786811315,-50.37809317453703,16.481693174537025,-44.4,-14.999999999999998,-3.0250000000000004,-2.539,-1.1218,-64.0,-0.17700000000000002
247,3.0,-30.805333333333333,46.164344957264724,-145.49317937286744,83.88251270620077,-68.638,-45.595,-7.19,-4.208,-2.4188,-84.0,-1.226
248,1.0,-0.071,0.0,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071
264,1.0,-0.11200000000000002,0.0,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002,-0.11200000000000002
267,1.0,-0.377,0.0,-0.377,-0.377,-0.377,-0.377,-0.377,-0.377,-0.377,-0.377,-0.377
306,2.0,-0.03200000000000001,0.04384062043356596,-0.4258860000000001,0.36188600000000004,-0.05680000000000001,-0.047500000000000014,-0.03200000000000001,-0.016500000000000004,-0.0072,-0.06300000000000001,-0.001
307,6.0,-12.512166666666667,27.691670599056796,-41.57752010198294,16.55318676864961,-35.626999999999995,-2.2425,-1.8965,-0.4195,-0.012999999999999998,-69.0,0.005
