t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,95.2,49.72380861174195,67.66113397915075,122.73886602084926,39.6,60.0,89.99999999999999,115.5,170.8,24.999999999999996,185.0
61,8.0,86.5,45.3777793324316,48.55719879354113,124.44280120645887,40.599999999999994,43.75,94.5,101.5,129.7,35.0,170.99999999999997
62,5.0,125.4,60.010832355500604,50.898655543943406,199.90134445605662,65.8,79.0,121.0,169.99999999999997,187.99999999999997,56.99999999999999,199.99999999999997
63,1.0,103.0,0.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
67,1.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
122,3.0,78.33333333333333,27.428695436227606,10.191177256659486,146.47548941000719,55.599999999999994,68.5,89.99999999999999,94.0,96.39999999999999,47.0,98.0
123,6.0,127.33333333333333,68.83506858184036,55.08360791793814,199.58305874872852,63.5,82.0,112.0,159.25,206.5,53.0,239.99999999999997
124,4.0,170.5,48.266620626129054,93.70780658382867,247.29219341617133,125.7,165.75,189.0,193.74999999999997,200.5,99.0,205.0
130,1.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
135,1.0,24.999999999999996,0.0,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996
184,8.0,142.125,80.95578599281392,74.43351443973984,209.81648556026016,78.4,91.0,119.5,157.99999999999997,253.39999999999998,56.0,294.0
185,4.0,149.0,82.67607473346405,17.4623650990587,280.53763490094127,79.5,104.25,137.0,181.75,228.10000000000002,63.0,259.0
187,1.0,205.0,0.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
197,1.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
202,1.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
245,4.0,90.99999999999999,31.853832841067426,40.32055194986171,141.67944805013826,64.4,68.0,85.0,107.99999999999999,122.39999999999998,62.0,131.99999999999997
246,5.0,142.6,79.45942360727267,43.95391135093091,241.24608864906907,55.8,84.0,168.0,198.0,214.8,37.0,226.0
247,3.0,148.66666666666666,24.006943440041116,89.02529981352427,208.30803351980904,129.6,136.5,148.0,160.5,168.0,125.0,173.0
248,1.0,206.0,0.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0
264,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
267,1.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
306,2.0,58.5,3.5355339059327378,26.735,90.265,56.5,57.25,58.5,59.75,60.5,56.0,61.0
