t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-4.411933333333334,11.471341897258993,-10.765182539456507,1.941315872789839,-14.698799999999997,-0.29400000000000004,-0.059000000000000004,-0.015,0.0013999999999999991,-40.0,0.041
61,7.0,-0.5797142857142857,0.955100468412567,-1.4630667143539764,0.3036381429254048,-1.6625999999999999,-0.6395,-0.07800000000000001,-0.05650000000000001,-0.03019999999999999,-2.58,-0.008
62,7.0,-0.4461428571428572,0.7982145552359192,-1.1843947890208983,0.292109074735184,-1.4158,-0.5155,-0.022000000000000002,-0.006500000000000001,-0.0009999999999999983,-2.059,0.002
63,1.0,-0.037,0.0,-0.037,-0.037,-0.037,-0.037,-0.037,-0.037,-0.037,-0.037,-0.037
123,12.0,-2.565916666666667,6.149874122264372,-6.473386610375466,1.3415532770421326,-6.0246,-1.9500000000000002,-0.08900000000000001,0.0,0.20370000000000008,-21.0,1.6780000000000002
124,3.0,-0.4773333333333334,0.6872622012982624,-2.1847250791547523,1.2300584124880853,-1.0388,-0.692,-0.114,-0.08100000000000002,-0.061200000000000004,-1.27,-0.04800000000000001
184,4.0,-2.4145000000000003,3.5375717189431892,-8.042776604838615,3.213776604838614,-5.87,-3.35,-1.0895,-0.15400000000000003,-0.01899999999999996,-7.550000000000001,0.071
185,9.0,-0.47800000000000004,1.0813543591256292,-1.309201050714567,0.3532010507145669,-1.9548000000000003,-0.918,-0.11200000000000002,-0.013000000000000001,0.28460000000000024,-2.3380000000000005,1.243
186,2.0,-1.044,2.5158859274617367,-23.647974000000005,21.559974000000004,-2.4672,-1.9335000000000002,-1.0440000000000003,-0.15450000000000008,0.3792000000000001,-2.8230000000000004,0.7350000000000001
246,12.0,-7.812333333333334,16.750190595025984,-18.454968450775212,2.830301784108543,-23.131499999999996,-4.54125,-0.5655,-0.004,0.003500000000000002,-56.0,0.09000000000000001
