t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,147.06666666666666,48.62166869479765,120.13820609054015,173.99512724279316,76.8,140.0,158.0,176.0,192.2,36.0,210.99999999999997
61,7.0,164.14285714285714,28.162792069375097,138.09568033317004,190.19003395254424,139.2,143.5,155.0,181.49999999999997,202.99999999999997,138.0,206.0
62,7.0,130.42857142857142,51.15615682351814,83.11531291343923,177.7418299437036,77.60000000000001,108.5,119.99999999999999,168.5,189.6,47.0,192.0
63,1.0,195.0,0.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
123,12.0,145.75,63.42945257958209,105.44857682072976,186.05142317927024,78.0,99.0,144.5,191.25,209.09999999999997,47.0,254.99999999999997
124,3.0,190.66666666666666,32.03643758805484,111.07732070810818,270.25601262522514,164.0,177.5,199.99999999999997,208.5,213.6,155.0,217.0
184,4.0,139.75,52.6458292111857,55.99048572500355,223.50951427499643,97.4,110.0,129.0,158.74999999999997,190.7,89.0,212.0
185,9.0,115.63066666666666,61.23031654335946,68.56496335033768,162.69636998299563,42.5352,59.99999999999999,136.0,153.0,173.2,8.676000000000002,189.99999999999997
186,2.0,189.5,3.5355339059327378,157.735,221.265,187.5,188.25,189.5,190.75,191.5,187.0,192.0
246,12.0,121.55633333333333,66.02614282145208,79.60504076299772,163.50762590366895,51.2,80.74999999999999,109.0,195.0,202.5,8.676000000000002,208.99999999999997
247,1.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
248,2.0,166.5,79.90306627407988,-551.389,884.389,121.29999999999998,138.25,166.5,194.75,211.7,109.99999999999999,223.0
307,4.0,104.75,55.05376160324258,17.159465289241055,192.34053471075896,64.7,68.74999999999999,87.0,123.0,159.0,62.0,183.0
308,9.0,97.11111111111111,77.80977516424983,37.30133060152441,156.92089162069783,29.8,42.99999999999999,61.0,121.0,214.39999999999998,13.0,227.99999999999997
310,2.0,163.5,20.506096654409877,-20.736999999999966,347.73699999999997,151.9,156.25,163.5,170.75,175.1,149.0,178.0
369,11.0,138.63636363636363,77.66372734716346,86.46441309415644,190.8083141785708,54.99999999999999,65.5,156.0,194.99999999999997,214.0,35.0,268.0
370,2.0,61.5,57.27564927611035,-453.09299999999996,576.093,29.1,41.25,61.5,81.75,93.9,21.0,102.0
371,1.0,175.0,0.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
372,1.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
430,4.0,72.5,56.6009422771977,-17.552099163021538,162.55209916302152,32.2,34.0,52.99999999999999,91.49999999999999,128.4,31.0,153.0
431,9.0,90.33333333333333,79.70884518044406,29.06380100463199,151.60286566203467,18.4,18.999999999999996,70.99999999999999,139.0,181.20000000000002,16.0,250.0
433,1.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
434,1.0,124.0,0.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
492,10.0,97.7,50.037874544077994,61.90754772916503,133.49245227083497,35.2,68.5,91.5,138.25,150.29999999999998,18.999999999999996,170.99999999999997
493,3.0,100.0,109.13752791776072,-171.1345305680067,371.1345305680067,35.8,37.0,39.0,132.5,188.60000000000002,35.0,226.0
495,1.0,52.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
496,1.0,118.99999999999999,0.0,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999,118.99999999999999
553,4.0,91.25,81.61852322440863,-38.605070450034134,221.10507045003413,24.7,37.74999999999999,74.0,127.5,171.6,16.0,200.99999999999997
554,8.0,102.375,68.21172396087263,45.33950993697073,159.41049006302927,48.099999999999994,59.5,77.99999999999999,125.0,188.0,32.0,237.0
555,1.0,36.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
557,2.0,63.5,74.24621202458749,-603.5649999999999,730.5649999999999,21.5,37.25,63.5,89.75,105.5,11.0,116.0
615,10.0,98.3,69.56859125272616,48.53708531486526,148.06291468513473,32.7,46.5,82.0,136.99999999999997,191.79999999999998,12.0,226.0
616,2.0,161.0,152.73506473629428,-1211.248,1533.248,74.6,107.0,161.0,215.0,247.4,53.0,269.0
618,2.0,32.5,4.949747468305833,-11.97099999999999,76.97099999999999,29.7,30.75,32.5,34.25,35.3,29.0,36.0
619,1.0,223.0,0.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0
676,3.0,84.0,61.39218191268331,-68.51894321799287,236.51894321799287,36.8,51.49999999999999,75.99999999999999,112.5,134.4,27.0,149.0
677,9.0,93.77777777777777,94.24141575997488,21.33754286361041,166.21801269194515,21.6,42.0,53.0,111.0,229.6,12.0,283.99999999999994
680,2.0,116.0,113.13708498984761,-900.48,1132.48,52.0,76.0,116.0,156.0,180.0,36.0,196.0
682,1.0,217.0,0.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0
738,9.0,84.33333333333333,66.23443213314356,33.42113316699031,135.24553349967636,21.8,32.0,64.0,122.0,176.2,13.0,197.0
739,3.0,85.66666666666667,49.70244796117523,-37.81102385046455,209.1443571837979,51.8,57.5,67.0,104.49999999999999,126.99999999999999,48.0,141.99999999999997
741,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
743,2.0,183.0,32.526911934581186,-109.238,475.238,164.6,171.5,183.0,194.5,201.4,160.0,206.0
799,2.0,87.0,74.95331880577403,-586.4179999999999,760.4179999999999,44.6,60.5,87.0,113.5,129.4,34.0,140.0
800,10.0,92.4,70.57257887373034,41.918925734093186,142.88107426590682,19.4,33.0,84.0,125.5,203.4,14.0,207.0
803,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
804,1.0,179.0,0.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
805,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
861,9.0,81.61733333333333,59.93101787889139,35.550357590425484,127.68430907624119,22.7112,42.0,54.99999999999999,118.99999999999999,168.4,9.556000000000001,174.0
862,3.0,62.0,45.57411546042336,-51.221516348851864,175.22151634885188,31.799999999999997,36.0,42.99999999999999,78.49999999999999,99.79999999999998,29.0,113.99999999999999
864,1.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
866,1.0,177.0,0.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
867,1.0,47.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
922,2.0,104.5,103.94469683442249,-829.391,1038.391,45.7,67.75,104.5,141.25,163.3,31.0,178.0
923,10.0,80.4393,55.48457904288962,40.75078074823588,120.12781925176412,19.6393,32.25,86.0,116.5,129.7,7.393,180.99999999999997
926,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
928,1.0,177.0,0.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
929,1.0,213.0,0.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0
984,9.0,96.82144444444445,74.07523836463692,39.88227788816021,153.7606110007287,21.478599999999997,32.0,89.99999999999999,148.0,188.99999999999997,7.393,220.99999999999997
985,3.0,58.0,50.08991914547276,-66.44029998490572,182.44029998490572,24.4,29.499999999999996,37.99999999999999,76.49999999999999,99.6,21.0,114.99999999999999
988,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
990,2.0,151.0,15.556349186104026,11.23400000000018,290.76599999999985,142.2,145.5,151.0,156.49999999999997,159.79999999999998,140.0,161.99999999999997
1045,2.0,67.0,38.18376618407357,-276.062,410.062,45.4,53.5,67.0,80.5,88.6,40.0,94.0
1046,10.0,130.6393,133.9615987281015,34.81560300470488,226.4629969952951,27.739299999999997,36.5,108.0,160.25,229.99999999999991,7.393,464.0
1049,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
1051,1.0,113.99999999999999,0.0,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999,113.99999999999999
1053,1.0,126.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0
1107,9.0,102.93255555555555,77.49972379807413,43.36110119610257,162.50400991500854,20.6786,37.99999999999999,96.0,165.0,208.8,7.393,216.0
1108,3.0,81.66666666666666,53.817593158123785,-52.03443629604058,215.3677696293739,42.4,52.0,68.0,104.49999999999999,126.39999999999998,36.0,140.99999999999997
1111,1.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
1113,1.0,161.99999999999997,0.0,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997,161.99999999999997
1114,1.0,67.0,0.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
1168,2.0,60.0,25.45584412271571,-168.708,288.70799999999997,45.6,51.0,60.0,69.0,74.4,42.0,78.0
1169,10.0,89.7,61.61899057920375,45.6234919672622,133.7765080327378,25.5,37.0,78.0,138.0,173.4,21.0,177.0
1172,1.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
1176,2.0,191.0,127.27922061357856,-952.54,1334.54,119.0,146.0,191.0,236.0,263.0,101.0,281.0
