t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-2.0066666666666664,6.147045883612558,-5.41112577265808,1.3977924393247472,-2.4964,-0.5905,-0.037,-0.0025000000000000005,0.019199999999999988,-24.0,0.08
61,6.0,-1.812166666666667,2.5148550190153443,-4.451774475982068,0.8274411426487343,-4.782500000000001,-2.8360000000000003,-0.6515000000000001,-0.01725,-0.0025,-6.200000000000001,0.0
62,8.0,-1.3552499999999998,3.257370971022051,-4.078913013647008,1.3684130136470083,-3.594099999999999,-0.5117499999999999,-0.0245,-0.005250000000000001,0.0014999999999999992,-9.36,0.005
65,1.0,-0.038000000000000006,0.0,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006,-0.038000000000000006
123,14.0,-8.492214285714285,15.788472363276124,-17.606651226206086,0.6222226547775165,-34.599999999999994,-9.59975,-0.1285,-0.021750000000000002,0.003000000000000011,-44.99999999999999,1.01
131,1.0,-11.0,0.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0
184,4.0,-1.8357500000000004,1.5012968560547912,-4.224313297983173,0.5528132979831724,-3.1926,-2.5365,-1.852,-1.15125,-0.46589999999999976,-3.6300000000000003,-0.009000000000000001
185,10.0,-1.7739999999999998,2.647509017926096,-3.6677822804054325,0.11978228040543293,-4.606400000000001,-3.1015,-0.2245,-0.043,-0.024500000000000008,-7.805000000000001,-0.002
196,1.0,-0.321,0.0,-0.321,-0.321,-0.321,-0.321,-0.321,-0.321,-0.321,-0.321,-0.321
246,14.0,-4.495642857142856,13.357315740286827,-12.20661129081219,3.215325576526477,-7.3726,-0.62425,-0.12000000000000001,-0.00175,0.001700000000000001,-49.99999999999999,0.031
261,1.0,-18.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
