t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,133.53333333333333,57.36084611184415,101.76479628801128,165.3018703786554,59.80000000000001,111.5,131.99999999999997,151.5,197.79999999999998,29.0,250.0
61,6.0,129.33333333333334,58.54456991614736,67.88458071133131,190.7820859553354,69.5,107.25,138.5,176.5,180.0,32.0,180.99999999999997
62,8.0,119.375,59.89976746914083,69.289583683244,169.46041631675598,53.800000000000004,86.49999999999999,112.49999999999999,155.0,176.6,37.0,227.0
65,1.0,140.0,0.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
123,14.0,150.0,96.28802945010669,94.41443400258709,205.5855659974129,43.4,112.99999999999999,131.99999999999997,164.0,235.70000000000005,39.0,412.99999999999994
131,1.0,77.0,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
184,4.0,168.0,102.29043617725625,5.2559160419853015,330.7440839580147,80.29999999999998,125.74999999999997,161.49999999999997,203.74999999999997,260.90000000000003,49.99999999999999,299.0
185,10.0,157.6,70.62608897882173,107.08064957028841,208.11935042971157,40.8,150.75,167.5,198.0,229.39999999999998,29.999999999999996,242.0
196,1.0,157.0,0.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
246,14.0,149.92857142857142,74.224673780369,107.07983387918568,192.77730897795715,52.0,95.25,170.99999999999997,198.49999999999997,229.3,16.0,247.0
261,1.0,154.0,0.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
307,4.0,179.0,97.74797525609759,23.482971367548743,334.51702863245123,86.0,135.5,189.0,232.5,264.0,53.0,285.0
308,10.0,164.7628,88.34757101961924,101.56714575256814,227.95845424743186,46.7628,161.0,170.99999999999997,187.5,227.99999999999994,8.628000000000002,336.0
326,1.0,113.0,0.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
369,13.0,148.3846153846154,93.78835967355654,91.70400814449772,205.06522262473305,47.8,52.0,136.0,205.0,251.6,14.0,330.99999999999994
370,1.0,175.0,0.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
391,1.0,131.0,0.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0
430,4.0,188.5,108.83779980625603,15.33906050824666,361.6609394917533,84.8,137.0,198.5,249.99999999999997,284.2,49.99999999999999,307.0
431,10.0,153.3,106.85717362702214,76.86429361378285,229.73570638621717,43.8,57.5,143.5,238.5,277.59999999999997,14.999999999999998,328.0
456,1.0,176.0,0.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0
492,13.0,131.15384615384616,85.3178822149321,79.59233693015247,182.71535537753985,41.4,47.0,122.99999999999999,174.0,242.40000000000003,23.0,300.0
493,1.0,82.0,0.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
521,1.0,163.0,0.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0
553,4.0,182.25,115.54328193365463,-1.5793615564444963,366.0793615564445,70.30000000000001,106.75,199.0,274.5,280.8,46.0,285.0
554,10.0,144.2,76.93547079641917,89.16750328614918,199.2324967138508,38.1,69.0,175.5,209.49999999999997,213.2,29.999999999999996,215.0
585,1.0,238.99999999999997,0.0,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997,238.99999999999997
615,13.0,142.69230769230768,96.25953166257062,84.5182578819221,200.86635750269326,40.2,47.0,114.99999999999999,210.99999999999997,259.20000000000005,34.0,297.0
616,1.0,157.0,0.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
