t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-50.76966666666667,64.15733156375,-86.30234623240878,-15.236987100924566,-146.1638,-74.076,-22.503,-9.009500000000001,-3.539600000000002,-197.28300000000002,3.01
61,8.0,-31.891375,48.69822175379859,-72.61057665101252,8.827826651012526,-95.33709999999999,-31.374999999999996,-14.264,-3.5035000000000003,0.27559999999999807,-133.226,7.837
62,5.0,-50.485200000000006,63.24243356876773,-128.99846406596944,28.02806406596943,-120.1856,-95.52199999999999,-27.291999999999998,-6.007000000000001,5.411000000000001,-136.628,13.023
63,1.0,-46.77,0.0,-46.77,-46.77,-46.77,-46.77,-46.77,-46.77,-46.77,-46.77,-46.77
67,1.0,-31.081000000000003,0.0,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003
122,3.0,-41.56366666666667,54.69642184214003,-177.44807730764563,94.32074397431228,-86.0984,-58.211,-11.732000000000001,-10.0005,-8.9616,-104.69,-8.269
123,6.0,-94.50150000000001,105.13891509189165,-204.85597341539682,15.852973415396818,-225.83100000000002,-183.00625000000002,-51.592,-17.48725,-6.0815,-233.071,2.176
124,4.0,-53.82900000000001,56.11961411128912,-143.115306051061,35.45730605106098,-109.0046,-87.077,-42.475,-9.227,-7.736599999999999,-123.623,-6.742999999999999
130,1.0,-28.285,0.0,-28.285,-28.285,-28.285,-28.285,-28.285,-28.285,-28.285,-28.285,-28.285
135,1.0,-79.998,0.0,-79.998,-79.998,-79.998,-79.998,-79.998,-79.998,-79.998,-79.998,-79.998
184,8.0,-96.6225,99.23115949855958,-179.59500799245984,-13.649992007540177,-215.1013,-182.26825,-57.518,-17.964,-4.878000000000001,-252.447,-1.602
185,4.0,-170.36875,20.38386785957628,-202.79948376458586,-137.93801623541415,-189.4211,-172.36024999999998,-161.336,-159.3445,-158.54260000000002,-200.79500000000002,-158.008
187,1.0,-5.535,0.0,-5.535,-5.535,-5.535,-5.535,-5.535,-5.535,-5.535,-5.535,-5.535
197,1.0,-29.337,0.0,-29.337,-29.337,-29.337,-29.337,-29.337,-29.337,-29.337,-29.337,-29.337
202,1.0,-15.818,0.0,-15.818,-15.818,-15.818,-15.818,-15.818,-15.818,-15.818,-15.818,-15.818
245,4.0,-64.27125000000001,62.916880572042565,-164.37200699011973,35.82950699011971,-124.91239999999999,-106.80799999999999,-54.641000000000005,-12.10425,-11.334299999999999,-136.982,-10.821
246,5.0,-141.2486,137.99157290682643,-312.5602999321575,30.063099932157428,-283.60839999999996,-150.379,-92.821,-76.006,-39.16779999999999,-372.428,-14.609
247,3.0,-147.011,182.80019098731816,-601.1484989585289,307.1264989585288,-297.38599999999997,-207.5285,-57.766000000000005,-41.871,-32.333999999999996,-357.291,-25.976
248,1.0,-22.953,0.0,-22.953,-22.953,-22.953,-22.953,-22.953,-22.953,-22.953,-22.953,-22.953
264,1.0,-8.613999999999999,0.0,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999,-8.613999999999999
267,1.0,-2.892,0.0,-2.892,-2.892,-2.892,-2.892,-2.892,-2.892,-2.892,-2.892,-2.892
306,2.0,-25.0675,1.9608071042302986,-42.68436900000002,-7.45063099999998,-26.1767,-25.76075,-25.0675,-24.374249999999996,-23.958299999999998,-26.454,-23.680999999999997
307,6.0,-105.90666666666668,167.7694455634478,-281.9985428684136,70.18520953508026,-260.1075,-77.56,-57.915,-13.2695,0.3025000000000002,-441.119,4.005
308,1.0,-37.143,0.0,-37.143,-37.143,-37.143,-37.143,-37.143,-37.143,-37.143,-37.143,-37.143
309,3.0,-79.21366666666667,96.39591841117202,-318.693729901924,160.26639656859066,-159.20639999999997,-114.36749999999999,-39.635999999999996,-24.271,-15.052,-189.099,-8.906
311,1.0,0.41100000000000003,0.0,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003
331,1.0,-68.427,0.0,-68.427,-68.427,-68.427,-68.427,-68.427,-68.427,-68.427,-68.427,-68.427
333,1.0,-35.120999999999995,0.0,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995,-35.120999999999995
368,4.0,-46.71775,73.24401560707878,-163.24897883086234,69.81347883086232,-106.41290000000001,-90.24125000000001,-61.239000000000004,-17.7155,24.594400000000014,-117.194,52.800999999999995
369,4.0,-24.38875,33.88924555445281,-78.30653967713442,29.52903967713442,-51.942499999999995,-49.35275,-31.8975,-6.933499999999999,9.172000000000006,-53.669,19.909
370,4.0,-68.24199999999999,92.37127892370007,-215.2047047676068,78.72070476760683,-159.61169999999998,-101.96175,-39.7535,-6.03375,0.33690000000000175,-198.045,4.584
372,1.0,-19.09,0.0,-19.09,-19.09,-19.09,-19.09,-19.09,-19.09,-19.09,-19.09,-19.09
398,1.0,-90.05199999999999,0.0,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999,-90.05199999999999
399,1.0,-36.528,0.0,-36.528,-36.528,-36.528,-36.528,-36.528,-36.528,-36.528,-36.528,-36.528
429,1.0,15.495999999999999,0.0,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999,15.495999999999999
430,6.0,-44.741499999999995,63.91291007222249,-111.82489656445304,22.34189656445306,-123.09599999999999,-97.77974999999999,-23.992500000000003,5.337750000000001,12.864,-129.33599999999998,16.133
431,2.0,-108.9575,26.15234430218447,-343.92320500000005,126.00820500000007,-123.75150000000001,-118.20375,-108.9575,-99.71124999999999,-94.16349999999998,-127.45,-90.46499999999999
432,3.0,-42.725666666666676,50.180189969083756,-167.39022990776598,81.93889657443262,-82.75980000000001,-67.95,-43.266999999999996,-17.772,-2.474999999999996,-92.63300000000001,7.723000000000001
435,1.0,-22.184,0.0,-22.184,-22.184,-22.184,-22.184,-22.184,-22.184,-22.184,-22.184,-22.184
461,1.0,-28.427,0.0,-28.427,-28.427,-28.427,-28.427,-28.427,-28.427,-28.427,-28.427,-28.427
466,1.0,13.929,0.0,13.929,13.929,13.929,13.929,13.929,13.929,13.929,13.929,13.929
490,1.0,-130.88400000000001,0.0,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001,-130.88400000000001
491,2.0,-5.9595,21.612718766966825,-200.13894499999998,188.219945,-18.1855,-13.600750000000001,-5.9595,1.68175,6.266500000000001,-21.242,9.323
492,3.0,-205.0533333333333,276.56239144600505,-892.1278493878144,482.02118272114785,-429.6512,-287.6225,-50.908,-45.411500000000004,-42.1136,-524.337,-39.915
493,3.0,-76.46633333333334,4.650097454175915,-88.0187481111679,-64.91391855549878,-79.486,-79.129,-78.534,-74.8375,-72.6196,-79.724,-71.141
494,1.0,-26.518,0.0,-26.518,-26.518,-26.518,-26.518,-26.518,-26.518,-26.518,-26.518,-26.518
496,1.0,-24.961000000000002,0.0,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002,-24.961000000000002
497,2.0,-39.9305,34.520245950746066,-350.077607,270.216607,-59.4581,-52.13525,-39.9305,-27.725749999999998,-20.4029,-64.34,-15.520999999999999
523,1.0,-9.316,0.0,-9.316,-9.316,-9.316,-9.316,-9.316,-9.316,-9.316,-9.316,-9.316
534,1.0,-3.676,0.0,-3.676,-3.676,-3.676,-3.676,-3.676,-3.676,-3.676,-3.676,-3.676
552,1.0,-51.32,0.0,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32,-51.32
553,4.0,-152.137,224.36047164031962,-509.0945103797485,204.8205103797485,-365.4531999999999,-186.04449999999997,-56.995999999999995,-23.0885,-14.933599999999997,-485.05899999999997,-9.497
554,1.0,-26.785,0.0,-26.785,-26.785,-26.785,-26.785,-26.785,-26.785,-26.785,-26.785,-26.785
555,4.0,-77.28875,77.37824800883428,-200.39754258205534,45.820042582055336,-148.6791,-136.56375,-75.2045,-15.9295,-7.565799999999998,-156.756,-1.99
560,1.0,-1.655,0.0,-1.655,-1.655,-1.655,-1.655,-1.655,-1.655,-1.655,-1.655,-1.655
562,1.0,-92.464,0.0,-92.464,-92.464,-92.464,-92.464,-92.464,-92.464,-92.464,-92.464,-92.464
564,1.0,-10.719,0.0,-10.719,-10.719,-10.719,-10.719,-10.719,-10.719,-10.719,-10.719,-10.719
587,1.0,-20.264000000000003,0.0,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003,-20.264000000000003
601,1.0,-1.171,0.0,-1.171,-1.171,-1.171,-1.171,-1.171,-1.171,-1.171,-1.171,-1.171
613,1.0,-79.28399999999999,0.0,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999,-79.28399999999999
614,1.0,-37.976,0.0,-37.976,-37.976,-37.976,-37.976,-37.976,-37.976,-37.976,-37.976,-37.976
615,4.0,-108.55525000000002,76.55917808847829,-230.360902338769,13.25040233876895,-179.55470000000003,-167.31875000000002,-103.38300000000001,-44.6195,-41.6936,-187.71200000000002,-39.743
616,1.0,-107.863,0.0,-107.863,-107.863,-107.863,-107.863,-107.863,-107.863,-107.863,-107.863,-107.863
617,3.0,-64.79899999999999,86.59819345113384,-279.9382007623949,150.3402007623949,-136.90359999999998,-99.7825,-37.914,-16.373,-3.4483999999999986,-161.65099999999998,5.168
621,1.0,-16.869,0.0,-16.869,-16.869,-16.869,-16.869,-16.869,-16.869,-16.869,-16.869,-16.869
629,1.0,-457.048,0.0,-457.048,-457.048,-457.048,-457.048,-457.048,-457.048,-457.048,-457.048,-457.048
630,1.0,0.938,0.0,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
653,1.0,-10.728,0.0,-10.728,-10.728,-10.728,-10.728,-10.728,-10.728,-10.728,-10.728,-10.728
669,1.0,23.311,0.0,23.311,23.311,23.311,23.311,23.311,23.311,23.311,23.311,23.311
675,1.0,-125.40599999999999,0.0,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999,-125.40599999999999
676,4.0,-54.030499999999996,60.404845879007645,-150.13460979350117,42.07360979350117,-109.3417,-56.93425,-27.738999999999997,-24.83525,-19.752499999999998,-144.28,-16.364
677,1.0,-118.255,0.0,-118.255,-118.255,-118.255,-118.255,-118.255,-118.255,-118.255,-118.255,-118.255
678,3.0,-223.10066666666668,112.00781805897896,-501.36596870147457,55.16463536814118,-290.6916,-287.7045,-282.726,-188.3095,-131.65959999999998,-292.683,-93.893
679,1.0,4.668,0.0,4.668,4.668,4.668,4.668,4.668,4.668,4.668,4.668,4.668
683,1.0,14.834000000000001,0.0,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001,14.834000000000001
694,1.0,-27.753,0.0,-27.753,-27.753,-27.753,-27.753,-27.753,-27.753,-27.753,-27.753,-27.753
697,1.0,-7.526,0.0,-7.526,-7.526,-7.526,-7.526,-7.526,-7.526,-7.526,-7.526,-7.526
718,1.0,-19.226,0.0,-19.226,-19.226,-19.226,-19.226,-19.226,-19.226,-19.226,-19.226,-19.226
736,1.0,-56.650999999999996,0.0,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996,-56.650999999999996
737,1.0,9.234,0.0,9.234,9.234,9.234,9.234,9.234,9.234,9.234,9.234,9.234
738,4.0,-11.7545,26.005170082120205,-53.12872560065325,29.619725600653247,-33.68,-27.744500000000002,-15.988500000000002,0.0015000000000000568,13.558200000000005,-37.637,22.596
740,5.0,-71.5688,65.54195334440377,-152.93683724880583,9.799237248805852,-139.2654,-101.75699999999999,-66.517,-31.483999999999998,-8.882599999999995,-164.27100000000002,6.1850000000000005
745,1.0,-4.2490000000000006,0.0,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006,-4.2490000000000006
760,1.0,-129.55700000000002,0.0,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002,-129.55700000000002
764,1.0,-89.408,0.0,-89.408,-89.408,-89.408,-89.408,-89.408,-89.408,-89.408,-89.408,-89.408
780,1.0,-20.929,0.0,-20.929,-20.929,-20.929,-20.929,-20.929,-20.929,-20.929,-20.929,-20.929
797,1.0,-23.011,0.0,-23.011,-23.011,-23.011,-23.011,-23.011,-23.011,-23.011,-23.011,-23.011
799,2.0,-20.428,5.011972865050249,-65.458064,24.602063999999995,-23.2632,-22.200000000000003,-20.428,-18.656,-17.5928,-23.972,-16.884
800,2.0,12.280000000000001,6.670845373713889,-47.65420199999999,72.214202,8.506400000000001,9.9215,12.280000000000001,14.6385,16.0536,7.563000000000001,16.997
801,3.0,-82.77466666666666,64.65112560762832,-243.38992822478463,77.8405948914513,-126.59759999999999,-119.46449999999999,-107.57600000000001,-58.48550000000001,-29.0312,-131.35299999999998,-9.395000000000001
802,2.0,-1.2945000000000002,15.028140420557696,-136.314809,133.725809,-9.7957,-6.607749999999999,-1.294500000000001,4.018749999999999,7.2067,-11.921,9.331999999999999
805,1.0,-48.779999999999994,0.0,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994,-48.779999999999994
807,1.0,-9.729,0.0,-9.729,-9.729,-9.729,-9.729,-9.729,-9.729,-9.729,-9.729,-9.729
827,1.0,-168.16,0.0,-168.16,-168.16,-168.16,-168.16,-168.16,-168.16,-168.16,-168.16,-168.16
831,1.0,-82.97800000000001,0.0,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001,-82.97800000000001
844,1.0,-27.94,0.0,-27.94,-27.94,-27.94,-27.94,-27.94,-27.94,-27.94,-27.94,-27.94
859,1.0,-50.476,0.0,-50.476,-50.476,-50.476,-50.476,-50.476,-50.476,-50.476,-50.476,-50.476
861,4.0,-48.98675,56.22795795909718,-138.44543111292361,40.47193111292361,-100.9898,-53.036,-24.560499999999998,-20.51125,-16.524699999999996,-132.959,-13.866999999999999
863,4.0,-108.989,110.48481804302345,-284.7703455064503,66.79234550645032,-211.37369999999999,-192.41025,-105.71199999999999,-22.29075,-9.225899999999996,-224.016,-0.516
864,1.0,-10.418,0.0,-10.418,-10.418,-10.418,-10.418,-10.418,-10.418,-10.418,-10.418,-10.418
869,2.0,-41.184,7.662209080937423,-110.02510799999995,27.65710799999995,-45.5184,-43.893,-41.184,-38.475,-36.8496,-46.602,-35.766000000000005
892,1.0,-186.666,0.0,-186.666,-186.666,-186.666,-186.666,-186.666,-186.666,-186.666,-186.666,-186.666
898,1.0,-161.004,0.0,-161.004,-161.004,-161.004,-161.004,-161.004,-161.004,-161.004,-161.004,-161.004
905,1.0,-7.008,0.0,-7.008,-7.008,-7.008,-7.008,-7.008,-7.008,-7.008,-7.008,-7.008
920,1.0,-100.562,0.0,-100.562,-100.562,-100.562,-100.562,-100.562,-100.562,-100.562,-100.562,-100.562
922,2.0,18.250999999999998,52.96654055155953,-457.62681800000007,494.128818,-11.711400000000001,-0.47550000000000026,18.250999999999998,36.9775,48.2134,-19.202,55.704
923,2.0,-165.8235,170.43182614904998,-1697.0680309999996,1365.4210309999996,-262.23429999999996,-226.08024999999998,-165.8235,-105.56674999999998,-69.41269999999999,-286.337,-45.309999999999995
925,4.0,-83.86375,87.11051889171212,-222.45658555671395,54.72908555671397,-164.3673,-99.96825000000001,-62.9095,-46.805,-20.12359999999999,-207.3,-2.3360000000000003
929,1.0,-31.248000000000005,0.0,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005,-31.248000000000005
931,1.0,-152.88199999999998,0.0,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998,-152.88199999999998
934,1.0,-12.016,0.0,-12.016,-12.016,-12.016,-12.016,-12.016,-12.016,-12.016,-12.016,-12.016
959,1.0,-63.65200000000001,0.0,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001,-63.65200000000001
963,1.0,-31.133999999999997,0.0,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997,-31.133999999999997
969,1.0,-17.822999999999997,0.0,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997,-17.822999999999997
981,1.0,-52.941,0.0,-52.941,-52.941,-52.941,-52.941,-52.941,-52.941,-52.941,-52.941,-52.941
984,4.0,-72.20575,77.70087136094422,-195.82783633526225,51.41633633526226,-147.429,-110.46600000000001,-62.3435,-24.08325,-4.872299999999993,-172.07100000000003,7.935
986,3.0,-15.182333333333334,49.710657412001034,-138.68041890282043,108.31575223615377,-47.802,-43.596000000000004,-36.586,2.5294999999999987,25.998800000000003,-50.606,41.644999999999996
987,1.0,-10.187999999999999,0.0,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999,-10.187999999999999
994,1.0,-6.444,0.0,-6.444,-6.444,-6.444,-6.444,-6.444,-6.444,-6.444,-6.444,-6.444
995,1.0,-31.615000000000002,0.0,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002,-31.615000000000002
1000,1.0,-26.024,0.0,-26.024,-26.024,-26.024,-26.024,-26.024,-26.024,-26.024,-26.024,-26.024
1024,1.0,-62.160000000000004,0.0,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004,-62.160000000000004
1029,1.0,9.49,0.0,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49
1037,1.0,-14.772,0.0,-14.772,-14.772,-14.772,-14.772,-14.772,-14.772,-14.772,-14.772,-14.772
1043,1.0,-53.813,0.0,-53.813,-53.813,-53.813,-53.813,-53.813,-53.813,-53.813,-53.813,-53.813
1045,1.0,-11.06,0.0,-11.06,-11.06,-11.06,-11.06,-11.06,-11.06,-11.06,-11.06,-11.06
1046,3.0,-63.66833333333333,37.112409411588104,-155.86811003746627,28.531443370799614,-89.2114,-84.6385,-77.017,-49.3725,-32.785799999999995,-92.26,-21.727999999999998
