t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-29.7806,33.531176518066204,-48.35139341734926,-11.209806582650739,-78.7088,-43.7205,-18.788999999999998,-5.7989999999999995,0.2737999999999998,-105.239,0.606
61,8.0,-19.051625,29.101115383324593,-43.38463230268546,5.281382302685454,-42.041399999999996,-16.633499999999998,-12.632,-2.1492500000000003,0.39129999999999987,-88.247,0.833
62,5.0,-14.210999999999999,17.285259052151922,-35.670043111214284,7.24804311121429,-31.645599999999998,-17.581,-14.497,0.417,1.1436000000000002,-41.022,1.628
63,1.0,-40.345,0.0,-40.345,-40.345,-40.345,-40.345,-40.345,-40.345,-40.345,-40.345,-40.345
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,3.0,-5.111000000000001,1.8548075371854624,-9.718969233715255,-0.5030307662847466,-6.6024,-6.0285,-5.072,-4.174,-3.6352,-6.985,-3.2760000000000002
123,6.0,-81.16883333333332,90.82313579791587,-176.49737382810815,14.159707161441489,-187.558,-143.47299999999998,-52.899,-7.680499999999999,-3.0495,-214.957,0.014
124,4.0,-60.700500000000005,45.09098080178194,-132.44025045563507,11.039250455635056,-103.40350000000001,-92.97025000000001,-56.988,-24.71825,-20.9675,-110.35900000000001,-18.467000000000002
130,1.0,-24.031000000000002,0.0,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002,-24.031000000000002
135,1.0,0.020999999999999998,0.0,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998
184,8.0,-52.496125000000006,54.3711790813518,-97.95879130042161,-7.0334586995783965,-133.02259999999998,-84.119,-25.4505,-17.646749999999997,-8.401500000000002,-138.19,0.023
185,4.0,-76.24924999999999,61.48235810037977,-174.06768173770422,21.569181737704227,-127.31099999999999,-124.305,-87.9365,-39.88075,-15.83769999999999,-129.315,0.191
