t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-46.66133333333334,76.36369426507288,-88.95434354185414,-4.368323124812541,-139.4892,-40.599000000000004,-15.381,-5.922000000000001,-0.07360000000000255,-266.74,3.639
61,7.0,-30.375428571428575,38.14309327981124,-65.65317703756908,4.902319894711933,-74.2212,-37.464,-12.741,-7.719,-3.3821999999999988,-108.051,-1.47
62,7.0,-9.712571428571428,28.451174895817235,-36.026467477271204,16.601324620128345,-33.339,-5.317499999999999,-2.602,1.3354999999999997,8.759800000000004,-72.117,14.695
63,1.0,-8.279,0.0,-8.279,-8.279,-8.279,-8.279,-8.279,-8.279,-8.279,-8.279,-8.279
123,12.0,-38.82575,55.63128524347527,-74.17242063050918,-3.479079369490819,-120.6169,-70.59325,-18.5555,-0.9544999999999999,16.269100000000005,-142.662,18.278
124,3.0,-32.23733333333334,35.254627814420815,-119.82175223290433,55.34708556623765,-61.1854,-43.720000000000006,-14.610999999999999,-11.9415,-10.3398,-72.82900000000001,-9.272
184,4.0,-67.7765,62.30320758195359,-166.90090326288816,31.347903262888167,-107.8841,-106.73075,-93.04599999999999,-54.09175,-7.453299999999981,-108.653,23.639
185,9.0,-47.77066666666666,65.81134088058076,-98.35765069020641,2.8163173568730784,-127.32499999999999,-87.847,-53.786,-4.259,28.844600000000003,-148.977,50.431
186,2.0,-29.628500000000003,63.8383073123027,-603.1836930000001,543.926693,-65.74090000000001,-52.198750000000004,-29.628500000000003,-7.058250000000001,6.483900000000002,-74.769,15.512
246,12.0,-53.68824999999999,78.23229216439624,-103.3950121519494,-3.981487848050584,-133.19509999999997,-70.277,-21.1485,-5.46425,7.485400000000002,-248.36900000000003,17.956
247,1.0,-8.861,0.0,-8.861,-8.861,-8.861,-8.861,-8.861,-8.861,-8.861,-8.861,-8.861
248,2.0,-107.8975,149.81542083677502,-1453.913963,1238.118963,-192.64589999999998,-160.86525,-107.89750000000001,-54.929750000000006,-23.149099999999997,-213.833,-1.962
307,4.0,-72.05125,117.96596176969862,-259.7350951755905,115.63259517559051,-184.13809999999995,-89.55125,-21.45,-3.9499999999999993,-0.44539999999999846,-247.19599999999997,1.891
308,9.0,-10.787444444444441,80.85170377164465,-72.9354540769153,51.36056518802642,-105.49539999999999,-12.863,-8.285,-2.184,35.151400000000024,-127.661,163.437
310,2.0,-27.7755,26.436601228221452,-265.295111,209.744111,-42.7303,-37.12225,-27.7755,-18.42875,-12.8207,-46.469,-9.082
369,11.0,-16.212545454545452,32.47560265603592,-38.02859257813178,5.603501669040874,-66.404,-23.252,-8.325000000000001,0.22250000000000014,19.487000000000002,-82.158,21.416999999999998
370,2.0,-4.238999999999999,33.77141986946951,-307.65827999999993,299.18028,-23.343,-16.179,-4.239000000000001,7.7010000000000005,14.865000000000002,-28.119,19.641000000000002
371,1.0,-3.8489999999999998,0.0,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998,-3.8489999999999998
372,1.0,-40.01,0.0,-40.01,-40.01,-40.01,-40.01,-40.01,-40.01,-40.01,-40.01,-40.01
430,4.0,-36.837999999999994,86.08765679623686,-173.80346196281283,100.12746196281284,-104.6099,-92.09224999999999,-58.0945,-2.8402499999999975,47.93910000000002,-112.955,81.792
431,9.0,-5.644000000000003,93.74008269411756,-77.69887689754503,66.41087689754502,-65.8652,-32.346,-5.087,9.751,51.672400000000025,-177.806,189.17399999999998
433,1.0,-280.322,0.0,-280.322,-280.322,-280.322,-280.322,-280.322,-280.322,-280.322,-280.322,-280.322
434,1.0,-5.292000000000001,0.0,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001,-5.292000000000001
492,10.0,-18.739299999999997,34.87171507125956,-43.68328910151016,6.204689101510169,-49.14769999999999,-30.966750000000005,-8.946000000000002,-1.6832500000000001,8.830399999999994,-99.797,26.114
493,3.0,7.999000000000002,51.98954859392415,-121.16062200534898,137.15862200534897,-29.3406,-20.8965,-6.8229999999999995,29.483500000000006,51.26740000000001,-34.97,65.79
