t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-41.2716,59.29091916715168,-74.10908217974632,-8.434117820253675,-95.3336,-48.0145,-24.593999999999998,-9.0695,4.817399999999993,-220.16,19.105999999999998
61,6.0,-58.8885,60.44925748675496,-122.33642479998718,4.559424799987184,-123.537,-104.0565,-50.249500000000005,-10.486999999999998,-2.8789999999999996,-137.928,4.321
62,8.0,-29.500375,49.86734126499312,-71.1971403364206,12.196390336420606,-86.2704,-24.71025,-11.068999999999999,-3.6175000000000006,2.1934999999999985,-141.352,6.922
65,1.0,-13.622,0.0,-13.622,-13.622,-13.622,-13.622,-13.622,-13.622,-13.622,-13.622,-13.622
123,14.0,-78.42428571428572,94.49866236450819,-132.9768782175046,-23.87169321106682,-213.3628,-145.58175,-21.813000000000002,-8.0185,0.9348000000000054,-264.681,8.526
131,1.0,-207.958,0.0,-207.958,-207.958,-207.958,-207.958,-207.958,-207.958,-207.958,-207.958,-207.958
184,4.0,-67.00175,43.40963969269959,-136.06648675108505,2.062986751085049,-95.1443,-86.97275,-82.10000000000001,-62.129000000000005,-26.78059999999999,-100.592,-3.2150000000000003
185,10.0,-43.302099999999996,52.09370119836414,-80.56509989243366,-6.039100107566334,-103.5145,-88.91,-32.438,-8.64325,20.565099999999997,-122.83300000000001,23.374
196,1.0,-14.616,0.0,-14.616,-14.616,-14.616,-14.616,-14.616,-14.616,-14.616,-14.616,-14.616
246,14.0,-47.60535714285714,60.918247581501376,-82.77250399098004,-12.438210294734233,-108.2532,-48.9615,-22.7705,-14.54825,-5.4042,-226.958,-3.8279999999999994
261,1.0,-194.678,0.0,-194.678,-194.678,-194.678,-194.678,-194.678,-194.678,-194.678,-194.678,-194.678
307,4.0,-151.668,166.4171270212294,-416.43764909077595,113.10164909077594,-316.3119,-237.02325,-116.1275,-30.77225,-15.456499999999993,-369.171,-5.246
308,10.0,-21.158100000000005,39.093839382382946,-49.12220504896703,6.806005048967023,-44.169200000000004,-29.13925,-17.107,7.51025,9.2473,-119.825,12.301
326,1.0,-25.025,0.0,-25.025,-25.025,-25.025,-25.025,-25.025,-25.025,-25.025,-25.025,-25.025
369,13.0,-48.933615384615386,68.67091598163236,-90.43459942060608,-7.432631348624689,-144.57580000000002,-75.80900000000001,-54.501,-2.0,6.035200000000004,-175.084,69.34
370,1.0,-13.393999999999998,0.0,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998,-13.393999999999998
391,1.0,-16.415000000000003,0.0,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003,-16.415000000000003
430,4.0,-65.08999999999999,101.63484734414011,-226.79104212452688,96.61104212452692,-161.66479999999996,-80.258,-21.987,-6.819,-2.9975999999999985,-215.93599999999998,-0.44999999999999996
431,10.0,-60.512699999999995,126.69993905904875,-151.14207950120044,30.11667950120045,-198.9902,-87.614,-31.161999999999995,-0.5972500000000001,32.664999999999964,-338.798,123.83500000000001
456,1.0,-17.873,0.0,-17.873,-17.873,-17.873,-17.873,-17.873,-17.873,-17.873,-17.873,-17.873
492,13.0,-33.61838461538461,34.02265698163128,-54.17983663729055,-13.056932593478681,-74.7556,-61.426,-31.359,-4.742,8.44260000000001,-95.926,15.082
493,1.0,-19.733,0.0,-19.733,-19.733,-19.733,-19.733,-19.733,-19.733,-19.733,-19.733,-19.733
521,1.0,-15.037,0.0,-15.037,-15.037,-15.037,-15.037,-15.037,-15.037,-15.037,-15.037,-15.037
553,4.0,-66.10625,79.58542970659475,-192.72666866319224,60.51416866319225,-144.1971,-114.24375,-49.8715,-1.7339999999999998,-1.0031999999999996,-164.16600000000003,-0.516
554,10.0,-49.2414,56.60200118213333,-89.72921936092489,-8.75358063907511,-106.3297,-78.88149999999999,-46.67400000000001,-2.77075,1.2147999999999903,-157.51,25.261
585,1.0,81.874,0.0,81.874,81.874,81.874,81.874,81.874,81.874,81.874,81.874,81.874
615,13.0,-22.872153846153847,38.69253168430602,-46.255825329026614,0.5115176367189207,-60.92079999999999,-30.089,-18.362000000000002,-1.494,11.95540000000001,-126.707,19.121
616,1.0,13.835999999999999,0.0,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999,13.835999999999999
654,1.0,-119.358,0.0,-119.358,-119.358,-119.358,-119.358,-119.358,-119.358,-119.358,-119.358,-119.358
676,2.0,-2.1390000000000002,0.25597265478952996,-4.438785999999999,0.16078599999999765,-2.2838,-2.2295,-2.1390000000000002,-2.0485,-1.9942000000000002,-2.32,-1.9580000000000002
677,12.0,-13.047249999999998,63.80146808103599,-53.58504214579303,27.490542145793036,-24.851100000000002,-15.6645,0.774,15.903500000000001,19.8773,-204.81199999999998,48.949000000000005
719,1.0,-25.009,0.0,-25.009,-25.009,-25.009,-25.009,-25.009,-25.009,-25.009,-25.009,-25.009
738,11.0,-34.38654545454545,44.017503871445584,-63.95606411422831,-4.817026794862581,-75.938,-46.937,-14.796000000000001,-12.232499999999998,1.66,-145.664,3.702
739,3.0,-20.408333333333335,24.574744603623724,-81.46031031189422,40.643643645227556,-40.8556,-29.8435,-11.49,-6.514,-3.5283999999999995,-48.197,-1.538
785,1.0,-198.694,0.0,-198.694,-198.694,-198.694,-198.694,-198.694,-198.694,-198.694,-198.694,-198.694
799,2.0,-2.2044999999999995,8.046168063121723,-74.49528699999998,70.08628699999998,-6.756099999999999,-5.049249999999999,-2.2045,0.64025,2.3471,-7.893999999999999,3.485
800,12.0,-60.352666666666664,71.72998931261512,-105.92803483345402,-14.777298499879308,-162.16410000000002,-136.83825,-30.0215,-3.61875,2.9613000000000005,-171.857,16.918999999999997
850,1.0,-13.933,0.0,-13.933,-13.933,-13.933,-13.933,-13.933,-13.933,-13.933,-13.933,-13.933
861,9.0,-47.5131111111111,55.349372865562906,-90.05832905377379,-4.967893168448413,-139.5858,-60.131,-20.840999999999998,-7.931000000000001,-3.9071999999999996,-141.261,-2.924
862,5.0,0.02979999999999734,70.09723209728043,-86.99345611747586,87.05305611747585,-54.8528,-27.758,-16.991,2.611,70.1662,-72.91600000000001,115.203
914,1.0,-7.710999999999999,0.0,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999,-7.710999999999999
922,2.0,-6.178,8.144455905706653,-79.35185399999997,66.99585399999998,-10.7852,-9.0575,-6.177999999999999,-3.2984999999999998,-1.5707999999999998,-11.937,-0.419
923,12.0,-59.12566666666667,58.55176262905923,-96.32793261158024,-21.923400721753097,-142.1314,-96.7795,-56.961,-3.9459999999999997,9.916700000000006,-150.718,14.024
979,1.0,14.668,0.0,14.668,14.668,14.668,14.668,14.668,14.668,14.668,14.668,14.668
984,9.0,-59.153000000000006,139.34609593562357,-166.26369907584933,47.957699075849305,-137.91559999999998,-25.938000000000002,-15.194999999999999,-10.034,9.037000000000008,-422.502,45.613
985,5.0,22.1702,85.69063683215337,-84.2117214083263,128.5521214083263,-28.2254,-10.565,-6.93,-4.989,102.00480000000002,-39.999,173.334
1044,1.0,12.758000000000001,0.0,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001,12.758000000000001
1045,1.0,-0.24,0.0,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
1046,13.0,-49.66469230769231,117.34032301627647,-120.57883117805494,21.249446562670308,-235.30059999999995,-26.753,-4.151,2.314,6.094800000000003,-325.56,87.511
1107,8.0,-8.058875,18.266643920682313,-23.33259815674928,7.21484815674928,-21.5561,-9.286249999999999,-7.289,-3.89,5.610699999999996,-45.410000000000004,21.416
1108,6.0,-34.10633333333333,25.130879719314777,-60.483864388003084,-7.728802278663579,-60.257000000000005,-44.8925,-33.94499999999999,-21.05425,-8.117,-72.152,0.703
1109,1.0,6.62,0.0,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62
1168,1.0,-1.609,0.0,-1.609,-1.609,-1.609,-1.609,-1.609,-1.609,-1.609,-1.609,-1.609
1169,13.0,-34.770230769230764,54.65768104934847,-67.80237423561476,-1.7380873028467647,-46.9244,-32.643,-21.381,-4.2540000000000004,-0.6481999999999986,-208.65599999999998,2.525
1174,1.0,17.472,0.0,17.472,17.472,17.472,17.472,17.472,17.472,17.472,17.472,17.472
1238,1.0,5.5040000000000004,0.0,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004,5.5040000000000004
