t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-38.274,33.14829938969074,-56.63274204326587,-19.91525795673413,-73.1644,-55.67,-28.495,-17.343,-3.752400000000003,-122.29100000000001,1.03
61,6.0,-30.477166666666665,37.67442669725269,-70.02048434089403,9.066151007560695,-73.7715,-43.50725,-19.4565,-4.4799999999999995,1.7965,-96.30499999999999,3.367
62,8.0,-17.95825,17.299399004837465,-32.42320767505834,-3.493292324941656,-36.7012,-29.101,-13.972999999999999,-3.3752500000000003,-2.2453000000000007,-49.836,0.379
65,1.0,-28.218,0.0,-28.218,-28.218,-28.218,-28.218,-28.218,-28.218,-28.218,-28.218,-28.218
123,14.0,-45.849,82.77124173843883,-93.6315369011611,1.933536901161105,-118.23579999999998,-35.70425,-14.059000000000001,-2.3205,0.23230000000000017,-301.61400000000003,2.406
131,1.0,0.197,0.0,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197,0.197
184,4.0,-60.32599999999999,32.709530242219415,-112.36686261537108,-8.285137384628904,-84.7376,-75.581,-68.2175,-52.962500000000006,-29.60119999999999,-90.842,-14.027
185,10.0,-36.34160000000001,35.002681383637515,-61.37927024859299,-11.303929751407026,-83.4652,-70.9165,-13.422999999999998,-9.139500000000002,-7.854800000000002,-83.76400000000001,-4.019
196,1.0,-38.611,0.0,-38.611,-38.611,-38.611,-38.611,-38.611,-38.611,-38.611,-38.611,-38.611
246,14.0,-39.42121428571428,37.16379821024874,-60.87529087163851,-17.96713769979004,-76.7966,-55.4345,-27.895,-12.47,-1.378499999999995,-134.201,0.27399999999999997
261,1.0,-58.726,0.0,-58.726,-58.726,-58.726,-58.726,-58.726,-58.726,-58.726,-58.726,-58.726
307,4.0,-90.46025,71.39544479108359,-204.05040266261398,23.129902662613986,-154.6943,-140.45225,-95.67949999999999,-45.6875,-22.05079999999999,-164.189,-6.293
308,10.0,-30.980700000000002,36.5180383921578,-57.102316037556484,-4.8590839624435205,-71.09819999999999,-43.736999999999995,-21.3345,-10.959249999999999,4.296699999999998,-111.17699999999999,11.548
326,1.0,-29.775,0.0,-29.775,-29.775,-29.775,-29.775,-29.775,-29.775,-29.775,-29.775,-29.775
