t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-2.1064,3.3203670580223505,-3.945340863619328,-0.267459136380672,-7.4336,-2.232,-0.463,-0.263,-0.15960000000000002,-10.0,0.34099999999999997
61,3.0,-3.2660000000000005,3.4194777379009214,-11.761139196777023,5.229139196777023,-6.1036,-4.513,-1.862,-1.3170000000000002,-0.99,-7.164000000000001,-0.7720000000000001
62,12.0,-0.6708333333333334,0.7691418870561156,-1.1595260685616535,-0.18214059810501332,-1.4111,-1.2237500000000001,-0.22650000000000003,-0.07425000000000001,0.0039000000000000085,-2.2960000000000003,0.02
123,15.0,-1.4873333333333334,2.683086539967055,-2.9733249097921064,-0.0013417568745606179,-4.8488,-1.2385000000000002,-0.14,-0.038500000000000006,0.0017999999999999993,-9.011000000000001,0.044000000000000004
184,1.0,-1.165,0.0,-1.165,-1.165,-1.165,-1.165,-1.165,-1.165,-1.165,-1.165,-1.165
185,14.0,-0.46421428571428575,0.7605086535259886,-0.9032439781235287,-0.025184593305042746,-0.9724,-0.46825000000000006,-0.21250000000000002,-0.05750000000000001,0.012400000000000059,-2.8630000000000004,0.032
246,14.0,-0.9424285714285715,1.7706721328912935,-1.964609763262068,0.07975262040492515,-3.4539000000000004,-0.561,-0.273,-0.017750000000000002,0.004,-5.542000000000001,0.07600000000000001
247,1.0,-0.013000000000000001,0.0,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001,-0.013000000000000001
307,1.0,0.006000000000000001,0.0,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001,0.006000000000000001
308,14.0,-1.3601428571428573,3.941824252749028,-3.6356960427537315,0.9154103284680168,-1.1288,-0.47825,-0.1885,-0.09925000000000002,-0.026799999999999952,-14.999999999999998,0.04
369,14.0,-11.326214285714288,41.64123835108759,-35.365046690917445,12.712618119488871,-0.9753000000000001,-0.32275000000000004,-0.07400000000000001,-0.002,0.004,-156.0,0.066
370,1.0,-0.24700000000000003,0.0,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003,-0.24700000000000003
430,1.0,-0.006000000000000001,0.0,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001,-0.006000000000000001
431,14.0,-1.4275714285714287,4.222126418584064,-3.864938648878221,1.0097957917353637,-1.4404000000000001,-0.41300000000000003,-0.2005,-0.03375,0.026200000000000036,-16.0,0.31700000000000006
492,14.0,-0.2375714285714286,0.3866999859333837,-0.4608072525056667,-0.014335604637190524,-0.8737,-0.30400000000000005,-0.0555,-0.0225,0.00010000000000000319,-1.119,0.014000000000000002
493,1.0,-0.36700000000000005,0.0,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005,-0.36700000000000005
554,15.0,-1.613866666666667,5.648760153048337,-4.7423568885917735,1.514623555258439,-0.9064000000000001,-0.17750000000000002,-0.032,-0.0005,0.010999999999999996,-22.0,0.058
