t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,127.26666666666667,49.46494670350866,99.87116784973378,154.66216548359955,55.0,97.0,137.0,153.0,180.59999999999997,40.0,205.0
61,3.0,152.66666666666666,116.29416723693986,-136.24737640516312,441.58070973849647,63.39999999999999,91.0,137.0,206.5,248.20000000000002,44.99999999999999,276.0
62,12.0,130.83333333333334,47.709029702473664,100.52025766711367,161.14640899955302,75.6,106.49999999999999,134.5,159.5,173.0,41.0,210.99999999999997
123,15.0,140.66666666666666,68.34854650629968,102.81273878970406,178.52059454362927,55.39999999999999,100.49999999999999,141.99999999999997,168.0,196.79999999999998,44.0,314.0
184,1.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
185,14.0,141.5,51.975955979664285,111.49509754342515,171.50490245657485,74.4,128.25,140.5,173.24999999999997,203.1,44.99999999999999,233.0
246,14.0,138.5,59.3253739979783,104.25239403570353,172.74760596429647,57.3,88.0,144.0,184.25,208.3,44.99999999999999,226.0
247,1.0,131.0,0.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0
307,1.0,49.99999999999999,0.0,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999,49.99999999999999
308,14.0,136.92857142857142,46.496425480004184,110.08691580509868,163.77022705204416,78.3,128.0,139.5,155.25,185.10000000000002,48.0,227.99999999999997
369,14.0,145.28571428571428,69.9081029433846,104.92886523495062,185.64256333647793,61.0,95.0,142.5,170.0,222.40000000000003,49.99999999999999,307.0
370,1.0,141.99999999999997,0.0,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997,141.99999999999997
430,1.0,48.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
431,14.0,152.14285714285714,58.735203888504344,118.23594710677949,186.0497671789348,84.6,133.74999999999997,148.0,176.99999999999997,221.20000000000005,52.0,278.0
492,14.0,140.42857142857142,55.7421457533419,108.2495068106241,172.60763604651873,62.0,95.75,150.0,178.75,191.0,46.0,236.0
493,1.0,150.99999999999997,0.0,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997,150.99999999999997
554,15.0,135.26666666666668,51.67683463695544,106.64614331615573,163.88719001717763,67.39999999999999,98.0,143.0,163.5,184.6,46.0,237.99999999999997
