t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-7.298533333333334,32.94540089703973,-25.54490276152907,10.9478360948624,-50.19999999999999,-9.347999999999999,-1.1380000000000001,0.9915,14.818799999999994,-79.0,56.99999999999999
61,6.0,-22.0495,56.06958971403304,-80.90049767390174,36.801497673901736,-75.5,-18.80625,-8.287,-3.1295,17.6385,-129.0,37.0
62,9.0,-3.9372222222222226,12.020054542074442,-13.176637480230111,5.302193035785665,-17.8,-14.999999999999998,-1.206,0.36100000000000004,6.083200000000003,-21.0,18.0
123,14.0,-16.767500000000002,51.664973697780084,-46.59287727309753,13.057877273097525,-28.9,-20.0,-3.5460000000000003,-0.50625,19.75450000000003,-184.0,39.0
124,1.0,-41.0,0.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0
184,6.0,-0.8908333333333337,15.037396336023955,-16.67418008700854,14.892513420341874,-14.0625,-0.85275,0.3075,1.7865,11.0825,-27.0,20.0
185,9.0,7.980333333333332,55.23125125325335,-34.47408846333408,50.434755130000745,-34.6,-4.0840000000000005,-1.1740000000000002,0.668,51.20000000000002,-61.0,140.0
246,14.0,9.528499999999998,33.311670499991436,-9.701803804491199,28.758803804491194,-8.1456,-4.594,0.001999999999999988,7.890750000000001,48.70000000000005,-34.0,99.99999999999999
247,1.0,-80.99999999999999,0.0,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999,-80.99999999999999
307,4.0,1.8040000000000003,17.213113470065004,-25.58206353087342,29.190063530873424,-12.645299999999999,-4.61325,0.608,7.02525,17.210100000000004,-18.0,24.0
308,9.0,-12.325222222222223,39.481190061780616,-42.67309698304426,18.02265253859981,-52.199999999999996,-14.999999999999998,-5.949,0.9410000000000001,26.599999999999998,-101.0,32.99999999999999
309,1.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
310,1.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
369,12.0,3.7181666666666673,32.37542177986632,-16.85233364028004,24.288666973613378,-28.4,-14.75,-0.044,11.44225,47.50000000000001,-46.0,67.0
370,1.0,-121.0,0.0,-121.0,-121.0,-121.0,-121.0,-121.0,-121.0,-121.0,-121.0,-121.0
372,1.0,93.0,0.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
373,1.0,200.99999999999997,0.0,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997,200.99999999999997
430,3.0,4.159666666666666,4.272543777813556,-6.454777087288074,14.774110420621406,0.6792000000000001,2.8545000000000003,6.48,6.625,6.712000000000001,-0.771,6.7700000000000005
431,10.0,-19.516799999999996,46.348749175978604,-52.67039430850269,13.6367943085027,-61.8,-13.35325,-0.7040000000000001,1.9402500000000003,7.9834000000000005,-140.99999999999997,9.4
435,1.0,29.999999999999996,0.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996
436,1.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
492,12.0,3.1110833333333336,7.948095054314853,-1.938929385144998,8.161096051811665,-2.5802,-1.9865000000000004,-0.4255,4.906750000000001,17.103700000000003,-3.8050000000000006,18.999999999999996
493,1.0,-160.99999999999997,0.0,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997,-160.99999999999997
498,1.0,122.0,0.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0
500,1.0,128.0,0.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
553,2.0,3.7859999999999996,11.616350201332603,-100.58108399999998,108.15308399999998,-2.7852000000000006,-0.3210000000000006,3.7859999999999996,7.893,10.3572,-4.428000000000001,12.0
554,11.0,-12.800909090909089,56.83338505219364,-50.97971733732477,25.377899155506597,-5.197,-3.5505000000000004,-1.0310000000000001,2.3445000000000005,22.0,-180.99999999999997,28.0
562,1.0,204.0,0.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
563,1.0,554.9999999999999,0.0,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999,554.9999999999999
