t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,105.8,51.1289685850539,77.48290493106934,134.11709506893067,40.599999999999994,56.5,113.0,147.5,161.0,23.0,179.0
61,6.0,123.16666666666667,62.8026007954023,57.24865777493815,189.0846755583952,48.0,71.0,138.0,165.99999999999997,183.5,42.99999999999999,196.0
62,9.0,115.55555555555556,80.7079784022483,53.518022823694025,177.5930882874171,35.8,74.0,104.0,144.0,180.4,23.0,298.0
123,14.0,218.07142857142858,290.793202831818,50.201083109818455,385.9417740330387,45.99999999999999,79.0,119.0,150.99999999999997,640.0000000000007,39.0,950.0
124,1.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
184,6.0,163.83333333333334,114.93374903250422,43.19813996982931,284.4685266968374,73.5,101.25,141.99999999999997,168.49999999999997,276.0,53.0,381.0
185,9.0,165.44444444444446,213.68967634815158,1.1883132248319441,329.70057566405694,35.8,94.0,107.0,144.0,265.6,23.0,723.9999999999999
246,14.0,236.85714285714286,303.06964346699056,61.89980117142474,411.814484542861,65.3,97.25,125.0,179.75,640.7000000000007,39.0,1045.0
247,1.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
307,4.0,131.5,57.48912940721924,40.0347951131142,222.9652048868858,75.2,108.5,144.0,166.99999999999997,177.79999999999998,53.0,185.0
308,9.0,110.44444444444444,54.56214601514292,68.50434154080457,152.3845473480843,35.8,94.0,113.99999999999999,144.0,160.59999999999997,23.0,198.99999999999997
309,1.0,545.9999999999999,0.0,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999,545.9999999999999
310,1.0,137.0,0.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
369,12.0,127.16666666666667,47.93335019176169,96.71106360033684,157.6222697329965,58.400000000000006,109.24999999999999,125.0,158.0,182.6,39.0,198.99999999999997
370,1.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
372,1.0,763.9999999999999,0.0,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999,763.9999999999999
373,1.0,1287.0,0.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0
430,3.0,135.66666666666666,69.6443345386639,-37.35341462096244,308.68674795429575,78.0,111.0,166.0,175.5,181.2,56.0,185.0
431,10.0,115.4,56.07376094633448,75.29003468662683,155.5099653133732,37.4,107.0,118.49999999999999,131.75,163.59999999999997,23.0,223.0
435,1.0,1016.0,0.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0,1016.0
436,1.0,567.9999999999999,0.0,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999,567.9999999999999
492,12.0,130.33333333333334,51.49286505444372,97.6161071730021,163.0505594936646,61.00000000000001,108.99999999999999,124.0,159.25,183.1,52.0,236.0
493,1.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
498,1.0,683.0,0.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0
500,1.0,1010.0,0.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
553,2.0,120.5,91.21677477306463,-699.0369999999999,940.0369999999999,68.9,88.25,120.5,152.75,172.1,56.0,185.0
554,11.0,120.9090909090909,53.91002605351724,84.69409957316543,157.12408224501638,52.0,108.0,122.99999999999999,145.5,158.0,23.0,227.99999999999997
562,1.0,833.0,0.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0
563,1.0,1622.0,0.0,1622.0,1622.0,1622.0,1622.0,1622.0,1622.0,1622.0,1622.0,1622.0
