t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-7.293266666666667,10.104534848039174,-12.889528078497502,-1.6970052548358323,-15.799999999999997,-7.939500000000001,-3.8850000000000002,-2.4005,-0.3978000000000006,-39.0,0.413
61,5.0,-1.6848000000000003,3.046028266447966,-5.466337302418772,2.096737302418771,-4.4270000000000005,-2.648,-2.5450000000000004,-0.127,1.4546000000000001,-5.613,2.509
62,10.0,-4.6008,10.615305080663276,-12.194004225836952,2.992404225836954,-9.2986,-3.73875,-0.8210000000000002,-0.03949999999999999,0.7842999999999997,-34.0,1.615
123,14.0,-3.9551428571428575,14.742933722541546,-12.466006773559933,4.555721059274217,-7.452900000000001,-4.7322500000000005,-1.8330000000000002,-0.30600000000000005,0.7883000000000013,-48.0,24.0
124,1.0,-2.6130000000000004,0.0,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004,-2.6130000000000004
184,6.0,-3.533333333333333,5.2735272320019995,-9.068461028161684,2.0017943614950173,-8.706,-3.0655,-1.7485000000000002,-0.5125000000000001,-0.14550000000000002,-14.0,-0.098
185,9.0,-0.7102222222222223,1.6830724715366374,-2.0039439286767173,0.5834994842322729,-2.1196,-1.085,-0.7240000000000001,0.215,0.7620000000000003,-4.3580000000000005,1.5980000000000003
246,14.0,-1.125357142857143,3.3790083344342063,-3.076005544866711,0.8252912591524255,-6.1248000000000005,-1.35575,-0.38750000000000007,-0.04550000000000001,0.42270000000000063,-7.1850000000000005,6.577000000000001
247,1.0,2.048,0.0,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048,2.048
307,4.0,-9.361499999999998,15.790138367559244,-34.48361014278675,15.760610142786758,-23.841899999999995,-10.10475,-2.1590000000000003,-1.41575,-0.6430999999999997,-32.99999999999999,-0.128
308,11.0,-0.8135454545454546,1.371594427200429,-1.7349377062976021,0.10784679720669299,-2.2560000000000002,-1.5965,-0.30500000000000005,-0.010000000000000002,0.07600000000000001,-3.745,0.9910000000000001
369,13.0,-3.4043076923076923,3.8863907288686117,-5.753031854361087,-1.0555835302542982,-9.3506,-6.024,-0.73,-0.503,-0.15459999999999968,-11.0,-0.055
370,2.0,-1.9335,2.608516915797174,-25.369716999999998,21.502717,-3.4091,-2.85575,-1.9335,-1.01125,-0.4579,-3.778,-0.08900000000000001
430,3.0,-4.755,5.482948203293553,-18.376497715697898,8.866497715697896,-9.306799999999999,-6.7669999999999995,-2.5340000000000003,-1.6325000000000003,-1.0916000000000001,-11.0,-0.7310000000000001
431,12.0,-2.7935833333333338,4.363634212199596,-5.5661229317912095,-0.02104373487545752,-8.0309,-2.6885000000000003,-0.9285000000000001,-0.0625,-0.052300000000000006,-14.0,0.038000000000000006
492,12.0,-7.196999999999999,14.203848646181651,-16.221755721261545,1.827755721261548,-14.385199999999998,-5.470250000000001,-2.0885,-0.184,-0.12129999999999999,-49.99999999999999,-0.059000000000000004
493,3.0,-1.3093333333333335,1.3354715771342098,-4.627096398537174,2.008429731870507,-2.4068000000000005,-1.9265000000000003,-1.1260000000000001,-0.6005,-0.2852,-2.7270000000000003,-0.07500000000000001
553,3.0,-6.745,11.479698558760155,-35.264453749557866,21.774453749557868,-16.0456,-10.113999999999999,-0.228,-0.11750000000000001,-0.05119999999999999,-20.0,-0.007000000000000001
554,12.0,-5.28675,10.791671284543296,-12.143497040411297,1.569997040411299,-15.769799999999998,-2.81475,-0.8085000000000001,-0.04525,-0.0244,-36.0,0.148
