t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,121.6,47.44289800832756,95.32438579486403,147.87561420513595,65.8,79.5,130.0,155.5,180.39999999999998,49.99999999999999,199.99999999999997
61,5.0,231.4,210.79207764999143,-30.290974265754954,493.090974265755,89.8,130.0,163.0,204.0,439.80000000000007,63.0,597.0
62,10.0,105.8,37.326785140015595,79.09988158528131,132.50011841471868,69.8,75.75,103.0,135.25,148.6,49.99999999999999,163.0
123,14.0,257.85714285714283,518.4114577827534,-41.41364360473909,557.1279293190248,72.0,83.5,131.5,159.0,191.00000000000006,53.0,2052.9999999999995
124,1.0,80.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
184,6.0,151.66666666666666,48.61961195512226,100.63521299150665,202.69812034182667,103.0,131.5,149.0,192.0,203.0,75.99999999999999,204.0
185,9.0,104.77777777777777,38.15028760631359,75.45292337105806,134.10263218449748,68.8,80.0,101.0,133.0,154.59999999999997,52.0,165.0
246,14.0,124.0,44.72651940919993,98.18008333275847,149.81991666724153,73.3,87.75,128.5,158.74999999999997,173.9,52.0,204.0
247,1.0,80.99999999999999,0.0,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999,80.99999999999999
307,4.0,173.5,30.6648550189518,124.71221566484769,222.2877843351523,144.0,157.5,176.5,192.5,200.6,135.0,206.0
308,11.0,106.27272727272727,37.29635614665568,81.2182557098332,131.32719883562135,73.0,78.0,102.0,138.0,150.99999999999997,52.0,166.0
369,13.0,128.84615384615384,48.44902158256338,99.56618804818581,158.12611964412187,73.2,83.0,135.0,165.0,188.8,54.0,206.0
370,2.0,97.0,18.384776310850228,-68.17799999999991,262.1779999999999,86.6,90.5,97.0,103.49999999999999,107.39999999999999,84.0,109.99999999999999
430,3.0,190.0,21.931712199461305,135.5142094089355,244.4857905910645,171.79999999999998,182.0,198.99999999999997,202.5,204.6,165.0,206.0
431,12.0,112.25,39.46258296849631,87.1765019437929,137.32349805620711,73.5,81.75,108.5,137.0,166.1,54.0,175.0
492,12.0,136.91666666666666,49.74198580188723,105.31190361019952,168.5214297231338,73.9,97.75,142.5,169.75,196.6,54.0,206.0
493,3.0,93.33333333333333,18.82374387132733,46.56878721010969,140.09787945655697,81.6,82.5,84.0,99.5,108.79999999999998,80.99999999999999,114.99999999999999
553,3.0,167.33333333333334,36.69241520169166,76.17696429212056,258.48970237454614,139.0,148.0,163.0,184.5,197.4,133.0,206.0
554,12.0,116.75,42.22262426709168,89.92284354310917,143.57715645689083,74.0,87.5,109.5,144.74999999999997,162.0,54.0,198.99999999999997
