t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-49.22759999999999,85.3638758749859,-96.50524035730984,-1.949959642690132,-97.00919999999999,-64.143,-19.613999999999997,-9.2665,-1.5108000000000008,-323.279,51.663000000000004
61,3.0,-42.189,21.26057282859519,-95.00745340891197,10.629453408911978,-59.6512,-49.1305,-31.596,-29.951,-28.964000000000002,-66.665,-28.306
62,12.0,-37.10991666666666,31.058451619364803,-56.84364841272675,-17.376184920606573,-69.0532,-54.122499999999995,-35.4245,-15.110750000000001,0.9076000000000022,-102.205,2.2960000000000003
123,15.0,-52.48593333333334,87.88679837679723,-101.16086055780328,-3.8110061088634097,-73.00280000000001,-60.615,-33.481,-13.004999999999999,6.6015999999999995,-353.875,8.75
184,1.0,-79.539,0.0,-79.539,-79.539,-79.539,-79.539,-79.539,-79.539,-79.539,-79.539,-79.539
185,14.0,-21.237,32.774994973889186,-40.1574894584534,-2.3165105415465987,-62.23349999999999,-36.7025,-19.5855,-7.88525,14.257900000000024,-69.36999999999999,50.985
246,14.0,-32.712714285714284,46.17618236448572,-59.3694985920095,-6.055929979419069,-70.8512,-45.655,-23.746000000000002,-8.772,10.90740000000002,-160.044,26.679
247,1.0,-5.253,0.0,-5.253,-5.253,-5.253,-5.253,-5.253,-5.253,-5.253,-5.253,-5.253
307,1.0,4.058,0.0,4.058,4.058,4.058,4.058,4.058,4.058,4.058,4.058,4.058
308,14.0,-26.594785714285717,20.183789680672614,-38.24657025884611,-14.94300116972532,-44.972899999999996,-35.42525,-25.413000000000004,-17.01225,-4.556399999999983,-73.117,8.594
369,14.0,-33.39985714285714,66.61083116114092,-71.85324301849909,5.053528732784805,-38.5983,-33.6535,-20.412,-7.8965,5.082100000000001,-256.858,19.676
370,1.0,-26.115,0.0,-26.115,-26.115,-26.115,-26.115,-26.115,-26.115,-26.115,-26.115,-26.115
430,1.0,-8.75,0.0,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75
431,14.0,-33.99592857142857,89.07495547222642,-85.41750033267903,17.425643189821884,-32.057300000000005,-24.41025,-12.668,0.05449999999999999,9.116500000000011,-338.783,19.676
492,14.0,-14.865357142857144,14.49299375351968,-23.231934643581653,-6.498779642132638,-36.308299999999996,-22.028750000000002,-10.5975,-4.622999999999999,-2.187899999999997,-47.0,-0.8069999999999999
493,1.0,-31.476000000000003,0.0,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003,-31.476000000000003
554,15.0,-29.970133333333333,59.908818096297296,-63.14983056657718,3.20956389991051,-81.70179999999999,-22.17,-14.358,-3.7069999999999994,4.412599999999999,-215.987,36.478
