t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-20.569,37.082894493283554,-41.10686489063651,-0.031135109363489732,-75.51899999999999,-30.814500000000002,-10.066,0.0255,1.0401999999999993,-100.03399999999999,39.212
61,3.0,-7.532666666666667,13.189050205884172,-40.298728024634514,25.233394691301182,-18.2012,-11.360000000000001,0.041999999999999996,0.082,0.10600000000000001,-22.762,0.12200000000000001
62,12.0,-34.99533333333334,38.97791318480794,-59.76088482433679,-10.229781842329892,-77.6647,-65.54350000000001,-18.153,-6.72325,-0.4782999999999982,-119.118,0.015
123,15.0,-33.7632,70.78132927161754,-72.96449205726995,5.438092057269955,-79.44179999999999,-27.783,-9.476,0.014,4.721799999999999,-269.40999999999997,8.741
184,1.0,-34.925000000000004,0.0,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004,-34.925000000000004
185,14.0,-26.334857142857146,22.982256191904433,-39.60215241954057,-13.067561866173717,-54.5786,-45.44375,-21.273000000000003,-12.671750000000001,-3.2610999999999883,-62.269,19.111
246,14.0,-17.132928571428575,25.257966729374672,-31.71395577298338,-2.5519013698737716,-45.053399999999996,-28.563,-18.8765,-1.4909999999999999,12.811700000000016,-71.104,23.923000000000002
247,1.0,-20.591,0.0,-20.591,-20.591,-20.591,-20.591,-20.591,-20.591,-20.591,-20.591,-20.591
307,1.0,7.981000000000001,0.0,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001,7.981000000000001
308,14.0,-22.682214285714284,22.672146507515375,-35.77048811573931,-9.593940455689255,-60.4881,-24.6785,-21.078,-2.2979999999999996,0.008600000000000007,-61.889,0.159
369,14.0,-11.382500000000002,16.773942840700187,-21.065833558006872,-1.69916644199313,-32.505500000000005,-27.263,-9.0155,0.068,4.704400000000003,-39.262,15.773
370,1.0,-31.081000000000003,0.0,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003,-31.081000000000003
430,1.0,-6.92,0.0,-6.92,-6.92,-6.92,-6.92,-6.92,-6.92,-6.92,-6.92,-6.92
431,14.0,-15.001142857142854,36.23090974644365,-35.91667759555808,5.914391881272367,-21.2769,-13.905500000000002,-5.5505,0.0125,0.0164,-136.763,12.948
492,14.0,-19.373428571428573,13.904834326533761,-27.400470879331763,-11.34638626352538,-37.7663,-28.6735,-19.616,-8.95175,-2.1562999999999968,-43.293,2.0719999999999996
493,1.0,-40.452,0.0,-40.452,-40.452,-40.452,-40.452,-40.452,-40.452,-40.452,-40.452,-40.452
554,15.0,-27.977599999999995,32.92161945287626,-46.21079839357701,-9.744401606422986,-79.635,-31.8425,-17.407,-4.3709999999999996,-0.3808000000000006,-104.406,1.836
