t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,169.09653333333333,556.1428327534043,-138.9157325660835,477.10879923275013,-99.07939999999999,-43.509499999999996,-16.063,17.5875,471.0632,-149.33700000000002,2065.741
61,6.0,167.5465,596.3003023204834,-458.33408667436015,793.4270866743602,-138.498,-108.96674999999999,-40.727999999999994,-19.18875,681.8654999999999,-149.33700000000002,1379.7939999999999
62,9.0,111.31944444444443,587.708680017811,-340.432627595913,563.0715164848019,-167.33939999999998,-34.129,-21.832,9.403,345.46000000000026,-474.421,1624.212
123,14.0,207.06400000000002,738.9241086416426,-219.50527390192872,633.6332739019288,-142.83360000000002,-48.199749999999995,-25.198999999999998,-2.8200000000000003,1202.2576000000017,-474.421,2119.451
124,1.0,-90.569,0.0,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569
184,6.0,47.84233333333335,229.29194934115475,-192.8239537956308,288.50862046229753,-156.06099999999998,-108.96674999999999,-26.784499999999994,190.40150000000003,326.37250000000006,-184.463,398.65000000000003
185,9.0,129.8261111111111,593.2482115450168,-326.1840141631585,585.8362363853807,-398.9818,-90.569,-5.337,9.403,845.7432000000001,-474.421,1451.216
246,14.0,182.2545,878.9455846081231,-325.14697119414717,689.6559711941472,-446.1313,-234.78249999999997,-1.33,271.73199999999997,1102.2195000000006,-1280.615,2479.833
247,1.0,-90.569,0.0,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569
307,4.0,-231.876,706.9683358802806,-1356.6626223855264,892.9106223855265,-896.6342,-320.66299999999995,49.507999999999996,138.29500000000002,207.77500000000003,-1280.615,254.09500000000003
308,9.0,185.81155555555554,687.8571732369503,-342.9213249392469,714.544436050358,-317.358,-90.569,-5.337,47.589999999999996,822.2686000000003,-380.122,1880.911
309,1.0,333.23199999999997,0.0,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997,333.23199999999997
310,1.0,1498.1000000000001,0.0,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001,1498.1000000000001
369,12.0,46.5291666666667,755.03790915253,-433.20226811072604,526.2606014440594,-594.9079,-321.28075,23.455499999999997,274.18025,535.2908000000001,-1280.615,1880.911
370,1.0,-90.569,0.0,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569
372,1.0,1196.3290000000002,0.0,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002,1196.3290000000002
373,1.0,4116.418000000001,0.0,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001,4116.418000000001
430,3.0,173.26233333333334,300.39991803649565,-573.0326608218181,919.5573274884848,-46.877,8.087500000000006,99.695,301.6535,422.8286,-83.52,503.61199999999997
431,10.0,-27.166400000000017,342.6955980222422,-272.299030979987,217.96623097998693,-333.3776,-137.11775,-58.394999999999996,27.160249999999998,367.0795999999999,-618.773,660.872
435,1.0,1987.5539999999999,0.0,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999,1987.5539999999999
436,1.0,1056.714,0.0,1056.714,1056.714,1056.714,1056.714,1056.714,1056.714,1056.714,1056.714,1056.714
492,12.0,-97.46433333333334,381.2412251359387,-339.6950845495712,144.7664178829045,-578.7332,-169.06924999999998,-58.394999999999996,60.616249999999994,310.9619000000001,-930.684,503.61199999999997
493,1.0,-90.569,0.0,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569,-90.569
498,1.0,1933.8020000000001,0.0,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001,1933.8020000000001
500,1.0,1063.5,0.0,1063.5,1063.5,1063.5,1063.5,1063.5,1063.5,1063.5,1063.5,1063.5
553,2.0,8.087499999999999,129.5525689150933,-1155.8773949999998,1172.052395,-65.1985,-37.71625,8.087500000000006,53.89125,81.3735,-83.52,99.695
554,11.0,-9.05581818181819,466.7655105703117,-322.61361361734475,304.50197725370833,-522.468,-185.5045,-65.842,69.366,334.43600000000004,-618.773,1146.827
562,1.0,1632.12,0.0,1632.12,1632.12,1632.12,1632.12,1632.12,1632.12,1632.12,1632.12,1632.12
563,1.0,1402.833,0.0,1402.833,1402.833,1402.833,1402.833,1402.833,1402.833,1402.833,1402.833,1402.833
