t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,183.24566666666666,525.4310124370912,-107.75726852054848,474.24860185388184,-16.113199999999996,0.003,0.01,0.1335,434.13059999999996,-85.272,1996.9050000000002
61,6.0,119.30716666666667,351.8648210926558,-250.0123855766247,488.626718909958,-58.822,-14.23775,0.0115,0.14200000000000002,416.732,-98.658,833.2800000000001
62,9.0,-20.563222222222223,53.50104529534394,-61.6876923725766,20.561247928132154,-49.68719999999999,-1.526,0.002,0.004,0.012600000000000004,-161.972,0.027
123,14.0,18.469714285714282,97.9884002039398,-38.0974490223616,75.03687759379017,-18.2489,-2.0835,0.003,0.014750000000000001,0.13240000000000018,-59.382999999999996,354.24
124,1.0,0.009,0.0,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
184,6.0,77.31699999999996,203.4226432096486,-136.1966990195191,290.830699019519,-86.4075,-17.299500000000002,-4.3065,186.96374999999998,322.66499999999996,-152.62300000000002,396.04799999999994
185,9.0,47.39244444444443,238.36914812644648,-135.8339740820841,230.61886297097297,-74.56579999999998,0.0,0.003,0.009,327.1922,-364.925,512.5649999999999
246,14.0,58.234428571428566,233.8490990741726,-76.76298080808772,193.23183795094485,-198.82909999999998,-9.70225,0.0005,167.82425,292.0569000000001,-265.488,640.35
247,1.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
307,4.0,103.05324999999998,123.95009228818668,-94.15134683050503,300.257846830505,-5.5207999999999995,-1.937,99.1365,204.12675,214.76069999999999,-7.91,221.85
308,9.0,39.41600000000001,210.5733298485352,-122.44469954357403,201.27669954357407,-171.7986,-52.498,-0.002,0.01,358.47240000000005,-194.82899999999998,429.30600000000004
309,1.0,174.442,0.0,174.442,174.442,174.442,174.442,174.442,174.442,174.442,174.442,174.442
310,1.0,-1805.8709999999999,0.0,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999,-1805.8709999999999
369,12.0,49.853833333333334,143.20388706496462,-41.13418908859355,140.8418557552602,-64.0653,-15.9225,0.0255,59.4105,287.82630000000006,-133.035,332.417
370,1.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
372,1.0,664.594,0.0,664.594,664.594,664.594,664.594,664.594,664.594,664.594,664.594,664.594
373,1.0,583.037,0.0,583.037,583.037,583.037,583.037,583.037,583.037,583.037,583.037,583.037
430,3.0,168.64966666666666,368.8013053045411,-747.5775073807858,1084.8768407141192,-68.53219999999999,-42.83749999999999,-0.013000000000000001,295.8055,473.2966,-85.66199999999999,591.624
431,10.0,64.93010000000001,268.2408417910417,-126.9445072724773,256.80470727247734,-86.7498,-72.80975000000001,-14.781500000000001,0.00725,329.4517999999998,-134.772,757.7420000000001
435,1.0,-7.5089999999999995,0.0,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995,-7.5089999999999995
436,1.0,2046.3259999999998,0.0,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998,2046.3259999999998
492,12.0,-12.024083333333332,202.98498386891862,-140.99545863686163,116.94729197019497,-216.8364,-83.088,-9.0505,0.003,208.19040000000007,-337.354,461.058
493,1.0,0.011,0.0,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
498,1.0,-5.59,0.0,-5.59,-5.59,-5.59,-5.59,-5.59,-5.59,-5.59,-5.59,-5.59
500,1.0,1928.065,0.0,1928.065,1928.065,1928.065,1928.065,1928.065,1928.065,1928.065,1928.065,1928.065
553,2.0,-30.134,42.59894092580237,-412.8641319999999,352.5961319999999,-54.2316,-45.195,-30.134,-15.073,-6.036399999999998,-60.256,-0.012
554,11.0,64.24427272727273,304.75564555626886,-140.48059704812562,268.9691425026711,-92.176,-57.403999999999996,-6.616,0.0135,180.76,-168.601,946.7959999999999
562,1.0,424.885,0.0,424.885,424.885,424.885,424.885,424.885,424.885,424.885,424.885,424.885
563,1.0,2342.321,0.0,2342.321,2342.321,2342.321,2342.321,2342.321,2342.321,2342.321,2342.321,2342.321
