t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-31.135400000000004,38.76708972237737,-52.60603388122457,-9.66476611877544,-83.2234,-42.352999999999994,-19.546,-6.0125,9.245199999999999,-121.74499999999999,14.024
61,5.0,343.08480000000003,1132.5471982940492,-1062.9328408320198,1749.10244083202,-324.2072,-162.69799999999998,-19.546,-16.839,1401.0966000000003,-431.88,2346.387
62,10.0,-21.8952,30.394045348097748,-43.6362796791754,-0.15412032082459604,-61.812200000000004,-36.683499999999995,-22.697500000000005,2.10025,12.856399999999999,-70.49900000000001,19.52
123,14.0,-31.57164285714286,223.98792698323552,-160.8763525812294,97.7330668669437,-158.1905,-68.94850000000001,-43.2535,-20.20025,15.145700000000016,-431.88,641.712
124,1.0,-68.589,0.0,-68.589,-68.589,-68.589,-68.589,-68.589,-68.589,-68.589,-68.589,-68.589
184,6.0,-103.77300000000001,175.5393709046492,-288.02023921605826,80.47423921605822,-273.38649999999996,-104.56725,-69.8865,-37.344750000000005,31.954,-431.88,91.64
185,9.0,-33.91622222222222,86.57692414953561,-100.46501791849859,32.632573474054155,-118.5646,-104.128,-49.325,59.212999999999994,68.4598,-154.087,70.243
246,14.0,-44.43,66.13531492908483,-82.60887782878767,-6.25112217121233,-140.9845,-65.60475,-47.475,-12.867999999999999,35.88230000000004,-157.364,70.243
247,1.0,59.212999999999994,0.0,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994,59.212999999999994
307,4.0,-116.03525,62.010200888644114,-214.69347961383278,-17.377020386167217,-169.3349,-159.46325,-125.2375,-81.80950000000001,-55.37379999999999,-175.916,-37.75
308,11.0,-28.120636363636365,46.19556253856582,-59.1533035604873,2.912030833214576,-63.87,-54.4045,-45.625,1.320500000000001,18.515,-89.645,70.243
369,13.0,-87.83815384615384,97.99644601790938,-147.06190066294135,-28.614407029366348,-174.1872,-79.24,-51.721999999999994,-41.211000000000006,-15.905599999999994,-365.473,-10.975999999999999
370,2.0,-75.24199999999999,20.368917938859685,-258.2465179999999,107.76251799999997,-86.7644,-82.4435,-75.24199999999999,-68.0405,-63.7196,-89.645,-60.839
430,3.0,-219.51700000000002,166.41785182786134,-632.9552278429849,193.92122784298485,-357.8992,-289.6555,-175.916,-127.578,-98.5752,-403.39500000000004,-79.24
431,12.0,-46.049,65.49728464184255,-87.66426984853265,-4.433730151467344,-152.02499999999998,-61.59675,-40.831500000000005,-10.22575,1.391300000000004,-170.246,62.251
492,12.0,-110.97375,123.21921866194046,-189.26403429471927,-32.683465705280724,-228.9116,-171.6635,-65.3335,-10.22575,1.391300000000004,-403.39500000000004,2.8890000000000002
493,3.0,-55.02,12.701031178609085,-86.57365704211975,-23.466342957880258,-63.18300000000001,-62.304,-60.839,-50.6455,-44.529399999999995,-63.769000000000005,-40.452
553,3.0,-58.39233333333333,101.79937660090721,-311.29641420642537,194.51174753975872,-141.07139999999998,-88.80449999999999,-1.6929999999999998,0.3695000000000004,1.6070000000000007,-175.916,2.4320000000000004
554,12.0,-94.75825000000002,141.753011506971,-184.82442385686483,-4.692076143135196,-336.28249999999997,-88.058,-41.19199999999999,-10.22575,13.063400000000009,-403.39500000000004,19.441
