t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,-6.110466666666667,16.817975242777198,-15.424877205271944,3.203943871938609,-34.6216,-3.7780000000000005,0.009,0.035,7.066999999999996,-42.611000000000004,14.049999999999999
61,5.0,389.5096,1085.1923173374848,-957.7186163341079,1736.7378163341077,-193.0124,-162.191,0.002,0.09999999999999999,1393.9582000000003,-213.56,2323.197
62,10.0,-22.7404,34.46737851037961,-47.39516424556828,1.9143642455682794,-74.1088,-51.1345,0.0075,0.077,1.4028999999999967,-78.337,9.34
123,14.0,37.95535714285713,232.75066376195767,-96.4079427955406,172.31865708125488,-98.56049999999999,-8.304,0.042499999999999996,0.0775,6.86980000000001,-139.12,829.208
124,1.0,-50.533,0.0,-50.533,-50.533,-50.533,-50.533,-50.533,-50.533,-50.533,-50.533,-50.533
184,6.0,-35.047,78.72606529479293,-117.67837842044393,47.58437842044394,-110.8715,-70.45575,-37.771,-4.529749999999999,43.5015,-146.9,86.96
185,9.0,-39.67011111111111,69.18973998622273,-92.85395791385432,13.5137356916321,-113.3004,-98.85600000000001,-21.573,0.515,27.91720000000001,-144.414,67.754
246,14.0,-35.62628571428572,39.4929759819653,-58.42496001904213,-12.827611409529315,-81.1839,-53.944500000000005,-28.3545,-2.7319999999999998,0.06370000000000003,-131.137,7.409
247,1.0,16.141000000000002,0.0,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002,16.141000000000002
307,4.0,-64.1115,69.43277718052188,-174.57904849421033,46.3560484942103,-129.3977,-79.52375,-46.9135,-31.501250000000002,-12.583699999999993,-162.647,0.028
308,11.0,-21.223181818181818,31.788528880142227,-42.5776752631179,0.1313116267542611,-62.656000000000006,-51.809,0.005,0.028,0.34900000000000003,-73.39999999999999,16.132
369,13.0,-46.597692307692306,48.253109185461845,-75.75925925880735,-17.436125356577264,-119.04119999999999,-70.11,-32.723,-9.75,0.016600000000000014,-144.573,0.024999999999999998
370,2.0,-29.660999999999998,41.95123111423549,-406.571784,347.249784,-53.392199999999995,-44.492999999999995,-29.660999999999998,-14.828999999999999,-5.929799999999998,-59.324999999999996,0.003
430,3.0,-141.37199999999999,200.23382762410552,-638.8205485653186,356.0765485653187,-306.449,-209.042,-46.696999999999996,-26.364499999999996,-14.164999999999997,-371.387,-6.032
431,12.0,-28.617666666666665,47.59114919305009,-58.85584412548171,1.6205107921483837,-73.6648,-33.970749999999995,-9.410499999999999,0.00875,0.025400000000000006,-160.858,0.051
492,12.0,-27.779916666666665,65.59434258234933,-69.45685460429979,13.897021270966462,-44.8081,-19.249,-4.203500000000001,0.012,0.03750000000000001,-230.969,2.895
493,3.0,-22.363333333333333,33.83809885814115,-106.4286152236229,61.70194855695624,-50.1982,-33.562,-5.835,-2.9005,-1.1397999999999997,-61.289,0.034
553,3.0,-30.176999999999996,46.22638087715715,-145.01896424561133,84.66496424561133,-68.14559999999999,-45.272999999999996,-7.152,-3.5685,-1.4183999999999997,-83.39399999999999,0.015
554,12.0,-21.722833333333337,37.132775411863285,-45.31603231005014,1.8703656433834652,-58.913,-27.378500000000003,-1.8575,0.018250000000000002,0.0385,-119.536,0.049
