t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00019333333333333336,2.5819888974716114e-05,0.00017903333333333337,0.00020763333333333336,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
15,14.0,0.00019285714285714286,2.672612419124244e-05,0.00017742857142857144,0.0002082857142857143,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
16,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
30,14.0,0.00019285714285714286,2.672612419124244e-05,0.00017742857142857144,0.0002082857142857143,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
31,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
45,11.0,0.00019090909090909095,3.015113445777636e-05,0.0001706545454545455,0.0002111636363636364,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
46,4.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
60,10.0,0.00019,3.1622776601683795e-05,0.00016738000000000001,0.00021262,0.00019,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
61,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
75,10.0,0.00019,3.1622776601683795e-05,0.00016738000000000001,0.00021262,0.00019,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
76,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
90,8.0,0.0001875,3.535533905932738e-05,0.0001579375,0.0002170625,0.00017,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
91,6.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
92,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
105,6.0,0.00018333333333333334,4.0824829046386304e-05,0.00014048333333333332,0.00022618333333333335,0.00015000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
106,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
107,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
120,6.0,0.00018333333333333334,4.0824829046386304e-05,0.00014048333333333332,0.00022618333333333335,0.00015000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
121,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
122,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
135,6.0,0.00018333333333333334,4.0824829046386304e-05,0.00014048333333333332,0.00022618333333333335,0.00015000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
136,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
137,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
150,5.0,0.00018,4.4721359549995795e-05,0.00012448000000000003,0.00023552,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
