t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00017333333333333336,4.5773770821706354e-05,0.0001479821428850949,0.00019868452378157182,0.0001,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
15,12.0,0.0001833333333333334,3.892494720807615e-05,0.0001586014350453068,0.00020806523162135998,0.00011000000000000002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
16,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
19,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
30,12.0,0.0001833333333333334,3.892494720807615e-05,0.0001586014350453068,0.00020806523162135998,0.00011000000000000002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
31,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
34,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
45,11.0,0.00018181818181818186,4.045199174779452e-05,0.00015464385752434807,0.00020899250611201565,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
46,3.0,0.00016666666666666666,5.7735026918962585e-05,2.3233333333333293e-05,0.0003101,0.00012,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
49,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
60,10.0,0.00018000000000000004,4.21637021355784e-05,0.00014984000000000004,0.00021016000000000003,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
61,4.0,0.000175,5e-05,9.545e-05,0.00025455,0.00013000000000000002,0.000175,0.0002,0.0002,0.0002,0.0001,0.0002
64,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
75,9.0,0.0001777777777777778,4.409585518440984e-05,0.00014388276375936144,0.0002116727917961942,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
76,5.0,0.00017999999999999998,4.4721359549995795e-05,0.00012448,0.00023551999999999997,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
84,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
90,9.0,0.0001777777777777778,4.409585518440984e-05,0.00014388276375936144,0.0002116727917961942,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
91,5.0,0.00017999999999999998,4.4721359549995795e-05,0.00012448,0.00023551999999999997,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
99,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
105,9.0,0.0001777777777777778,4.409585518440984e-05,0.00014388276375936144,0.0002116727917961942,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
106,4.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
109,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
114,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
