t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.0001933333333333334,2.581988897471611e-05,0.0001790333333333334,0.00020763333333333338,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
15,14.0,0.0001928571428571429,2.672612419124244e-05,0.00017742857142857146,0.00020828571428571432,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
16,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
30,12.0,0.0001916666666666667,2.8867513459481286e-05,0.00017332500000000003,0.00021000833333333337,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
31,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
45,10.0,0.0002,2.8571235909641123e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
46,3.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
47,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
52,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
60,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
61,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
62,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
67,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
75,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
76,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
77,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
82,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
90,7.0,0.00020000000000000004,2.927680476887095e-20,0.0002,0.00020000000000000006,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
91,6.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
92,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
97,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
105,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
106,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
112,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
120,5.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
121,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
127,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
135,4.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
136,9.0,0.0002,2.874925156281326e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
142,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
150,4.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
151,8.0,0.0002,2.897652191026245e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
152,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
157,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
158,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
165,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
166,10.0,0.0002,2.8571235909641123e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
167,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
172,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
178,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
180,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
181,10.0,0.0002,2.8571235909641123e-20,0.00019999999999999998,0.00020000000000000004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
182,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
