t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00014000000000000001,5.0709255283711e-05,0.0001119153575266278,0.00016808464247337223,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
15,15.0,0.00014000000000000001,5.0709255283711e-05,0.0001119153575266278,0.00016808464247337223,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
30,14.0,0.00013571428571428575,4.9724515809884693e-05,0.00010700910428078322,0.0001644194671477883,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
31,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
45,12.0,0.00012500000000000003,4.522670168666454e-05,9.626413094311322e-05,0.00015373586905688684,0.0001,0.0001,0.0001,0.000125,0.0002,0.0001,0.0002
46,3.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
60,11.0,0.00012727272727272728,4.670993664969138e-05,9.589452038054501e-05,0.00015865093416490955,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
61,4.0,0.000175,5e-05,9.545e-05,0.00025455,0.00013000000000000002,0.000175,0.0002,0.0002,0.0002,0.0001,0.0002
75,10.0,0.00012000000000000002,4.216370213557839e-05,8.984000000000002e-05,0.00015016,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
76,5.0,0.00018,4.4721359549995795e-05,0.00012448000000000003,0.00023552,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
90,9.0,0.00012222222222222224,4.409585518440984e-05,8.832720820380588e-05,0.0001561172362406386,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
91,6.0,0.00016666666666666666,5.163977794943223e-05,0.00011246522757138063,0.00022086810576195268,0.0001,0.000125,0.0002,0.0002,0.0002,0.0001,0.0002
105,8.0,0.0001125,3.535533905932738e-05,8.29375e-05,0.0001420625,0.0001,0.0001,0.0001,0.0001,0.00013,0.0001,0.0002
106,7.0,0.00017142857142857145,4.879500364742666e-05,0.0001262990940563355,0.0002165580488008074,0.0001,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
120,7.0,0.00011428571428571431,3.779644730092272e-05,7.932857142857146e-05,0.00014924285714285716,0.0001,0.0001,0.0001,0.0001,0.00014000000000000004,0.0001,0.0002
121,8.0,0.00016250000000000002,5.175491695067657e-05,0.0001192249311401885,0.00020577506885981154,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
135,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
136,11.0,0.00015454545454545457,5.2223296786709356e-05,0.00011946355273396859,0.00018962735635694056,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
150,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
151,10.0,0.00016000000000000004,5.1639777949432234e-05,0.0001230616946788297,0.00019693830532117038,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
152,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
165,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
166,10.0,0.00016000000000000004,5.1639777949432234e-05,0.0001230616946788297,0.00019693830532117038,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
167,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
180,2.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
181,11.0,0.00015454545454545457,5.2223296786709356e-05,0.00011946355273396859,0.00018962735635694056,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
182,2.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
195,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
196,12.0,0.00015000000000000004,5.222329678670935e-05,0.00011681867652921715,0.00018318132347078294,0.0001,0.0001,0.00015000000000000001,0.0002,0.0002,0.0001,0.0002
197,2.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
210,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
211,12.0,0.00015000000000000004,5.222329678670935e-05,0.00011681867652921715,0.00018318132347078294,0.0001,0.0001,0.00015000000000000001,0.0002,0.0002,0.0001,0.0002
212,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
213,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
226,13.0,0.00014615384615384618,5.1887452166277083e-05,0.00011479587905469072,0.00017751181325300163,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
227,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
228,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
241,13.0,0.00014615384615384618,5.1887452166277083e-05,0.00011479587905469072,0.00017751181325300163,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
242,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
243,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
256,12.0,0.0001416666666666667,5.149286505444373e-05,0.00010894944050633546,0.00017438389282699795,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
257,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
258,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
271,10.0,0.00013000000000000002,4.83045891539648e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
272,4.0,0.000175,5e-05,9.545e-05,0.00025455,0.00013000000000000002,0.000175,0.0002,0.0002,0.0002,0.0001,0.0002
273,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
286,10.0,0.00013000000000000002,4.83045891539648e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
287,4.0,0.000175,5e-05,9.545e-05,0.00025455,0.00013000000000000002,0.000175,0.0002,0.0002,0.0002,0.0001,0.0002
288,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
301,9.0,0.00012222222222222224,4.409585518440984e-05,8.832720820380588e-05,0.0001561172362406386,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
302,5.0,0.00017999999999999998,4.472135954999579e-05,0.00012448,0.00023551999999999997,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
304,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
316,8.0,0.000125,4.629100498862757e-05,8.629360171939085e-05,0.00016370639828060916,0.0001,0.0001,0.0001,0.000125,0.0002,0.0001,0.0002
317,5.0,0.00018,4.4721359549995795e-05,0.00012448000000000003,0.00023552,0.00014000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
318,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
319,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
331,7.0,0.00011428571428571431,3.779644730092272e-05,7.932857142857146e-05,0.00014924285714285716,0.0001,0.0001,0.0001,0.0001,0.00014000000000000004,0.0001,0.0002
332,6.0,0.00018333333333333334,4.0824829046386304e-05,0.00014048333333333332,0.00022618333333333335,0.00015000000000000001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
333,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
335,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
346,6.0,0.00011666666666666668,4.08248290463863e-05,7.381666666666668e-05,0.00015951666666666668,0.0001,0.0001,0.0001,0.0001,0.00015000000000000001,0.0001,0.0002
347,7.0,0.00017142857142857145,4.879500364742666e-05,0.0001262990940563355,0.0002165580488008074,0.0001,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
348,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
350,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
361,5.0,0.00012000000000000002,4.4721359549995795e-05,6.448000000000003e-05,0.00017552,0.0001,0.0001,0.0001,0.0001,0.00016,0.0001,0.0002
362,8.0,0.00016250000000000002,5.175491695067657e-05,0.0001192249311401885,0.00020577506885981154,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
364,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
365,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
376,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
377,9.0,0.0001666666666666667,5e-05,0.00012823333333333335,0.00020510000000000003,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
379,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
380,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
391,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
392,9.0,0.0001666666666666667,5e-05,0.00012823333333333335,0.00020510000000000003,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0002
