t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,0.00013333333333333337,4.879500364742666e-05,0.00010630887351317362,0.0001603577931534931,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
15,13.0,0.0001307692307692308,4.8038446141526144e-05,0.00010173739454082631,0.0001598010669976353,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
16,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
19,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
30,13.0,0.0001307692307692308,4.8038446141526144e-05,0.00010173739454082631,0.0001598010669976353,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
31,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
35,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
45,11.0,0.00012727272727272728,4.670993664969138e-05,9.589452038054501e-05,0.00015865093416490955,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
46,3.0,0.00016666666666666666,5.773502691896258e-05,2.323333333333332e-05,0.0003101,0.00012,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
50,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
60,8.0,0.000125,4.629100498862757e-05,8.629360171939085e-05,0.00016370639828060916,0.0001,0.0001,0.0001,0.000125,0.0002,0.0001,0.0002
61,6.0,0.00015000000000000004,5.4772255750516614e-05,9.251069229848043e-05,0.00020748930770151964,0.0001,0.0001,0.00015000000000000001,0.0002,0.0002,0.0001,0.0002
65,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
75,8.0,0.000125,4.629100498862757e-05,8.629360171939085e-05,0.00016370639828060916,0.0001,0.0001,0.0001,0.000125,0.0002,0.0001,0.0002
76,6.0,0.00015000000000000004,5.4772255750516614e-05,9.251069229848043e-05,0.00020748930770151964,0.0001,0.0001,0.00015000000000000001,0.0002,0.0002,0.0001,0.0002
85,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
90,7.0,0.00012857142857142858,4.8795003647426656e-05,8.344195119919263e-05,0.00017370090594366454,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
91,7.0,0.00014285714285714287,5.345224838248488e-05,9.342027732675768e-05,0.00019229400838752806,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
100,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
105,5.0,0.00014,5.4772255750516614e-05,7.200216474033897e-05,0.000207997835259661,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
106,8.0,0.0001375,5.175491695067657e-05,9.422493114018848e-05,0.00018077506885981153,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
109,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
115,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
120,5.0,0.00014,5.4772255750516614e-05,7.200216474033897e-05,0.000207997835259661,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
121,8.0,0.0001375,5.175491695067657e-05,9.422493114018848e-05,0.00018077506885981153,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
124,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
130,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
135,3.0,0.00016666666666666666,5.773502691896258e-05,2.323333333333332e-05,0.0003101,0.00012,0.00015000000000000001,0.0002,0.0002,0.0002,0.0001,0.0002
136,10.0,0.00013000000000000002,4.83045891539648e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
139,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
150,4.0,0.00015000000000000001,5.773502691896258e-05,5.814357217193055e-05,0.00024185642782806948,0.0001,0.0001,0.00015000000000000001,0.0002,0.0002,0.0001,0.0002
151,10.0,0.00013000000000000002,4.83045891539648e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
154,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
165,3.0,0.00013333333333333334,5.773502691896258e-05,-1.0100000000000002e-05,0.00027676666666666665,0.0001,0.0001,0.0001,0.00015000000000000001,0.00018,0.0001,0.0002
166,10.0,0.00013000000000000002,4.8304589153964794e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
167,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
174,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
180,3.0,0.00013333333333333334,5.773502691896258e-05,-1.0100000000000002e-05,0.00027676666666666665,0.0001,0.0001,0.0001,0.00015000000000000001,0.00018,0.0001,0.0002
181,10.0,0.00013000000000000002,4.8304589153964794e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
182,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
189,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
195,3.0,0.00013333333333333334,5.773502691896258e-05,-1.0100000000000002e-05,0.00027676666666666665,0.0001,0.0001,0.0001,0.00015000000000000001,0.00018,0.0001,0.0002
196,10.0,0.00013000000000000002,4.8304589153964794e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
197,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
204,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
210,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
211,11.0,0.00012727272727272728,4.670993664969138e-05,9.589452038054501e-05,0.00015865093416490955,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
212,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
216,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
219,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
226,12.0,0.00013333333333333337,4.923659639173309e-05,0.00010204968155342012,0.00016461698511324662,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
227,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
231,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
240,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
241,12.0,0.00013333333333333337,4.923659639173309e-05,0.00010204968155342012,0.00016461698511324662,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002
242,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
246,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
255,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
256,11.0,0.00012727272727272728,4.670993664969138e-05,9.589452038054501e-05,0.00015865093416490955,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
257,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
261,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
270,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
271,10.0,0.00013000000000000002,4.8304589153964794e-05,9.544737926003299e-05,0.00016455262073996704,0.0001,0.0001,0.0001,0.000175,0.0002,0.0001,0.0002
272,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
273,1.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
281,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
285,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
286,9.0,0.00012222222222222224,4.409585518440984e-05,8.832720820380588e-05,0.0001561172362406386,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
287,2.0,0.00015000000000000001,7.071067811865475e-05,-0.00048529999999999987,0.0007852999999999998,0.00011,0.000125,0.00015000000000000001,0.000175,0.00019,0.0001,0.0002
288,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
296,1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
301,7.0,0.00012857142857142858,4.8795003647426656e-05,8.344195119919263e-05,0.00017370090594366454,0.0001,0.0001,0.0001,0.00015000000000000001,0.0002,0.0001,0.0002
302,4.0,0.000125,5e-05,4.545000000000001e-05,0.00020455,0.0001,0.0001,0.0001,0.000125,0.00017,0.0001,0.0002
