scenario,role,metric,curve_scope,source_file,n_samples_aggregated,central_n_valid,central_mean,central_std,central_min,central_q25,central_median,central_q75,central_max,central_iqr,central_abs_mean,central_abs_q95,central_abs_max,iqr_width_n_valid,iqr_width_mean,iqr_width_std,iqr_width_min,iqr_width_q25,iqr_width_median,iqr_width_q75,iqr_width_max,iqr_width_iqr,p10p90_width_n_valid,p10p90_width_mean,p10p90_width_std,p10p90_width_min,p10p90_width_q25,p10p90_width_median,p10p90_width_q75,p10p90_width_max,p10p90_width_iqr,ci95_width_n_valid,ci95_width_mean,ci95_width_std,ci95_width_min,ci95_width_q25,ci95_width_median,ci95_width_q75,ci95_width_max,ci95_width_iqr,n_runs_n_valid,n_runs_mean,n_runs_std,n_runs_min,n_runs_q25,n_runs_median,n_runs_q75,n_runs_max,n_runs_iqr
high,client,offset_ms,raw,offset_ms_aggregated.csv,100,100,-10.377239,10.493288,-31.92096,-19.66088,-5.145997,0.0,0.0,19.66088,10.377239,29.398347,31.92096,100,10.035562,12.433731,0.0,0.0,0.30295,19.1448,35.3201,19.1448,100,18.370663,15.024212,0.0,0.0,23.84986,32.19348,38.93702,32.19348,100,9.122705,7.277009,0.0,0.0,11.234249,15.457506,19.328349,15.457506,100,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0
high,client,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,63,63,-16.325806,8.650461,-30.1171,-22.827553,-18.46806,-6.37126,-2.9619,16.456293,16.325806,29.473713,30.1171,63,15.17376,12.276725,0.129,3.0396,11.9071,26.1118,36.2917,23.0722,63,29.440383,6.817465,13.6371,24.14856,31.34866,34.91399,38.80848,10.76543,63,13.200844,2.56396,7.034387,10.788162,12.795633,15.568257,17.860011,4.780095,63,14.84127,0.807352,9.0,15.0,15.0,15.0,15.0,0.0
high,client,jitter_ms,raw,jitter_ms_aggregated.csv,100,100,13.075448,10.437306,0.00014,0.00014,17.975307,20.24918,26.085867,20.24904,13.075448,25.861462,26.085867,100,5.885953,5.541607,0.0001,0.0001,5.569,10.152712,16.69,10.152612,100,11.635207,9.379438,0.0001,0.0001,15.48462,20.1584,24.10058,20.1583,100,5.417676,4.239722,5.6e-05,5.6e-05,7.467466,9.260668,10.722143,9.260612,100,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0
high,client,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,63,63,20.918629,3.405857,16.40492,18.456623,20.005147,25.267028,26.608827,6.810405,20.918629,26.065146,26.608827,63,9.378664,4.178876,3.3756,5.756475,8.5119,12.57105,16.69,6.814575,63,18.304291,3.644697,10.27614,15.92766,18.75592,21.59727,24.10058,5.66961,63,7.79424,1.426766,4.376542,7.079725,8.080318,8.565607,12.567364,1.485881,63,14.84127,0.807352,9.0,15.0,15.0,15.0,15.0,0.0
high,client,delay_ms,raw,delay_ms_aggregated.csv,100,100,22.131907,21.987397,0.0,0.0,12.008903,41.04278,66.04018,41.04278,22.131907,62.753673,66.04018,100,20.579056,24.933714,0.0,0.0,1.43655,38.06105,70.9525,38.06105,100,37.214832,30.417578,0.0,0.0,47.52828,65.08766,78.55026,65.08766,100,18.543846,14.750431,0.0,0.0,22.663558,31.059642,39.041022,31.059642,100,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0
high,client,delay_ms,post_selected,delay_ms_aggregated_post_selected_rebuilt,63,63,34.829009,17.703365,7.705653,14.439493,39.408193,47.32488,64.22448,32.885387,34.829009,61.146033,64.22448,63,31.020056,24.540286,1.28325,7.51815,24.9306,52.89185,73.66925,45.3737,63,59.437179,13.944061,27.25626,48.69531,62.87628,69.72052,78.7823,21.02521,63,26.759233,5.247899,12.969385,21.673295,26.895867,31.400817,36.047004,9.727522,63,14.84127,0.807352,9.0,15.0,15.0,15.0,15.0,0.0
high,boundary,offset_ms,raw,offset_ms_aggregated.csv,101,101,0.202804,0.162743,0.0,0.11674,0.145233,0.298133,0.548167,0.181393,0.202804,0.500573,0.548167,101,0.18398,0.16124,0.0,0.07155,0.14065,0.2807,0.53625,0.20915,101,0.385077,0.345883,0.0,0.25452,0.30578,0.45724,1.35332,0.20272,101,0.211289,0.204993,0.0,0.114205,0.135941,0.247103,0.857955,0.132898,101,14.891089,1.094541,4.0,15.0,15.0,15.0,15.0,0.0
high,boundary,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,67,67,0.235769,0.1381,0.10888,0.135913,0.148027,0.298133,0.548167,0.16222,0.235769,0.533889,0.548167,67,0.188837,0.107208,0.07105,0.098,0.14555,0.261425,0.41995,0.163425,67,0.411031,0.263981,0.18216,0.27006,0.30908,0.44735,1.35332,0.17729,67,0.199312,0.128524,0.099966,0.109733,0.125827,0.21575,0.547396,0.106017,67,14.835821,1.343864,4.0,15.0,15.0,15.0,15.0,0.0
high,boundary,jitter_ms,raw,jitter_ms_aggregated.csv,101,101,0.354854,0.21313,0.0,0.309393,0.467393,0.47804,0.662647,0.168647,0.354854,0.581147,0.662647,101,0.208298,0.142909,0.0,0.11875,0.24115,0.296,0.5083,0.17725,101,0.420416,0.309099,0.0,0.17086,0.48542,0.56314,1.30648,0.39228,101,0.204985,0.149661,0.0,0.14492,0.218344,0.268303,0.598773,0.123383,101,14.891089,1.094541,4.0,15.0,15.0,15.0,15.0,0.0
high,boundary,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,67,67,0.472218,0.035915,0.3809,0.4581,0.470253,0.4782,0.581147,0.0201,0.472218,0.558705,0.581147,67,0.263864,0.075332,0.11875,0.18805,0.2591,0.32725,0.4202,0.1392,67,0.513737,0.140868,0.17086,0.41034,0.51232,0.5712,0.90104,0.16086,67,0.23002,0.07045,0.132421,0.19376,0.202289,0.238177,0.426575,0.044417,67,14.835821,1.343864,4.0,15.0,15.0,15.0,15.0,0.0
