scenario,role,run_id,summary_source,n_rows,min_sample_idx,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
high,client,run01,post_selected,62,38,99,573.0,1492.0,62,1.0,-17.049194,15.546138,-21.8688,0.09311,0.0945,23.621056,6.552353,23.78595,33.6416,33.6416,36.031253,32.008544,46.6271,81.646885,81.8621
high,client,run02,post_selected,61,39,99,588.0,1491.0,61,1.0,-17.834954,16.231061,-26.6272,0.2131,0.2131,22.845844,7.420997,20.6768,31.8759,31.8759,37.569352,32.163744,54.3607,80.5494,80.5494
high,client,run03,post_selected,63,37,99,557.0,1491.0,63,1.0,-9.7851,13.594303,0.0239,0.1324,0.1324,22.682194,5.154486,25.4226,28.73632,28.7737,21.277124,27.296903,1.4336,69.0355,69.0355
high,client,run04,post_selected,62,38,99,579.0,1507.0,62,1.0,-7.466539,12.064968,0.1058,0.416865,0.429,23.123463,4.204531,24.5762,28.896435,28.9089,16.569761,24.859814,0.8732,58.7326,58.7326
high,client,run05,post_selected,63,37,99,558.0,1492.0,63,1.0,-29.371613,7.76625,-24.0009,-21.8252,-21.8252,10.74237,2.807529,10.4901,15.5015,15.6376,60.732746,15.265314,56.3303,82.8997,82.8997
high,client,run06,post_selected,63,37,99,557.0,1491.0,63,1.0,-22.15331,11.7856,-24.6571,0.5119,0.5482,17.044284,7.085544,17.0293,30.336,30.336,46.416635,23.390213,51.9279,72.9113,72.9113
high,client,run07,post_selected,63,37,99,558.0,1492.0,63,1.0,-19.481084,14.260367,-23.9991,0.5793,0.5793,20.340432,8.107788,20.1974,31.9156,32.2842,40.83193,27.840572,48.7886,78.91818,79.3676
high,client,run08,post_selected,63,37,99,557.0,1491.0,63,1.0,-14.949824,15.365627,-0.2729,-0.2729,-0.2729,23.15237,9.037083,30.2477,32.46726,32.4962,31.700422,30.966693,2.2324,77.9532,77.9532
high,client,run09,post_selected,59,41,99,617.0,1491.0,59,1.0,-17.676603,16.297218,-23.6346,0.7928,0.7928,22.530575,6.967856,20.9536,31.8255,32.221,37.755437,31.829485,48.7124,78.6981,78.6981
high,client,run10,post_selected,63,37,99,557.0,1491.0,63,1.0,-19.559495,13.630879,-24.5435,0.1981,0.1981,15.150856,8.500085,12.4917,28.41168,28.4598,41.082211,27.509539,50.646,72.48918,72.5364
