scenario,role,run_id,summary_source,n_rows,min_sample_idx,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
low,client,run01,post_selected,63,37,99,558.0,1492.0,63,1.0,-2.429667,0.530179,-2.3136,-1.7628,-1.7628,0.734662,0.318037,0.7105,1.73212,1.8256,6.706143,1.096567,6.1013,9.58062,9.7295
low,client,run02,post_selected,63,37,99,560.0,1497.0,63,1.0,-2.585014,0.90204,-2.1585,-2.0494,-2.0494,0.957438,0.813234,0.6114,3.134,3.134,6.843243,2.29975,5.9077,14.4907,14.4907
low,client,run03,post_selected,62,37,98,575.0,1494.0,62,1.0,-2.204987,1.131311,-2.34775,1.475555,1.6615,1.472237,0.900518,1.6418,3.940475,4.0164,7.189613,1.973805,6.6127,13.116015,13.3226
low,client,run04,post_selected,62,38,99,610.0,1602.0,62,1.0,-2.567215,0.766732,-2.5007,-1.8141,-1.8141,1.894002,0.790425,1.41,3.371615,3.3955,6.682577,1.451211,6.47275,9.7434,9.7808
low,client,run05,post_selected,63,37,99,559.0,1495.0,63,1.0,-0.969268,1.726792,0.4783,0.4783,0.4783,2.237268,1.386765,3.3939,3.5664,3.5664,4.566005,2.576047,2.4596,8.93455,8.9467
low,client,run06,post_selected,63,37,99,557.0,1491.0,63,1.0,-2.573519,0.331014,-2.4314,-2.13,-2.13,0.513822,0.139991,0.5196,0.7542,0.7542,7.470656,2.494278,6.2577,15.52225,16.2822
low,client,run07,post_selected,63,37,99,558.0,1492.0,63,1.0,-2.998833,0.418347,-2.9347,-2.5861,-2.5861,0.817798,0.370765,0.6877,1.4405,1.4405,7.527413,0.944259,7.4059,10.0527,10.0527
low,client,run08,post_selected,63,37,99,558.0,1492.0,63,1.0,-2.790494,0.797837,-2.4841,-1.5628,-1.5628,1.515233,0.687662,1.1918,3.0299,3.0299,7.139578,2.164632,6.6192,11.22697,11.2542
low,client,run09,post_selected,63,37,99,558.0,1492.0,63,1.0,-2.688351,0.549781,-2.8599,-1.33776,-1.2476,0.77771,0.294112,0.7293,1.59834,1.6481,7.497713,1.852043,6.6643,13.02353,13.3404
low,client,run10,post_selected,62,38,99,621.0,1609.0,62,1.0,-2.603018,0.397919,-2.4454,-1.85756,-1.8411,0.592856,0.188328,0.5655,0.9819,0.9819,6.41736,1.016669,6.4039,7.9587,7.9587
low,client,run11,post_selected,63,37,99,557.0,1491.0,63,1.0,-2.684273,0.594512,-2.3568,-2.0287,-2.0287,0.79906,0.253743,0.6891,1.3894,1.3894,7.143929,1.264998,6.8729,10.248,10.248
low,client,run12,post_selected,63,37,99,557.0,1491.0,63,1.0,-2.93336,0.907003,-3.0797,-2.1887,-2.1887,1.187495,0.555207,1.1379,2.93712,3.0892,7.788721,1.721895,7.7613,12.37931,12.7201
low,client,run13,post_selected,63,37,99,558.0,1492.0,63,1.0,-3.110894,0.481295,-2.9663,-2.5373,-2.5279,0.749641,0.372119,0.5827,1.4163,1.4163,7.867633,0.966026,8.0041,10.0519,10.0519
low,client,run14,post_selected,62,38,99,572.0,1491.0,62,1.0,-2.497274,0.592209,-2.3176,-1.07419,-1.0366,0.90389,0.333148,0.8044,1.961345,2.0012,6.893611,1.445337,6.6098,9.5166,9.5346
low,client,run15,post_selected,63,37,99,557.0,1491.0,63,1.0,-2.64731,0.399813,-2.3537,-2.2634,-2.26,0.682032,0.167488,0.7173,0.8864,0.9242,7.25504,0.950181,6.8903,9.2375,9.3581
low,boundary,run01,post_selected,66,34,99,512.0,1491.0,66,1.0,0.084485,0.13399,0.0076,0.385,0.4085,0.667524,0.703229,0.265,1.8086,1.809,0.669535,0.461749,0.5128,1.52325,1.5613
low,boundary,run02,post_selected,66,34,99,514.0,1496.0,66,1.0,0.186009,0.183711,0.1067,0.53175,0.5576,0.295626,0.113265,0.3038,0.4444,0.4444,0.814124,0.504465,0.6712,1.56075,1.5749
low,boundary,run03,post_selected,66,33,98,497.0,1493.0,66,1.0,0.131644,0.10676,0.1294,0.365675,0.3858,0.457,0.451522,0.2145,1.281775,1.318,0.831277,0.398247,0.7557,1.582375,1.6286
low,boundary,run04,post_selected,66,34,99,546.0,1602.0,66,1.0,0.136824,0.158213,0.0606,0.512775,0.5577,0.273991,0.049657,0.2633,0.400325,0.4269,0.844702,0.520741,0.6533,2.0904,2.2428
low,boundary,run05,post_selected,66,34,99,513.0,1494.0,66,1.0,0.198644,0.116069,0.1874,0.462775,0.5269,0.231323,0.117473,0.2844,0.4105,0.4105,1.198159,0.241781,1.2687,1.63595,1.6845
low,boundary,run06,post_selected,67,34,100,512.0,1506.0,67,1.0,0.285679,0.135555,0.3236,0.4993,0.4993,0.24929,0.074062,0.2651,0.3807,0.3807,1.149339,0.471178,1.232,2.0234,2.0234
low,boundary,run07,post_selected,66,34,99,512.0,1491.0,66,1.0,0.415715,0.85756,0.0446,3.1885,3.1885,1.026102,0.652276,1.1414,2.9135,2.9135,1.609062,1.787998,1.1238,6.8833,6.8833
low,boundary,run08,post_selected,66,34,99,512.0,1491.0,66,1.0,0.245462,0.200197,0.1634,0.736275,0.7857,0.252695,0.087019,0.2784,0.40705,0.4349,1.048189,0.51694,0.7423,2.392725,2.6093
low,boundary,run09,post_selected,66,34,99,513.0,1492.0,66,1.0,0.0699,0.181718,-0.0014,0.6258,0.6258,0.31023,0.104096,0.2915,0.537,0.537,1.186608,0.573336,1.0477,2.9761,2.9761
low,boundary,run10,post_selected,66,34,99,555.0,1608.0,66,1.0,0.205635,0.152923,0.1031,0.52005,0.5595,0.532217,0.457679,0.3205,1.452675,1.4531,1.01637,0.467302,0.6445,1.9309,2.0377
low,boundary,run11,post_selected,66,34,99,512.0,1491.0,66,1.0,0.178242,0.14692,0.1377,0.516525,0.5762,0.1819,0.107821,0.1893,0.41905,0.4732,1.002586,0.383124,0.972,1.8304,1.9551
low,boundary,run12,post_selected,66,34,99,513.0,1492.0,66,1.0,0.240838,0.830285,0.0557,2.6405,3.4453,0.985452,0.760927,1.2649,2.8425,3.3561,1.316376,1.688625,0.6851,6.2894,7.6007
low,boundary,run13,post_selected,66,34,99,512.0,1491.0,66,1.0,0.171453,0.112579,0.1437,0.39575,0.3997,0.323776,0.083476,0.3184,0.478075,0.4875,1.068217,0.554057,0.7275,2.266275,2.3322
low,boundary,run14,post_selected,66,34,99,512.0,1491.0,66,1.0,0.282842,0.240831,0.2963,0.642525,0.6528,0.49193,0.217327,0.5198,0.753125,0.7598,1.314505,0.693298,1.5453,2.554075,2.6623
low,boundary,run15,post_selected,66,34,99,512.0,1491.0,66,1.0,0.227336,0.215764,0.1416,0.79425,0.8839,0.420361,0.100176,0.4559,0.5328,0.6528,1.135891,0.564795,0.8134,2.3049,2.4156
