scenario,role,metric,curve_scope,source_file,n_samples_aggregated,central_n_valid,central_mean,central_std,central_min,central_q25,central_median,central_q75,central_max,central_iqr,central_abs_mean,central_abs_q95,central_abs_max,iqr_width_n_valid,iqr_width_mean,iqr_width_std,iqr_width_min,iqr_width_q25,iqr_width_median,iqr_width_q75,iqr_width_max,iqr_width_iqr,p10p90_width_n_valid,p10p90_width_mean,p10p90_width_std,p10p90_width_min,p10p90_width_q25,p10p90_width_median,p10p90_width_q75,p10p90_width_max,p10p90_width_iqr,ci95_width_n_valid,ci95_width_mean,ci95_width_std,ci95_width_min,ci95_width_q25,ci95_width_median,ci95_width_q75,ci95_width_max,ci95_width_iqr,n_runs_n_valid,n_runs_mean,n_runs_std,n_runs_min,n_runs_q25,n_runs_median,n_runs_q75,n_runs_max,n_runs_iqr
medium,client,offset_ms,raw,offset_ms_aggregated.csv,100,100,-4.267922,3.462508,-8.341873,-7.787613,-4.432113,0.0,0.0,7.787613,4.267922,8.186467,8.341873,100,1.836943,1.90993,0.0,0.0,1.7712,2.47645,8.2843,2.47645,100,3.215262,2.867929,0.0,0.0,3.38699,4.40053,9.4523,4.40053,100,1.650181,1.421085,0.0,0.0,1.588887,3.154742,4.962835,3.154742,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
medium,client,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,63,63,-6.689527,1.597297,-8.336453,-7.930887,-7.29206,-4.65998,-3.938573,3.270907,6.689527,8.209913,8.336453,63,2.737512,1.413847,0.90165,1.893375,2.05615,3.9118,6.51415,2.018425,63,4.966763,1.855984,2.52188,3.59774,4.06342,6.78526,8.30214,3.18752,63,2.306816,0.803013,1.076035,1.486736,2.478225,2.965253,3.402068,1.478517,63,14.936508,0.396477,12.0,15.0,15.0,15.0,15.0,0.0
medium,client,jitter_ms,raw,jitter_ms_aggregated.csv,100,100,1.977545,1.642297,0.000107,0.000113,2.408307,3.06182,4.731779,3.061707,1.977545,4.701567,4.731779,100,1.550289,1.617459,0.0,0.0,1.376325,2.210738,6.030975,2.210738,100,2.624747,2.527731,6e-05,6e-05,2.3214,3.62438,7.28402,3.62432,100,1.343753,1.228167,3.9e-05,3.9e-05,1.233496,2.423516,3.587692,2.423477,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
medium,client,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,63,63,3.142874,0.760713,2.3295,2.60117,2.845047,3.834493,4.7135,1.233323,3.142874,4.679732,4.7135,63,2.398067,1.284302,1.03835,1.3563,1.91955,3.6999,5.32155,2.3436,63,4.181908,1.924211,2.05106,2.43994,3.55988,6.39366,7.44522,3.95372,63,1.960496,0.778551,1.023101,1.158425,1.862894,2.733432,3.10552,1.575007,63,14.936508,0.396477,12.0,15.0,15.0,15.0,15.0,0.0
medium,client,delay_ms,raw,delay_ms_aggregated.csv,100,100,9.886994,7.923692,0.0,0.0,10.758053,17.661165,19.076787,17.661165,9.886994,18.833951,19.076787,100,3.77644,3.921149,0.0,0.0,3.9831,5.2366,19.405,5.2366,100,6.511127,5.84461,0.0,0.0,6.70606,9.527275,21.35946,9.527275,100,3.443915,2.938855,0.0,0.0,3.593819,6.153554,11.230202,6.153554,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
medium,client,delay_ms,post_selected,delay_ms_aggregated_post_selected_rebuilt,63,63,15.500928,3.381047,9.804393,11.208213,17.06772,17.933513,19.18572,6.7253,15.500928,18.935913,19.18572,63,5.622935,2.679403,1.3093,4.29205,5.20635,7.4671,13.0268,3.17505,63,10.000359,3.666924,4.79876,6.89342,8.21866,13.83108,16.60356,6.93766,63,4.788021,1.535143,2.262984,3.323035,5.191678,6.29555,6.884806,2.972515,63,14.936508,0.396477,12.0,15.0,15.0,15.0,15.0,0.0
medium,boundary,offset_ms,raw,offset_ms_aggregated.csv,100,100,0.217594,0.176634,0.0,0.09179,0.194427,0.35254,0.599453,0.26075,0.217594,0.510007,0.599453,100,0.162828,0.133194,0.0,0.0509,0.1627,0.2748,0.48875,0.2239,100,0.354669,0.294285,0.0,0.19742,0.31012,0.50361,1.24062,0.30619,100,0.197837,0.17608,0.0,0.123726,0.137932,0.232597,0.647601,0.108871,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
medium,boundary,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,66,66,0.254105,0.159594,0.09008,0.107252,0.194993,0.409492,0.599453,0.30224,0.254105,0.577092,0.599453,66,0.204514,0.124694,0.0509,0.097875,0.16655,0.2828,0.48875,0.184925,66,0.459036,0.30125,0.17756,0.24853,0.31012,0.64488,1.24062,0.39635,66,0.230388,0.164551,0.108225,0.122965,0.138901,0.289657,0.591747,0.166692,66,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0
medium,boundary,jitter_ms,raw,jitter_ms_aggregated.csv,100,100,0.312584,0.20069,0.0,0.151877,0.430043,0.479057,0.53326,0.32718,0.312584,0.506807,0.53326,100,0.179367,0.121788,0.0,0.085275,0.2079,0.28015,0.40175,0.194875,100,0.336329,0.231777,0.0,0.184485,0.37574,0.495365,0.89728,0.31088,100,0.211753,0.149057,0.0,0.098403,0.243751,0.317393,0.504828,0.21899,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
medium,boundary,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,66,66,0.441742,0.081477,0.24098,0.430133,0.476767,0.498655,0.53326,0.068522,0.441742,0.526647,0.53326,66,0.246146,0.077147,0.1137,0.1819,0.26135,0.303575,0.40175,0.121675,66,0.467721,0.155687,0.24596,0.34644,0.48574,0.5086,0.89728,0.16216,66,0.267861,0.092001,0.106134,0.226831,0.267909,0.317659,0.461288,0.090828,66,15.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0
