scenario,role,run_id,summary_source,n_rows,min_sample_idx,max_sample_idx,t_rel_min_s,t_rel_max_s,n_selected_rows,selected_fraction,offset_ms_mean,offset_ms_std,offset_ms_median,offset_ms_p95,offset_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_median,jitter_ms_p95,jitter_ms_max,delay_ms_mean,delay_ms_std,delay_ms_median,delay_ms_p95,delay_ms_max
medium,client,run01,post_selected,63,37,99,557.0,1491.0,63,1.0,-7.38081,0.946989,-7.6631,-5.9777,-5.9777,1.479816,0.525682,1.2884,2.1909,2.1909,16.834592,2.129341,16.8451,20.67586,20.7457
medium,client,run02,post_selected,62,38,99,572.0,1491.0,62,1.0,-7.725027,1.22603,-7.077,-6.5905,-6.5905,1.790747,0.4696,2.03485,2.2752,2.2752,17.490568,2.80341,15.7442,22.843035,22.9182
medium,client,run03,post_selected,63,37,99,602.0,1611.0,63,1.0,-5.743605,3.348046,-7.6682,0.0765,0.0765,3.639265,2.323345,3.1909,8.0371,8.0719,13.154821,6.860453,16.708,20.57904,20.6277
medium,client,run04,post_selected,63,37,99,558.0,1492.0,63,1.0,-7.176027,1.318985,-6.9239,-5.4224,-5.4224,2.308173,0.910158,1.9951,3.7331,3.7331,15.835673,3.009479,15.2246,21.6769,21.6769
medium,client,run05,post_selected,63,37,99,557.0,1491.0,63,1.0,-6.985433,1.989952,-6.7163,-4.9699,-4.9699,2.897,0.847723,2.8489,4.053,4.053,16.386844,3.906327,15.0168,22.2656,22.2656
medium,client,run06,post_selected,63,37,99,557.0,1492.0,63,1.0,-6.785089,1.539453,-5.8728,-4.876,-4.876,2.305032,0.599917,2.1185,3.77874,3.8313,16.045243,2.85585,14.816,22.65576,22.986
medium,client,run07,post_selected,63,36,98,564.0,1498.0,63,1.0,-7.912516,2.115565,-8.2373,-4.27762,-4.166,2.711278,1.043655,3.0523,4.66474,4.74,18.483762,4.167063,17.923,26.5874,26.5874
medium,client,run08,post_selected,62,38,99,578.0,1508.0,62,1.0,-5.100879,3.714085,-6.42365,0.4554,0.4554,3.883977,2.967786,2.37525,8.7066,8.7066,12.628031,7.186147,14.5115,20.88487,20.9449
medium,client,run09,post_selected,63,37,99,557.0,1491.0,63,1.0,-6.229744,3.606691,-7.5177,0.5933,0.5933,5.307794,2.084277,4.93,8.94801,8.9623,14.213879,6.956455,16.7502,21.7659,21.7659
medium,client,run10,post_selected,63,37,99,557.0,1491.0,63,1.0,-7.431168,1.354825,-6.7057,-6.1007,-5.7339,1.89517,0.389628,1.8574,2.8855,2.8855,16.840313,3.069116,15.1477,22.5473,22.5473
medium,client,run11,post_selected,63,37,99,557.0,1491.0,63,1.0,-6.190281,3.599402,-7.8935,0.1671,0.1671,4.653144,2.692433,3.7351,10.1787,10.1787,14.858597,7.848133,19.2471,21.4246,21.4246
medium,client,run12,post_selected,63,37,99,558.0,1492.0,63,1.0,-7.903248,1.24816,-7.5099,-6.776,-6.776,2.452594,1.201299,1.7036,5.10738,5.1608,17.305221,2.67013,16.4657,22.93513,22.9789
medium,client,run13,post_selected,63,37,99,558.0,1492.0,63,1.0,-6.184254,3.415506,-7.6859,0.0121,0.0121,3.561944,2.699208,2.9992,8.3574,8.4904,14.555446,7.863147,17.1699,23.53303,23.8808
medium,client,run14,post_selected,61,39,99,587.0,1491.0,61,1.0,-5.249838,4.416588,-7.4664,0.28,0.28,4.815761,3.135185,3.0677,9.2175,9.2175,12.702287,9.033236,17.8034,23.8809,23.8809
medium,client,run15,post_selected,63,37,99,558.0,1492.0,63,1.0,-6.437489,2.845694,-6.2576,0.5407,0.5407,3.414537,1.54811,3.3594,7.3319,7.5611,15.38909,6.508975,14.0677,28.05559,28.6508
medium,boundary,run01,post_selected,66,34,99,512.0,1491.0,66,1.0,0.270456,0.265196,0.1092,0.7975,0.7975,0.529689,0.136443,0.5661,0.709775,0.7111,1.143588,0.637321,0.7486,2.6465,2.6465
medium,boundary,run02,post_selected,66,34,99,512.0,1491.0,66,1.0,0.260735,0.2745,0.0646,0.7589,0.7706,0.435442,0.125923,0.4157,0.5856,0.6118,1.024902,0.477346,0.6989,1.910125,1.9524
medium,boundary,run03,post_selected,66,34,99,550.0,1610.0,66,1.0,0.146229,0.123761,0.1017,0.461675,0.4912,0.346973,0.126803,0.3367,0.51725,0.5173,0.88787,0.532536,0.5695,2.106675,2.2469
medium,boundary,run04,post_selected,66,34,99,512.0,1491.0,66,1.0,0.25415,0.307226,0.329,0.954275,1.0971,0.423242,0.182395,0.4507,0.71175,0.7463,1.120626,0.675014,1.1158,2.5965,2.8697
medium,boundary,run05,post_selected,66,34,99,512.0,1491.0,66,1.0,0.307239,0.283729,0.108,0.945625,0.9856,0.56993,0.177023,0.6213,0.7478,0.7478,1.310974,0.573948,0.8757,2.59495,2.7252
medium,boundary,run06,post_selected,66,34,99,513.0,1493.0,66,1.0,0.375853,0.438532,0.1968,1.636025,1.8657,0.681383,0.294032,0.6773,1.35565,1.4733,1.191747,1.087559,0.696,4.30165,4.9473
