t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
5847.0,01:37:27,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,high,run02,boundary
5862.0,01:37:42,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,high,run02,boundary
5877.0,01:37:57,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,high,run02,boundary
5892.0,01:38:12,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,high,run02,boundary
5908.0,01:38:28,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,61.0,61,high,run02,boundary
5923.0,01:38:43,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,76.0,76,high,run02,boundary
5938.0,01:38:58,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,91.0,91,high,run02,boundary
5953.0,01:39:13,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,106.0,106,high,run02,boundary
5968.0,01:39:28,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,121.0,121,high,run02,boundary
5983.0,01:39:43,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,136.0,136,high,run02,boundary
5998.0,01:39:58,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,151.0,151,high,run02,boundary
6013.0,01:40:13,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,166.0,166,high,run02,boundary
6028.0,01:40:28,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,181.0,181,high,run02,boundary
6043.0,01:40:43,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,high,run02,boundary
6058.0,01:40:58,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,high,run02,boundary
6073.0,01:41:13,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,high,run02,boundary
6088.0,01:41:28,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,high,run02,boundary
6103.0,01:41:43,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,high,run02,boundary
6118.0,01:41:58,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,high,run02,boundary
6133.0,01:42:13,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,high,run02,boundary
6149.0,01:42:29,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,302.0,302,high,run02,boundary
6359.0,01:45:59,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64   17   1.1665   0.1425   0.4003,512.0,512,high,run02,boundary
6374.0,01:46:14,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64   17   1.1665   0.1425   0.4003,527.0,527,high,run02,boundary
