t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
18385.0,05:06:25,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,high,run10,client
18400.0,05:06:40,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,high,run10,client
18415.0,05:06:55,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,high,run10,client
18430.0,05:07:10,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,high,run10,client
18445.0,05:07:25,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,high,run10,client
18460.0,05:07:40,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,high,run10,client
18475.0,05:07:55,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,90.0,90,high,run10,client
18490.0,05:08:10,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,105.0,105,high,run10,client
18505.0,05:08:25,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0,120,high,run10,client
18520.0,05:08:40,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,135.0,135,high,run10,client
18535.0,05:08:55,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,150.0,150,high,run10,client
18550.0,05:09:10,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,165.0,165,high,run10,client
18565.0,05:09:25,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0,180,high,run10,client
18580.0,05:09:40,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,195.0,195,high,run10,client
18595.0,05:09:55,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,210.0,210,high,run10,client
18611.0,05:10:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,high,run10,client
18626.0,05:10:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,high,run10,client
18641.0,05:10:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,high,run10,client
18656.0,05:10:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,high,run10,client
18671.0,05:11:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,high,run10,client
18686.0,05:11:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0,301,high,run10,client
18701.0,05:11:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,316.0,316,high,run10,client
18716.0,05:11:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,331.0,331,high,run10,client
18731.0,05:12:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,346.0,346,high,run10,client
18746.0,05:12:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,361.0,361,high,run10,client
18761.0,05:12:41,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,376.0,376,high,run10,client
18776.0,05:12:56,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,391.0,391,high,run10,client
18791.0,05:13:11,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,406.0,406,high,run10,client
18806.0,05:13:26,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,421.0,421,high,run10,client
