t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,scenario,run_id,role
26184.0,07:16:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,high,run15,boundary
26199.0,07:16:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,15.0,15,high,run15,boundary
26214.0,07:16:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,30.0,30,high,run15,boundary
26229.0,07:17:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,45.0,45,high,run15,boundary
26244.0,07:17:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0,60,high,run15,boundary
26259.0,07:17:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,75.0,75,high,run15,boundary
26274.0,07:17:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,90.0,90,high,run15,boundary
26289.0,07:18:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,105.0,105,high,run15,boundary
26304.0,07:18:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0,120,high,run15,boundary
26319.0,07:18:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,135.0,135,high,run15,boundary
26334.0,07:18:54,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,150.0,150,high,run15,boundary
26349.0,07:19:09,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,165.0,165,high,run15,boundary
26364.0,07:19:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,180.0,180,high,run15,boundary
26380.0,07:19:40,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,196.0,196,high,run15,boundary
26395.0,07:19:55,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,211.0,211,high,run15,boundary
26410.0,07:20:10,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,226.0,226,high,run15,boundary
26425.0,07:20:25,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,241.0,241,high,run15,boundary
26440.0,07:20:40,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,256.0,256,high,run15,boundary
26455.0,07:20:55,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,271.0,271,high,run15,boundary
26470.0,07:21:10,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,286.0,286,high,run15,boundary
26485.0,07:21:25,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0,301,high,run15,boundary
26500.0,07:21:40,serverntp,127.127.1.0,9,u,4.0,64,1,1,,False,0.9098,0.2354,0.0,serverntp       127.127.1.0      9 u    4   64    1   0.9098   0.2354   0.0000,316.0,316,high,run15,boundary
26515.0,07:21:55,serverntp,127.127.1.0,9,u,19.0,64,1,1,,False,0.9098,0.2354,0.0,serverntp       127.127.1.0      9 u   19   64    1   0.9098   0.2354   0.0000,331.0,331,high,run15,boundary
26530.0,07:22:10,serverntp,127.127.1.0,9,u,34.0,64,1,1,,False,0.9098,0.2354,0.0,serverntp       127.127.1.0      9 u   34   64    1   0.9098   0.2354   0.0000,346.0,346,high,run15,boundary
26545.0,07:22:25,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,0.9098,0.2354,0.0,serverntp       127.127.1.0      9 u   49   64    1   0.9098   0.2354   0.0000,361.0,361,high,run15,boundary
26560.0,07:22:40,serverntp,127.127.1.0,9,u,,64,3,3,,False,2.0331,0.2147,0.0207,serverntp       127.127.1.0      9 u    -   64    3   2.0331   0.2147   0.0207,376.0,376,high,run15,boundary
26575.0,07:22:55,serverntp,127.127.1.0,9,u,15.0,64,3,3,,False,2.0331,0.2147,0.0207,serverntp       127.127.1.0      9 u   15   64    3   2.0331   0.2147   0.0207,391.0,391,high,run15,boundary
26590.0,07:23:10,serverntp,127.127.1.0,9,u,30.0,64,3,3,,False,2.0331,0.2147,0.0207,serverntp       127.127.1.0      9 u   30   64    3   2.0331   0.2147   0.0207,406.0,406,high,run15,boundary
26605.0,07:23:25,serverntp,127.127.1.0,9,u,45.0,64,3,3,,False,2.0331,0.2147,0.0207,serverntp       127.127.1.0      9 u   45   64    3   2.0331   0.2147   0.0207,421.0,421,high,run15,boundary
26621.0,07:23:41,serverntp,127.127.1.0,9,u,60.0,64,3,3,,False,2.0331,0.2147,0.0207,serverntp       127.127.1.0      9 u   60   64    3   2.0331   0.2147   0.0207,437.0,437,high,run15,boundary
26636.0,07:23:56,serverntp,127.127.1.0,9,u,11.0,64,7,7,,False,2.9875,-0.4568,0.682,serverntp       127.127.1.0      9 u   11   64    7   2.9875  -0.4568   0.6820,452.0,452,high,run15,boundary
26651.0,07:24:11,serverntp,127.127.1.0,9,u,26.0,64,7,7,,False,2.9875,-0.4568,0.682,serverntp       127.127.1.0      9 u   26   64    7   2.9875  -0.4568   0.6820,467.0,467,high,run15,boundary
26666.0,07:24:26,serverntp,127.127.1.0,9,u,41.0,64,7,7,,False,2.9875,-0.4568,0.682,serverntp       127.127.1.0      9 u   41   64    7   2.9875  -0.4568   0.6820,482.0,482,high,run15,boundary
26681.0,07:24:41,serverntp,127.127.1.0,9,u,56.0,64,7,7,,False,2.9875,-0.4568,0.682,serverntp       127.127.1.0      9 u   56   64    7   2.9875  -0.4568   0.6820,497.0,497,high,run15,boundary
