t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
45060.0,12:31:00,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,low,run02,boundary
45075.0,12:31:15,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,low,run02,boundary
45090.0,12:31:30,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,low,run02,boundary
45105.0,12:31:45,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,low,run02,boundary
45120.0,12:32:00,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,low,run02,boundary
45135.0,12:32:15,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,low,run02,boundary
45150.0,12:32:30,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,90.0,90,low,run02,boundary
45165.0,12:32:45,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,105.0,105,low,run02,boundary
45180.0,12:33:00,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0,120,low,run02,boundary
45195.0,12:33:15,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,135.0,135,low,run02,boundary
45210.0,12:33:30,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,150.0,150,low,run02,boundary
45226.0,12:33:46,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,166.0,166,low,run02,boundary
45241.0,12:34:01,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0,181,low,run02,boundary
45257.0,12:34:17,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,197.0,197,low,run02,boundary
45272.0,12:34:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,212.0,212,low,run02,boundary
45287.0,12:34:47,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,227.0,227,low,run02,boundary
45302.0,12:35:02,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,242.0,242,low,run02,boundary
45317.0,12:35:17,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,257.0,257,low,run02,boundary
45332.0,12:35:32,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,272.0,272,low,run02,boundary
45347.0,12:35:47,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,287.0,287,low,run02,boundary
45362.0,12:36:02,init,refid=.INIT.,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,302.0,302,low,run02,boundary
45574.0,12:39:34,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64   17   0.3625   0.0855   0.2700,514.0,514,low,run02,boundary
45589.0,12:39:49,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64   17   0.3625   0.0855   0.2700,529.0,529,low,run02,boundary
45604.0,12:40:04,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   36   64   17   0.3625   0.0855   0.2700,544.0,544,low,run02,boundary
45619.0,12:40:19,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   51   64   17   0.3625   0.0855   0.2700,559.0,559,low,run02,boundary
45634.0,12:40:34,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   66   64   17   0.3625   0.0855   0.2700,574.0,574,low,run02,boundary
45649.0,12:40:49,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   14   64   37   0.6712   0.1484   0.2055,589.0,589,low,run02,boundary
45664.0,12:41:04,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   29   64   37   0.6712   0.1484   0.2055,604.0,604,low,run02,boundary
45679.0,12:41:19,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   44   64   37   0.6712   0.1484   0.2055,619.0,619,low,run02,boundary
45694.0,12:41:34,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   59   64   37   0.6712   0.1484   0.2055,634.0,634,low,run02,boundary
45710.0,12:41:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   10   64   77   1.5749   0.4542   0.3070,650.0,650,low,run02,boundary
45725.0,12:42:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   25   64   77   1.5749   0.4542   0.3070,665.0,665,low,run02,boundary
45740.0,12:42:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   40   64   77   1.5749   0.4542   0.3070,680.0,680,low,run02,boundary
45755.0,12:42:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   55   64   77   1.5749   0.4542   0.3070,695.0,695,low,run02,boundary
45770.0,12:42:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    5   64  177   1.5183   0.2969   0.1931,710.0,710,low,run02,boundary
45785.0,12:43:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   20   64  177   1.5183   0.2969   0.1931,725.0,725,low,run02,boundary
45800.0,12:43:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   35   64  177   1.5183   0.2969   0.1931,740.0,740,low,run02,boundary
45815.0,12:43:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   50   64  177   1.5183   0.2969   0.1931,755.0,755,low,run02,boundary
45830.0,12:43:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   65   64  177   1.5183   0.2969   0.1931,770.0,770,low,run02,boundary
45845.0,12:44:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   15   64  377   0.3164   0.0061   0.3006,785.0,785,low,run02,boundary
45860.0,12:44:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   30   64  377   0.3164   0.0061   0.3006,800.0,800,low,run02,boundary
45875.0,12:44:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   45   64  377   0.3164   0.0061   0.3006,815.0,815,low,run02,boundary
45890.0,12:44:50,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   60   64  377   0.3164   0.0061   0.3006,830.0,830,low,run02,boundary
45905.0,12:45:05,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    8   64  377   1.4839   0.5576   0.4083,845.0,845,low,run02,boundary
45920.0,12:45:20,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   23   64  377   1.4839   0.5576   0.4083,860.0,860,low,run02,boundary
45935.0,12:45:35,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   38   64  377   1.4839   0.5576   0.4083,875.0,875,low,run02,boundary
45951.0,12:45:51,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   53   64  377   1.4839   0.5576   0.4083,891.0,891,low,run02,boundary
45966.0,12:46:06,selected_peer,serverntp,*serverntp       127.127.1.0      9 u    3   64  377   1.2996   0.3453   0.2062,906.0,906,low,run02,boundary
45981.0,12:46:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   18   64  377   1.2996   0.3453   0.2062,921.0,921,low,run02,boundary
45996.0,12:46:36,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   33   64  377   1.2996   0.3453   0.2062,936.0,936,low,run02,boundary
46011.0,12:46:51,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   48   64  377   1.2996   0.3453   0.2062,951.0,951,low,run02,boundary
46026.0,12:47:06,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   63   64  377   1.2996   0.3453   0.2062,966.0,966,low,run02,boundary
46041.0,12:47:21,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   11   64  377   0.3164   0.0061   0.3603,981.0,981,low,run02,boundary
46056.0,12:47:36,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   26   64  377   0.3164   0.0061   0.3603,996.0,996,low,run02,boundary
46071.0,12:47:51,selected_peer,serverntp,*serverntp       127.127.1.0      9 u   41   64  377   0.3164   0.0061   0.3603,1011.0,1011,low,run02,boundary
