t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
46622.0,12:57:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,low,run03,client
46637.0,12:57:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,low,run03,client
46652.0,12:57:32,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,low,run03,client
46667.0,12:57:47,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,low,run03,client
46682.0,12:58:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,low,run03,client
46697.0,12:58:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,low,run03,client
46713.0,12:58:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,91.0,91,low,run03,client
46728.0,12:58:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,106.0,106,low,run03,client
46743.0,12:59:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,121.0,121,low,run03,client
46758.0,12:59:18,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,136.0,136,low,run03,client
46773.0,12:59:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,151.0,151,low,run03,client
46788.0,12:59:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,166.0,166,low,run03,client
46803.0,13:00:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,181.0,181,low,run03,client
46818.0,13:00:18,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,196.0,196,low,run03,client
46833.0,13:00:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,211.0,211,low,run03,client
46848.0,13:00:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,low,run03,client
46863.0,13:01:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,low,run03,client
46878.0,13:01:18,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,low,run03,client
46893.0,13:01:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,low,run03,client
46908.0,13:01:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,low,run03,client
46923.0,13:02:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0,301,low,run03,client
46939.0,13:02:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,317.0,317,low,run03,client
46954.0,13:02:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,332.0,332,low,run03,client
46969.0,13:02:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,347.0,347,low,run03,client
46984.0,13:03:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,362.0,362,low,run03,client
46999.0,13:03:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,377.0,377,low,run03,client
47014.0,13:03:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,392.0,392,low,run03,client
47029.0,13:03:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,407.0,407,low,run03,client
47044.0,13:04:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,422.0,422,low,run03,client
47059.0,13:04:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,437.0,437,low,run03,client
47074.0,13:04:34,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,452.0,452,low,run03,client
47089.0,13:04:49,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,467.0,467,low,run03,client
47104.0,13:05:04,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,low,run03,client
47119.0,13:05:19,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,low,run03,client
47152.0,13:05:52,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,530.0,530,low,run03,client
47167.0,13:06:07,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,545.0,545,low,run03,client
47182.0,13:06:22,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,560.0,560,low,run03,client
47197.0,13:06:37,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    1   64    1   7.6262  -2.5513   0.6163,575.0,575,low,run03,client
47212.0,13:06:52,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   14   64    1   6.4676  -2.4101   0.5101,590.0,590,low,run03,client
47227.0,13:07:07,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   29   64    1   6.4676  -2.4101   0.5101,605.0,605,low,run03,client
47243.0,13:07:23,selected_peer,boundary1,*boundary1       10.0.10.4       10 u   44   64    1   6.4676  -2.4101   0.5101,621.0,621,low,run03,client
47258.0,13:07:38,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    1   64    3   7.9616  -2.2854   0.4635,636.0,636,low,run03,client
