t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s,t_bin_s,scenario,run_id,role
78201.0,21:43:21,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0,0,medium,run08,boundary
78217.0,21:43:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,16.0,16,medium,run08,boundary
78232.0,21:43:52,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,31.0,31,medium,run08,boundary
78247.0,21:44:07,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,46.0,46,medium,run08,boundary
78262.0,21:44:22,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,61.0,61,medium,run08,boundary
78277.0,21:44:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,76.0,76,medium,run08,boundary
78292.0,21:44:52,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,91.0,91,medium,run08,boundary
78307.0,21:45:07,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,106.0,106,medium,run08,boundary
78322.0,21:45:22,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,121.0,121,medium,run08,boundary
78337.0,21:45:37,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,136.0,136,medium,run08,boundary
78353.0,21:45:53,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,152.0,152,medium,run08,boundary
78368.0,21:46:08,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,167.0,167,medium,run08,boundary
78383.0,21:46:23,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,182.0,182,medium,run08,boundary
78398.0,21:46:38,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,197.0,197,medium,run08,boundary
78413.0,21:46:53,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,212.0,212,medium,run08,boundary
78428.0,21:47:08,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,227.0,227,medium,run08,boundary
78444.0,21:47:24,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,243.0,243,medium,run08,boundary
78459.0,21:47:39,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,258.0,258,medium,run08,boundary
78475.0,21:47:55,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,274.0,274,medium,run08,boundary
78490.0,21:48:10,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,289.0,289,medium,run08,boundary
78505.0,21:48:25,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,304.0,304,medium,run08,boundary
78520.0,21:48:40,serverntp,127.127.1.0,9,u,4.0,64,1,1,,False,3.0145,0.9558,0.0,serverntp       127.127.1.0      9 u    4   64    1   3.0145   0.9558   0.0000,319.0,319,medium,run08,boundary
78535.0,21:48:55,serverntp,127.127.1.0,9,u,19.0,64,1,1,,False,3.0145,0.9558,0.0,serverntp       127.127.1.0      9 u   19   64    1   3.0145   0.9558   0.0000,334.0,334,medium,run08,boundary
78551.0,21:49:11,serverntp,127.127.1.0,9,u,34.0,64,1,1,,False,3.0145,0.9558,0.0,serverntp       127.127.1.0      9 u   34   64    1   3.0145   0.9558   0.0000,350.0,350,medium,run08,boundary
78566.0,21:49:26,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,3.0145,0.9558,0.0,serverntp       127.127.1.0      9 u   49   64    1   3.0145   0.9558   0.0000,365.0,365,medium,run08,boundary
78581.0,21:49:41,serverntp,127.127.1.0,9,u,,64,3,3,,False,1.2719,0.3448,0.611,serverntp       127.127.1.0      9 u    -   64    3   1.2719   0.3448   0.6110,380.0,380,medium,run08,boundary
78597.0,21:49:57,serverntp,127.127.1.0,9,u,16.0,64,3,3,,False,1.2719,0.3448,0.611,serverntp       127.127.1.0      9 u   16   64    3   1.2719   0.3448   0.6110,396.0,396,medium,run08,boundary
78612.0,21:50:12,serverntp,127.127.1.0,9,u,31.0,64,3,3,,False,1.2719,0.3448,0.611,serverntp       127.127.1.0      9 u   31   64    3   1.2719   0.3448   0.6110,411.0,411,medium,run08,boundary
78627.0,21:50:27,serverntp,127.127.1.0,9,u,46.0,64,3,3,,False,1.2719,0.3448,0.611,serverntp       127.127.1.0      9 u   46   64    3   1.2719   0.3448   0.6110,426.0,426,medium,run08,boundary
78642.0,21:50:42,serverntp,127.127.1.0,9,u,61.0,64,3,3,,False,1.2719,0.3448,0.611,serverntp       127.127.1.0      9 u   61   64    3   1.2719   0.3448   0.6110,441.0,441,medium,run08,boundary
78657.0,21:50:57,serverntp,127.127.1.0,9,u,11.0,64,7,7,,False,1.412,0.5722,0.3153,serverntp       127.127.1.0      9 u   11   64    7   1.4120   0.5722   0.3153,456.0,456,medium,run08,boundary
78672.0,21:51:12,serverntp,127.127.1.0,9,u,26.0,64,7,7,,False,1.412,0.5722,0.3153,serverntp       127.127.1.0      9 u   26   64    7   1.4120   0.5722   0.3153,471.0,471,medium,run08,boundary
78687.0,21:51:27,serverntp,127.127.1.0,9,u,41.0,64,7,7,,False,1.412,0.5722,0.3153,serverntp       127.127.1.0      9 u   41   64    7   1.4120   0.5722   0.3153,486.0,486,medium,run08,boundary
78703.0,21:51:43,serverntp,127.127.1.0,9,u,56.0,64,7,7,,False,1.412,0.5722,0.3153,serverntp       127.127.1.0      9 u   56   64    7   1.4120   0.5722   0.3153,502.0,502,medium,run08,boundary
78719.0,21:51:59,serverntp,127.127.1.0,9,u,5.0,64,17,15,*,True,1.2122,0.0176,0.657,*serverntp       127.127.1.0      9 u    5   64   17   1.2122   0.0176   0.6570,518.0,518,medium,run08,boundary
78734.0,21:52:14,serverntp,127.127.1.0,9,u,20.0,64,17,15,*,True,1.2122,0.0176,0.657,*serverntp       127.127.1.0      9 u   20   64   17   1.2122   0.0176   0.6570,533.0,533,medium,run08,boundary
78749.0,21:52:29,serverntp,127.127.1.0,9,u,36.0,64,17,15,*,True,1.2122,0.0176,0.657,*serverntp       127.127.1.0      9 u   36   64   17   1.2122   0.0176   0.6570,548.0,548,medium,run08,boundary
78764.0,21:52:44,serverntp,127.127.1.0,9,u,51.0,64,17,15,*,True,1.2122,0.0176,0.657,*serverntp       127.127.1.0      9 u   51   64   17   1.2122   0.0176   0.6570,563.0,563,medium,run08,boundary
78779.0,21:52:59,serverntp,127.127.1.0,9,u,66.0,64,17,15,*,True,1.2122,0.0176,0.657,*serverntp       127.127.1.0      9 u   66   64   17   1.2122   0.0176   0.6570,578.0,578,medium,run08,boundary
78794.0,21:53:14,serverntp,127.127.1.0,9,u,14.0,64,37,31,*,True,1.3394,0.2344,0.4165,*serverntp       127.127.1.0      9 u   14   64   37   1.3394   0.2344   0.4165,593.0,593,medium,run08,boundary
78809.0,21:53:29,serverntp,127.127.1.0,9,u,29.0,64,37,31,*,True,1.3394,0.2344,0.4165,*serverntp       127.127.1.0      9 u   29   64   37   1.3394   0.2344   0.4165,608.0,608,medium,run08,boundary
78824.0,21:53:44,serverntp,127.127.1.0,9,u,44.0,64,37,31,*,True,1.3394,0.2344,0.4165,*serverntp       127.127.1.0      9 u   44   64   37   1.3394   0.2344   0.4165,623.0,623,medium,run08,boundary
78841.0,21:54:01,serverntp,127.127.1.0,9,u,60.0,64,37,31,*,True,1.3394,0.2344,0.4165,*serverntp       127.127.1.0      9 u   60   64   37   1.3394   0.2344   0.4165,640.0,640,medium,run08,boundary
78856.0,21:54:16,serverntp,127.127.1.0,9,u,10.0,64,77,63,*,True,0.5929,0.0215,0.515,*serverntp       127.127.1.0      9 u   10   64   77   0.5929   0.0215   0.5150,655.0,655,medium,run08,boundary
78871.0,21:54:31,serverntp,127.127.1.0,9,u,25.0,64,77,63,*,True,0.5929,0.0215,0.515,*serverntp       127.127.1.0      9 u   25   64   77   0.5929   0.0215   0.5150,670.0,670,medium,run08,boundary
78886.0,21:54:46,serverntp,127.127.1.0,9,u,40.0,64,77,63,*,True,0.5929,0.0215,0.515,*serverntp       127.127.1.0      9 u   40   64   77   0.5929   0.0215   0.5150,685.0,685,medium,run08,boundary
78901.0,21:55:01,serverntp,127.127.1.0,9,u,55.0,64,77,63,*,True,0.5929,0.0215,0.515,*serverntp       127.127.1.0      9 u   55   64   77   0.5929   0.0215   0.5150,700.0,700,medium,run08,boundary
78916.0,21:55:16,serverntp,127.127.1.0,9,u,5.0,64,177,127,*,True,1.7235,0.6341,0.4294,*serverntp       127.127.1.0      9 u    5   64  177   1.7235   0.6341   0.4294,715.0,715,medium,run08,boundary
78931.0,21:55:31,serverntp,127.127.1.0,9,u,20.0,64,177,127,*,True,1.7235,0.6341,0.4294,*serverntp       127.127.1.0      9 u   20   64  177   1.7235   0.6341   0.4294,730.0,730,medium,run08,boundary
