t_s,hhmmss,type,detail,raw,t_rel_s,t_bin_s,scenario,run_id,role
81331.0,22:35:31,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,0.0,0,medium,run10,client
81346.0,22:35:46,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,15.0,15,medium,run10,client
81361.0,22:36:01,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,30.0,30,medium,run10,client
81376.0,22:36:16,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,45.0,45,medium,run10,client
81391.0,22:36:31,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,60.0,60,medium,run10,client
81406.0,22:36:46,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,75.0,75,medium,run10,client
81421.0,22:37:01,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,90.0,90,medium,run10,client
81436.0,22:37:16,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,105.0,105,medium,run10,client
81451.0,22:37:31,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,120.0,120,medium,run10,client
81466.0,22:37:46,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,135.0,135,medium,run10,client
81481.0,22:38:01,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,150.0,150,medium,run10,client
81496.0,22:38:16,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,165.0,165,medium,run10,client
81511.0,22:38:31,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,180.0,180,medium,run10,client
81527.0,22:38:47,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,196.0,196,medium,run10,client
81542.0,22:39:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,211.0,211,medium,run10,client
81557.0,22:39:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,226.0,226,medium,run10,client
81572.0,22:39:32,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,241.0,241,medium,run10,client
81587.0,22:39:47,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,256.0,256,medium,run10,client
81602.0,22:40:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,271.0,271,medium,run10,client
81617.0,22:40:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,286.0,286,medium,run10,client
81632.0,22:40:32,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,301.0,301,medium,run10,client
81647.0,22:40:47,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,316.0,316,medium,run10,client
81662.0,22:41:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,331.0,331,medium,run10,client
81677.0,22:41:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,346.0,346,medium,run10,client
81692.0,22:41:32,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,361.0,361,medium,run10,client
81707.0,22:41:47,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,376.0,376,medium,run10,client
81722.0,22:42:02,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,391.0,391,medium,run10,client
81737.0,22:42:17,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,406.0,406,medium,run10,client
81753.0,22:42:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,422.0,422,medium,run10,client
81768.0,22:42:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,437.0,437,medium,run10,client
81783.0,22:43:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,452.0,452,medium,run10,client
81798.0,22:43:18,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,467.0,467,medium,run10,client
81813.0,22:43:33,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,482.0,482,medium,run10,client
81828.0,22:43:48,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,497.0,497,medium,run10,client
81843.0,22:44:03,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,512.0,512,medium,run10,client
81858.0,22:44:18,init,refid=.INIT.,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0001,527.0,527,medium,run10,client
81888.0,22:44:48,selected_peer,boundary1,*boundary1       10.0.10.4       10 u    7   64    1  19.3861  -9.0402   2.0824,557.0,557,medium,run10,client
