t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,754947.8,329625.1456785419,572389.3239423013,937506.2760576988,450256.0,558035.0,726964.0,825659.5,927405.6,358904.0,1757704.0
2,14.0,690564.7857142857,236542.70473025457,554012.4001261771,827117.1713023942,491706.9,513761.25,655090.5,722791.75,904706.7000000001,425924.0,1347827.0
4,14.0,677695.0714285715,226652.25656514303,546852.2861133678,808537.8567437752,496022.8,562588.5,609558.5,677726.5,883738.5000000001,480621.0,1347827.0
6,14.0,617082.3571428572,81586.6532303181,569983.6645687008,664181.0497170135,495618.3,583280.25,640010.0,672793.75,688661.3,477122.0,750447.0
8,14.0,596154.0,72656.31563633098,554210.6509565467,638097.3490434533,544526.8,559590.0,587663.0,626982.75,694271.4,428114.0,712800.0
10,13.0,603502.0769230769,95344.88212489571,545880.7917776002,661123.3620685536,526071.4,557379.0,623776.0,662559.0,713333.0,382128.0,739996.0
11,1.0,561697.0,0.0,561697.0,561697.0,561697.0,561697.0,561697.0,561697.0,561697.0,561697.0,561697.0
12,13.0,617111.4615384615,130467.71501640766,538263.837610504,695959.085466419,512790.6,554278.0,626509.0,689180.0,726118.2,381980.0,914476.0
13,1.0,558085.0,0.0,558085.0,558085.0,558085.0,558085.0,558085.0,558085.0,558085.0,558085.0,558085.0
14,12.0,647762.1666666666,187996.18856815028,528314.2817575387,767210.0515757946,521190.6,528957.0,607536.5,709375.0,743930.8,394827.0,1151491.0
15,1.0,589650.0,0.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0
16,8.0,640012.625,112449.63957502741,545987.4350744139,734037.8149255861,502868.8,531912.25,667230.0,740530.75,753331.3,494900.0,754837.0
17,1.0,589650.0,0.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0,589650.0
18,12.0,656808.4166666666,199580.02981372402,530000.4605430879,783616.3727902453,457912.7,508925.75,645073.0,736049.5,795833.8,420372.0,1151491.0
19,1.0,639080.0,0.0,639080.0,639080.0,639080.0,639080.0,639080.0,639080.0,639080.0,639080.0,639080.0
20,12.0,606170.25,219955.74894515198,466416.09229495015,745924.4077050498,423483.2,466392.5,510483.5,691288.0,823657.6000000001,420366.0,1173947.0
21,1.0,703733.0,0.0,703733.0,703733.0,703733.0,703733.0,703733.0,703733.0,703733.0,703733.0,703733.0
22,12.0,638255.5833333334,247797.70222005263,480811.3732088428,795699.7934578239,403158.2,483237.5,554425.5,706914.25,1016687.8,380996.0,1107982.0
23,1.0,611185.0,0.0,611185.0,611185.0,611185.0,611185.0,611185.0,611185.0,611185.0,611185.0,611185.0
24,12.0,648138.3333333334,250010.64876969228,489288.0745714493,806988.5920952174,395189.10000000003,517371.75,574999.0,688597.75,1031880.7000000001,380996.0,1157304.0
25,1.0,607352.0,0.0,607352.0,607352.0,607352.0,607352.0,607352.0,607352.0,607352.0,607352.0,607352.0
26,12.0,646090.6666666666,274587.5774245419,471624.8671443904,820556.4661889428,411314.4,476206.5,532874.0,726083.75,1079552.9000000001,380996.0,1180620.0
27,1.0,603519.0,0.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0
28,13.0,603098.9230769231,173795.68195223834,498066.2215449796,708131.6246088666,433948.2,505932.0,555918.0,679348.0,866988.4,380996.0,933959.0
29,1.0,603519.0,0.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0
30,13.0,580394.6923076923,136114.50724199376,498134.45285453496,662654.9317608495,440472.2,505932.0,564815.0,647606.0,793484.2000000001,380996.0,827036.0
31,1.0,603519.0,0.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0,603519.0
32,13.0,560941.8461538461,122685.59845722599,486797.31217994133,635086.3801277509,471155.6,491929.0,592940.0,633497.0,694945.2000000001,252588.0,705385.0
33,1.0,630186.0,0.0,630186.0,630186.0,630186.0,630186.0,630186.0,630186.0,630186.0,630186.0,630186.0
34,13.0,565267.8461538461,123156.34883137108,490838.8161384504,639696.8761692418,477490.4,523654.0,595771.0,637322.0,673352.2000000001,216403.0,683356.0
35,1.0,663320.0,0.0,663320.0,663320.0,663320.0,663320.0,663320.0,663320.0,663320.0,663320.0,663320.0
36,13.0,588872.6153846154,114726.34577952475,519538.222845318,658207.0079239127,457458.8,571430.0,603799.0,684048.0,701585.8,308261.0,703306.0
37,1.0,647534.0,0.0,647534.0,647534.0,647534.0,647534.0,647534.0,647534.0,647534.0,647534.0,647534.0
38,13.0,588242.2307692308,118179.04445808334,516821.2140646423,659663.2474738192,452024.2,548630.0,579545.0,669530.0,677372.0,399186.0,858777.0
39,1.0,679477.0,0.0,679477.0,679477.0,679477.0,679477.0,679477.0,679477.0,679477.0,679477.0,679477.0
40,13.0,609851.4615384615,175059.3227925967,504055.0838913346,715647.8391855884,455936.0,510762.0,576885.0,636194.0,703713.8,418166.0,1112904.0
41,1.0,693329.0,0.0,693329.0,693329.0,693329.0,693329.0,693329.0,693329.0,693329.0,693329.0,693329.0
42,13.0,595968.0769230769,167463.35786695825,494762.28926023364,697173.8645859201,446642.0,483635.0,596623.0,614391.0,686373.2000000001,406238.0,1073504.0
43,2.0,610711.5,147849.66398507642,-717643.6229999999,1939066.623,527075.1,558438.75,610711.5,662984.25,694347.9,506166.0,715257.0
44,13.0,562771.0769230769,108405.11616037127,497256.8933581653,628285.2604879885,444156.4,480080.0,549749.0,609934.0,695800.0,409774.0,779094.0
45,1.0,715257.0,0.0,715257.0,715257.0,715257.0,715257.0,715257.0,715257.0,715257.0,715257.0,715257.0
46,13.0,560307.0,106728.45574947042,495806.0992193924,624807.9007806076,420259.4,480080.0,553364.0,632352.0,696002.2000000001,402652.0,720965.0
47,2.0,742407.5,134489.5884613378,-465914.04099999997,1950729.041,666328.7,694858.25,742407.5,789956.75,818486.3,647309.0,837506.0
48,13.0,591097.4615384615,79656.13742792139,542957.6043586176,639237.3187183054,543328.4,553364.0,582800.0,632352.0,673576.0,416271.0,747086.0
49,2.0,588499.0,147515.20247757516,-736851.1539999999,1913849.1539999999,505051.8,536344.5,588499.0,640653.5,671946.2,484190.0,692808.0
50,13.0,621006.3846153846,93396.98973069963,564562.3001814432,677450.469049326,527874.8,557535.0,597104.0,654573.0,737305.4,479597.0,817029.0
51,2.0,493269.0,279441.5288571117,-2017373.0699999994,3003911.0699999994,335193.0,394471.5,493269.0,592066.5,651345.0,295674.0,690864.0
52,13.0,611226.6923076923,126198.64040695566,534959.0659621567,687494.3186532278,534777.2,553364.0,631720.0,654573.0,762429.2000000001,328191.0,844801.0
53,2.0,417834.0,380644.06559409277,-3002062.136,3837730.136,202509.2,283256.0,417834.0,552412.0,633158.8,148678.0,686990.0
54,13.0,592246.6923076923,126898.9840636931,515555.81616997777,668937.5684454067,482942.2,526155.0,619569.0,668516.0,719332.0,290633.0,788688.0
55,2.0,412456.0,382769.6285783395,-3026537.2539999997,3851449.2539999997,195928.8,277126.5,412456.0,547785.5,628983.2,141797.0,683115.0
56,13.0,584508.6923076923,107031.4779160665,519824.6613340664,649192.7232813181,478484.8,525807.0,603032.0,656371.0,700724.8,334494.0,720086.0
57,2.0,396329.5,375731.79478518985,-2979432.3449999997,3772091.3449999997,183783.5,263488.25,396329.5,529170.75,608875.5,130647.0,662012.0
58,13.0,622203.3076923077,215765.14031441094,491806.5375937883,752600.0777908273,475820.2,534182.0,570920.0,650608.0,696037.2000000001,449845.0,1297783.0
59,2.0,377323.0,356810.324427419,-2828438.9179999996,3583084.9179999996,175480.6,251171.5,377323.0,503474.5,579165.4,125020.0,629626.0
60,13.0,638745.3846153846,212982.38956250917,510030.35842372826,767460.410807041,490019.4,537832.0,551332.0,694443.0,760884.0,434207.0,1264992.0
61,2.0,327040.0,285699.42387061263,-2239826.1199999996,2893906.1199999996,165424.0,226030.0,327040.0,428050.0,488656.0,125020.0,529060.0
62,13.0,691893.0769230769,364314.85012725403,471720.90413234907,912065.2497138047,468223.8,496673.0,609791.0,666593.0,815760.2000000001,417539.0,1840341.0
63,2.0,308779.5,259875.17711489875,-2026068.7069999995,2643627.7069999995,161771.9,216899.75,308779.5,400659.25,455787.1,125020.0,492539.0
64,12.0,639354.6666666666,209250.82710875236,506402.13766065787,772307.1956726754,427741.9,510771.25,606083.0,686006.75,829793.9,411560.0,1158888.0
65,2.0,319244.5,270961.19723034144,-2115206.0409999997,2753695.0409999997,165965.7,223445.25,319244.5,415043.75,472523.3,127646.0,510843.0
66,13.0,631472.6153846154,170992.03447848014,528134.2866069556,734810.9441622752,458616.6,525147.0,597893.0,652241.0,872074.6000000001,403865.0,978841.0
67,2.0,331540.0,291916.3066908048,-2291181.6959999995,2954261.6959999995,166407.2,228332.0,331540.0,434748.0,496672.8,125124.0,537956.0
68,13.0,615865.3846153846,141545.2175693563,530323.1178384584,701407.6513923109,414770.2,564719.0,635831.0,670201.0,791816.0,363544.0,834813.0
69,2.0,379573.0,353885.7307804314,-2799912.9099999997,3559058.9099999997,179385.0,254455.5,379573.0,504690.5,579761.0,129338.0,629808.0
70,13.0,569071.5384615385,129224.94968955967,490974.9746185199,647168.1023045571,404107.6,555578.0,610232.0,641659.0,658728.4,282405.0,754720.0
71,2.0,395674.5,372102.92278414045,-2947483.749,3738832.749,185181.3,264116.25,395674.5,527232.75,606167.7,132558.0,658791.0
72,13.0,534791.0,147338.1309194376,445747.8100006734,623834.1899993266,315428.80000000005,472148.0,561409.0,633728.0,682765.4,230665.0,723999.0
