t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,501082.06666666665,486148.334678605,231835.3168951376,770328.8164381958,120902.80000000002,234354.5,377209.0,581206.0,854741.7999999999,62925.0,2020201.0
2,14.0,549560.1428571428,584853.6397313904,211933.32905925869,887186.956655027,29083.3,90531.5,401403.5,834415.0,1193969.9000000001,19222.0,2035888.0
4,14.0,439769.35714285716,446415.2428867454,182060.85394215316,697477.8603435612,104818.6,209797.25,292756.0,494213.25,780789.5000000002,74029.0,1803073.0
6,14.0,315049.21428571426,211227.09166209592,193111.13422448596,436987.29434694257,64027.0,159469.5,287451.0,452037.5,510433.60000000003,56839.0,795032.0
8,14.0,600813.5714285715,723718.5024871645,183022.25496597716,1018604.8878911658,140282.0,203919.25,271590.5,865882.5,1076437.0,70948.0,2806721.0
10,13.0,365250.6153846154,381493.4139358412,134696.64861036022,595804.5821588705,97697.40000000001,164638.0,241560.0,321614.0,894000.6000000004,67666.0,1352448.0
11,1.0,419140.0,0.0,419140.0,419140.0,419140.0,419140.0,419140.0,419140.0,419140.0,419140.0,419140.0
12,13.0,590451.2307692308,791303.4679503131,112230.25291284377,1068672.2086256177,134704.0,182711.0,292266.0,417030.0,1863570.6000000013,98050.0,2485973.0
13,1.0,145982.0,0.0,145982.0,145982.0,145982.0,145982.0,145982.0,145982.0,145982.0,145982.0,145982.0
14,12.0,335995.5833333333,317375.21816454484,134343.6305939548,537647.5360727118,56555.6,95498.0,249752.5,457748.25,814189.2000000001,32324.0,922922.0
15,1.0,114879.0,0.0,114879.0,114879.0,114879.0,114879.0,114879.0,114879.0,114879.0,114879.0,114879.0
16,12.0,400785.0833333333,402921.2033068813,144779.43829015814,656790.7283765085,66887.5,106466.5,257168.5,580362.25,818871.7000000001,58293.0,1408231.0
17,1.0,134275.0,0.0,134275.0,134275.0,134275.0,134275.0,134275.0,134275.0,134275.0,134275.0,134275.0
18,12.0,237481.91666666666,96773.97151700576,175994.25407093202,298969.5792624013,142024.0,176206.0,199699.0,348599.75,352446.2,93231.0,376481.0
19,1.0,216771.0,0.0,216771.0,216771.0,216771.0,216771.0,216771.0,216771.0,216771.0,216771.0,216771.0
20,12.0,346882.0,337741.69874409266,132289.71561454705,561474.284385453,97227.90000000001,142374.75,226364.5,443255.25,602644.2,51568.0,1255092.0
21,1.0,224288.0,0.0,224288.0,224288.0,224288.0,224288.0,224288.0,224288.0,224288.0,224288.0,224288.0
22,12.0,441340.1666666667,368459.95105027314,207230.30432378576,675450.0290095476,140373.8,177449.75,321927.5,498625.5,891616.8,129816.0,1319453.0
23,1.0,127361.0,0.0,127361.0,127361.0,127361.0,127361.0,127361.0,127361.0,127361.0,127361.0,127361.0
24,12.0,436514.25,560664.1037724208,80282.87185261684,792745.6281473832,110849.4,131605.5,309966.0,418543.75,532091.8,92408.0,2153263.0
25,1.0,323695.0,0.0,323695.0,323695.0,323695.0,323695.0,323695.0,323695.0,323695.0,323695.0,323695.0
26,12.0,619867.5833333334,767773.6158961606,132044.21198565146,1107690.9546810153,118903.6,199321.75,401594.0,581033.75,1279946.0000000002,90856.0,2803105.0
