t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,761790.9333333333,495932.0598079462,487125.5983197615,1036456.2683469052,382157.6,460168.5,627892.0,965066.5,1241103.7999999998,141927.0,2144276.0
2,15.0,604387.8,274788.9149259326,452199.63655403233,756575.9634459678,210220.80000000002,490239.5,604022.0,769312.5,886279.6,143058.0,1140270.0
4,14.0,586853.6428571428,259679.1163871902,436944.97046532214,736762.3152489635,217838.0,454557.25,577755.5,724536.0,901029.7000000001,199342.0,1027175.0
6,14.0,619530.3571428572,261677.02784586817,468468.32186805335,770592.3924176609,279350.4,497527.5,580041.0,773619.0,940963.5000000001,197916.0,1118670.0
8,14.0,597996.1428571428,234133.99453956902,462834.2678032889,733158.0179109968,295565.9,529840.5,557525.5,702837.5,903866.0000000002,204093.0,1046693.0
10,14.0,577358.0714285715,224840.33388007188,447561.28060062043,707154.8622565225,290378.80000000005,535113.0,574059.5,613648.75,767424.5000000001,177589.0,1107586.0
12,11.0,542515.1818181818,256618.30400570348,370127.4028365741,714902.9607997894,219644.0,469298.5,550320.0,609875.5,645606.0,167972.0,1159809.0
13,2.0,533679.0,32104.06207943163,245240.09399999998,822117.906,515518.2,522328.5,533679.0,545029.5,551839.8,510978.0,556380.0
14,11.0,555905.5454545454,330783.79363244615,333695.817553996,778115.2733550948,198275.0,441493.0,510112.0,625842.5,665981.0,167972.0,1426662.0
15,2.0,583343.5,33875.364566303935,278990.329,887696.671,564180.7,571366.75,583343.5,595320.25,602506.3,559390.0,607297.0
16,9.0,613284.1111111111,303797.1032973506,379765.40437654767,846802.8178456746,395390.8,484568.0,538218.0,716146.0,838858.6000000001,171850.0,1295381.0
17,2.0,610761.0,36083.65904394952,286567.41000000003,934954.59,590349.0,598003.5,610761.0,623518.5,631173.0,585246.0,636276.0
18,11.0,574225.8181818182,301598.0481736638,371622.11899795075,776829.5173656857,172203.0,472463.5,547409.0,661322.0,717678.0,171850.0,1295381.0
19,2.0,665164.5,52667.434383117616,191974.0010000001,1138354.9989999998,635371.3,646543.75,665164.5,683785.25,694957.7,627923.0,702406.0
20,9.0,549970.5555555555,219143.5198169861,381522.23665623215,718418.8744548789,219121.4,476274.0,628083.0,693938.0,736453.0,178775.0,817681.0
21,3.0,725177.0,114886.74840467895,439759.46130826924,1010594.5386917307,641403.8,661824.5,695859.0,773870.5,820677.4,627790.0,851882.0
22,9.0,607742.8888888889,229878.97182563506,431042.58587891737,784443.1918988604,285643.4,578219.0,677336.0,716146.0,777982.8,198341.0,961374.0
23,3.0,782592.3333333334,156694.04469964176,393311.3310693476,1171873.335597319,662927.6,699081.5,759338.0,854476.0,911558.8,638825.0,949614.0
24,9.0,605752.0,239145.2234129923,421929.03826987994,789574.96173012,259323.2,523290.0,664340.0,746909.0,790740.4,202896.0,961374.0
25,3.0,806984.6666666666,159445.27776115958,410868.67098795075,1203100.6623453824,676289.0,732485.0,826145.0,891064.5,930016.2,638825.0,955984.0
26,9.0,611254.2222222222,236221.05481612863,429678.9714202247,792829.4730242197,243687.0,501525.0,674965.0,763248.0,811114.0,228351.0,885338.0
