t_bin_s,n_runs,mean,std,ci95_low,ci95_high,q10,q25,q50,q75,q90,min,max
0,15.0,460722.0,259379.23103000034,317068.2837752273,604375.7162247726,146587.6,255731.0,477841.0,596277.0,814865.8,38925.0,871460.0
2,15.0,556165.2,763641.265936827,133232.70352063852,979097.6964793614,142351.0,179592.0,303849.0,414234.5,1191384.5999999999,65472.0,3030643.0
4,14.0,490380.64285714284,484965.0577453386,210417.93744409923,770343.3482701865,83700.1,144977.75,460231.5,554803.25,848084.8000000002,33212.0,1918598.0
6,14.0,261202.5,137561.91072707815,181790.17106234768,340614.8289376523,92849.8,161079.75,258634.0,340959.0,422004.4,53208.0,522123.0
8,14.0,590796.9285714285,591427.432083204,249375.1677722209,932218.6893706361,95772.5,157332.25,406593.5,759480.25,1510760.8000000005,71966.0,1895261.0
10,14.0,389812.5714285714,357026.9220169245,183706.54090783818,595918.6019493047,52233.3,132150.75,259164.5,638384.75,826441.7000000001,34083.0,1193130.0
12,11.0,551747.8181818182,901097.9159541784,-53580.27397502051,1157075.910338657,83545.0,142650.0,201981.0,327562.5,1352679.0,16799.0,3039738.0
13,2.0,891975.0,867960.8459844257,-6906218.146,8690168.146,400982.2,585104.5,891975.0,1198845.5,1382967.8,278234.0,1505716.0
14,11.0,794761.0909090909,1251690.8288926985,-46083.847258936265,1635606.0290771183,59902.0,236079.0,513811.0,720294.5,862804.0,7887.0,4472097.0
15,2.0,657875.5,231312.30579564936,-1420349.625,2736100.625,527025.5,576094.25,657875.5,739656.75,788725.5,494313.0,821438.0
16,11.0,312416.63636363635,205046.33589473026,174673.21790341762,450160.05482385505,149120.0,160669.0,270482.0,403289.5,441680.0,19941.0,781443.0
17,2.0,149094.5,93900.24500766757,-694552.1349999998,992741.1349999998,95976.5,115895.75,149094.5,182293.25,202212.5,82697.0,215492.0
18,11.0,435921.7272727273,380621.1279235799,180232.90908631307,691610.5454591415,62235.0,117639.5,295547.0,795418.5,951898.0,42455.0,1016056.0
19,2.0,267652.0,130028.45177883185,-900588.4639999997,1435892.4639999997,194096.8,221680.0,267652.0,313624.0,341207.2,175708.0,359596.0
20,9.0,523151.55555555556,570415.4341037571,84692.22520780092,961610.8859033103,129610.40000000001,182032.0,248636.0,607868.0,1217078.6,54252.0,1797373.0
21,3.0,625258.6666666666,840130.7166699319,-1461910.172742196,2712427.5060755294,139465.2,140209.5,141450.0,868403.5,1304575.6,138969.0,1595357.0
22,9.0,330873.55555555556,447373.82931646524,-13007.79457903409,674754.9056901452,82949.0,97059.0,139038.0,317807.0,704362.0000000002,71569.0,1461498.0
23,3.0,874110.6666666666,1091712.311804412,-1838071.9420456225,3586293.2753789555,220002.0,244242.0,284642.0,1209245.0,1764006.8,203842.0,2133848.0
24,9.0,687052.8888888889,1247991.6390981395,-272236.6843645477,1646342.4621423255,37412.6,62698.0,173123.0,508363.0,1665066.4000000004,21247.0,3883688.0
25,3.0,346243.3333333333,123381.28057502619,39722.50380898034,652764.1628576863,248505.4,283439.5,341663.0,406757.0,445813.4,225216.0,471851.0
26,9.0,1021353.0,1923046.9915060578,-456829.1208043231,2499535.120804323,67429.4,229527.0,264136.0,495996.0,2291412.8000000007,38523.0,6042348.0
27,3.0,648874.3333333334,405359.4160067499,-358175.5519557169,1655924.2186223837,367062.2,420575.0,509763.0,807618.0,986331.0,331387.0,1105473.0
28,9.0,277903.1111111111,126257.96299881885,180852.8235526857,374953.3986695366,77563.6,256434.0,327400.0,344394.0,369714.80000000005,63862.0,441618.0
29,3.0,485173.3333333333,337282.3622846788,-352750.126283921,1323096.7929505876,230255.0,303732.5,426195.0,637125.0,763683.0,181270.0,848055.0
30,9.0,1918914.0,2994868.851619007,-383141.8572778101,4220969.857277811,17851.8,153249.0,557174.0,1753123.0,5857574.200000001,3435.0,8617299.0
31,3.0,874901.0,410325.9234182018,-144487.36941323953,1894289.3694132394,543112.2,756133.5,1111169.0,1111802.5,1112182.6,401098.0,1112436.0
32,10.0,813189.9,1627009.707173422,-350621.86896095786,1977001.6689609578,42477.8,68596.25,183425.0,461925.0,1856423.9999999986,13073.0,5274813.0
33,3.0,268246.3333333333,231835.12849940005,-307710.53442918934,844203.201095856,132861.0,134404.5,136977.0,336453.5,456139.4,131832.0,535930.0
34,10.0,414480.1,472890.1030489596,76218.40129774553,752741.7987022544,41488.4,90401.25,234328.5,451214.25,1261279.4,29261.0,1281245.0
35,3.0,1230003.0,1440932.983604373,-2349761.866801145,4809767.866801145,381075.6,398244.0,426858.0,1660189.5,2400188.4,369630.0,2893521.0
36,10.0,452601.9,325870.88347327925,219504.10858806287,685699.6914119371,127445.5,234940.25,326062.5,707493.25,829570.8999999999,105625.0,1070599.0
37,3.0,605362.6666666666,441152.16003702546,-490608.5001975208,1701333.833530854,287642.0,360503.0,481938.0,788510.0,972453.2000000001,239068.0,1095082.0
38,11.0,680215.0909090909,821423.881384691,128409.40790055867,1232020.7739176233,119252.0,209887.5,544857.0,709769.0,1110914.0,59222.0,2962048.0
39,3.0,197304.0,62784.35331354461,41326.43217831288,353281.5678216871,145477.4,175814.0,226375.0,233329.5,237502.2,125253.0,240284.0
40,11.0,1247444.8181818181,2334348.063838117,-320693.821243237,2815583.4576068735,106426.0,245236.0,360572.0,720239.0,2569516.0,48420.0,7962937.0
41,3.0,404719.3333333333,173844.5470365215,-27169.317178094934,836607.9838447615,278505.4,308626.0,358827.0,477866.5,549290.2,258425.0,596906.0
42,11.0,349506.7272727273,434011.86144484364,57951.76148008084,641061.6930653737,58528.0,129532.5,206501.0,333712.0,673919.0,33785.0,1544520.0
43,3.0,297151.3333333333,215645.92286972023,-238586.07232097856,832888.7389876451,167194.0,172763.5,182046.0,363986.5,473150.80000000005,163481.0,545927.0
44,11.0,745325.7272727273,1129896.8271006066,-13701.986112480052,1504353.4406579346,99633.0,175590.5,361748.0,697387.5,1145123.0,804.0,3993414.0
45,3.0,175827.33333333334,120513.58139368912,-123569.16154484745,475223.82821151416,98767.8,106665.0,119827.0,216989.5,275287.0,93503.0,314152.0
46,10.0,615855.5,819421.4935061402,29717.400345526403,1201993.5996544736,99206.2,163506.25,266095.5,474218.75,1812002.1999999997,94429.0,2489758.0
