t,type,port,from,to,reason,raw,t_rel_s,t_bin_s,scenario,run_id,role
17871.049,state,1.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[17871.049]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run13,boundary
17871.049,state,2.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[17871.049]: port 2: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run13,boundary
17871.049,state,0.0,INITIALIZING,LISTENING,INIT_COMPLETE,ptp4l[17871.049]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE,0.0,0,high,run13,boundary
17875.507,new_foreign_master,1.0,,,ba8fd9.fffe.84af97-1,ptp4l[17875.507]: port 1: new foreign master ba8fd9.fffe.84af97-1,4.458000000002357,4,high,run13,boundary
17877.113,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17877.113]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.064000000002125,6,high,run13,boundary
17877.284,state,1.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17877.284]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,6.235000000000582,6,high,run13,boundary
17878.138,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17878.138]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),7.088999999999942,7,high,run13,boundary
17879.509,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17879.509]: selected best master clock ba8fd9.fffe.84af97,8.459999999999127,8,high,run13,boundary
17879.509,ptp_timescale_mismatch,,,,,ptp4l[17879.509]: foreign master not using PTP timescale,8.459999999999127,8,high,run13,boundary
17879.509,state,1.0,MASTER,UNCALIBRATED,RS_SLAVE,ptp4l[17879.509]: port 1: MASTER to UNCALIBRATED on RS_SLAVE,8.459999999999127,8,high,run13,boundary
17894.146,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[17894.146]: port 2: FAULTY to LISTENING on INIT_COMPLETE,23.09700000000157,23,high,run13,boundary
17898.532,state,1.0,UNCALIBRATED,SLAVE,MASTER_CLOCK_SELECTED,ptp4l[17898.532]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED,27.483000000000175,27,high,run13,boundary
17901.361,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17901.361]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,30.312000000001717,30,high,run13,boundary
17901.362,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17901.362]: selected best master clock ba8fd9.fffe.84af97,30.31300000000192,30,high,run13,boundary
17901.362,ptp_timescale_mismatch,,,,,ptp4l[17901.362]: foreign master not using PTP timescale,30.31300000000192,30,high,run13,boundary
17903.389,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17903.389]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),32.340000000000146,32,high,run13,boundary
17919.393,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[17919.393]: port 2: FAULTY to LISTENING on INIT_COMPLETE,48.34400000000096,48,high,run13,boundary
17926.761,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17926.761]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,55.711999999999534,56,high,run13,boundary
17926.761,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17926.761]: selected best master clock ba8fd9.fffe.84af97,55.711999999999534,56,high,run13,boundary
17926.761,ptp_timescale_mismatch,,,,,ptp4l[17926.761]: foreign master not using PTP timescale,55.711999999999534,56,high,run13,boundary
17927.785,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17927.785]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),56.736000000000786,57,high,run13,boundary
17943.789,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[17943.789]: port 2: FAULTY to LISTENING on INIT_COMPLETE,72.7400000000016,73,high,run13,boundary
17950.017,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17950.017]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,78.96800000000076,79,high,run13,boundary
17950.018,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17950.018]: selected best master clock ba8fd9.fffe.84af97,78.96900000000096,79,high,run13,boundary
17950.023,ptp_timescale_mismatch,,,,,ptp4l[17950.023]: foreign master not using PTP timescale,78.97400000000198,79,high,run13,boundary
17951.042,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17951.042]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),79.99300000000221,80,high,run13,boundary
17967.045,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[17967.045]: port 2: FAULTY to LISTENING on INIT_COMPLETE,95.99599999999919,96,high,run13,boundary
17974.325,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17974.325]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,103.27600000000166,103,high,run13,boundary
17974.325,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17974.325]: selected best master clock ba8fd9.fffe.84af97,103.27600000000166,103,high,run13,boundary
17974.325,ptp_timescale_mismatch,,,,,ptp4l[17974.325]: foreign master not using PTP timescale,103.27600000000166,103,high,run13,boundary
17975.35,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17975.350]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),104.30099999999948,104,high,run13,boundary
17991.354,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[17991.354]: port 2: FAULTY to LISTENING on INIT_COMPLETE,120.30500000000029,120,high,run13,boundary
17997.383,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[17997.383]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,126.33400000000256,126,high,run13,boundary
17997.383,best_master,,,,ba8fd9.fffe.84af97,ptp4l[17997.383]: selected best master clock ba8fd9.fffe.84af97,126.33400000000256,126,high,run13,boundary
17997.383,ptp_timescale_mismatch,,,,,ptp4l[17997.383]: foreign master not using PTP timescale,126.33400000000256,126,high,run13,boundary
17998.408,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[17998.408]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),127.35900000000038,127,high,run13,boundary
18014.412,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18014.412]: port 2: FAULTY to LISTENING on INIT_COMPLETE,143.3630000000012,143,high,run13,boundary
18020.755,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18020.755]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,149.70600000000195,150,high,run13,boundary
18020.755,best_master,,,,ba8fd9.fffe.84af97,ptp4l[18020.755]: selected best master clock ba8fd9.fffe.84af97,149.70600000000195,150,high,run13,boundary
18020.755,ptp_timescale_mismatch,,,,,ptp4l[18020.755]: foreign master not using PTP timescale,149.70600000000195,150,high,run13,boundary
18021.779,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18021.779]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),150.72999999999956,151,high,run13,boundary
18037.78,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18037.780]: port 2: FAULTY to LISTENING on INIT_COMPLETE,166.73099999999977,167,high,run13,boundary
18045.425,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18045.425]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,174.3760000000002,174,high,run13,boundary
18045.425,best_master,,,,ba8fd9.fffe.84af97,ptp4l[18045.425]: selected best master clock ba8fd9.fffe.84af97,174.3760000000002,174,high,run13,boundary
18045.427,ptp_timescale_mismatch,,,,,ptp4l[18045.427]: foreign master not using PTP timescale,174.3780000000006,174,high,run13,boundary
18046.449,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18046.449]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),175.40000000000146,175,high,run13,boundary
18062.456,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18062.456]: port 2: FAULTY to LISTENING on INIT_COMPLETE,191.40699999999924,191,high,run13,boundary
18070.002,state,2.0,LISTENING,MASTER,ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,ptp4l[18070.002]: port 2: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES,198.95300000000134,199,high,run13,boundary
18070.002,best_master,,,,ba8fd9.fffe.84af97,ptp4l[18070.002]: selected best master clock ba8fd9.fffe.84af97,198.95300000000134,199,high,run13,boundary
18070.002,ptp_timescale_mismatch,,,,,ptp4l[18070.002]: foreign master not using PTP timescale,198.95300000000134,199,high,run13,boundary
18071.025,state,2.0,MASTER,FAULTY,FAULT_DETECTED,ptp4l[18071.025]: port 2: MASTER to FAULTY on FAULT_DETECTED (FT_UNSPECIFIED),199.9760000000024,200,high,run13,boundary
18087.026,state,2.0,FAULTY,LISTENING,INIT_COMPLETE,ptp4l[18087.026]: port 2: FAULTY to LISTENING on INIT_COMPLETE,215.9770000000026,216,high,run13,boundary
